,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
ticker,GMD,GMD,GMD,GMD,GMD,GMD,GMD,GMD,GMD,GMD,GMD,GMD,GMD,GMD,GMD,GMD,GMD
priceToEarning,10.9,13.8,22.4,25.8,12.7,3.8,16.1,14.1,13.6,,,,,,,,
priceToBook,2.9,2.0,2.2,1.6,1.1,1.2,1.3,1.1,1.1,,,,,,,,
valueBeforeEbitda,17.6,12.5,16.7,14.5,8.6,12.1,9.7,8.6,6.3,7.7,11.5,7.1,8.0,7.8,14.2,,
dividend,,0.045,0.054,0.038,0.046,0.8,0.15,0.15,0.2,0.2,0.12,0.1,,0.06,0.15,,0.15
roe,0.29,0.15,0.1,0.063,0.088,0.302,0.088,0.076,0.081,0.113,0.043,0.024,0.002,0.064,0.137,0.014,0.139
roa,0.169,0.084,0.06,0.037,0.051,0.174,0.047,0.041,0.047,0.067,0.027,0.015,0.001,0.037,0.075,0.009,0.087
daysReceivable,41,-55,-55,-72,54,70,53,47,41,41,43,45,49,47,51,45,61
daysInventory,13,13,13,17,16,18,12,13,14,16,18,15,14,12,10,4,3
daysPayable,121,101,65,86,92,125,83,79,65,50,48,45,41,46,60,55,76
ebitOnInterest,8.3,8.0,5.8,3.2,3.7,4.2,4.2,5.4,5.4,2.8,1.6,1.3,1.0,1.6,2.3,3.7,4.0
earningPerShare,7248,3201,2001,1230,1715,6130,1685,1293,1335,1761,637,344,20,686,1072,105,672
bookValuePerShare,27635,22307,20657,19581,19496,19511,21048,17141,16874,16185,13431,13788,13394,12612,7568,6961,7478
equityOnTotalAsset,0.633,0.532,0.589,0.6,0.581,0.589,0.562,0.511,0.565,0.596,0.531,0.609,0.588,0.581,0.506,0.507,0.686
equityOnLiability,2.6,1.6,1.9,2.0,1.8,1.9,1.7,1.4,1.7,1.8,1.7,2.0,1.8,1.7,1.3,1.3,2.3
currentPayment,1.8,0.8,0.7,0.8,0.6,0.9,0.8,0.7,1.7,2.0,2.0,2.3,1.9,2.2,1.3,1.5,2.4
quickPayment,1.7,0.8,0.7,0.7,0.6,0.8,0.8,0.7,1.6,2.0,1.9,2.2,1.8,2.1,1.3,1.4,2.3
epsChange,1.264,0.6,0.626,-0.283,-0.72,2.638,0.303,-0.031,-0.242,1.762,0.853,15.627,-0.97,-0.36,9.158,-0.843,0.298
ebitdaOnStock,4983,4793,3558,2937,3065,3010,3886,6276,7941,5034,3873,3946,3440,5528,6485,7180,5633
grossProfitMargin,0.462,0.441,0.356,0.364,0.383,0.358,0.258,0.272,0.264,0.207,0.176,0.177,0.163,0.183,0.144,0.17,0.195
operatingProfitMargin,0.29,0.27,0.216,0.181,0.206,0.202,0.15,0.176,0.179,0.104,0.075,0.071,0.066,0.099,0.078,0.116,0.11
postTaxMargin,0.585,0.255,0.191,0.142,0.196,0.682,0.127,0.104,0.112,0.176,0.076,0.04,0.003,0.096,0.182,0.017,0.173
debtOnEquity,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.2
