Date,Open,High,Low,Close,Volume
05/04/2020,16410,16410,15660,15880,404050
05/05/2020,15880,15880,15570,15880,199960
05/06/2020,15880,16059,15710,15880,371930
05/07/2020,16110,16320,15840,16149,424580
05/08/2020,16110,16370,16010,16059,413560
05/11/2020,16770,16850,15920,16770,733410
05/12/2020,16890,17120,16630,17030,549130
05/13/2020,17030,17390,16680,17200,676310
05/14/2020,16890,17430,16770,17250,575970
05/15/2020,17340,17340,16770,17160,540940
05/18/2020,17160,17160,16890,17030,211940
05/19/2020,17120,17290,17080,17250,460510
05/20/2020,17250,17250,17030,17200,256160
05/21/2020,17200,17290,17080,17120,238910
05/22/2020,17200,17200,16990,17030,308830
05/25/2020,16890,17160,16890,17120,240930
05/26/2020,17290,17870,17290,17780,580970
05/27/2020,18090,18090,17290,17290,384870
05/28/2020,17390,17560,17120,17290,196260
05/29/2020,17390,17430,17120,17290,330870
06/01/2020,17510,17510,17250,17390,320680
06/02/2020,17560,17560,16940,16940,471480
06/03/2020,16940,17560,16890,17390,595720
06/04/2020,17470,17510,17290,17510,406150
06/05/2020,17510,18400,17290,18400,802660
06/08/2020,18440,18750,18090,18620,995290
06/09/2020,18530,18790,18270,18310,289650
06/10/2020,18090,18440,18000,18440,444990
06/11/2020,18440,18530,17160,17160,738480
06/12/2020,16320,17470,16320,17470,593750
06/15/2020,17870,17870,16770,16770,214760
06/16/2020,16940,17290,16850,17250,180310
06/17/2020,17250,17390,16890,17120,93350
06/18/2020,16940,17160,16850,17120,181850
06/19/2020,17030,17340,17030,17340,229200
06/22/2020,17340,17470,17290,17470,377800
06/23/2020,17600,18090,17470,17650,455710
06/24/2020,17820,17910,17290,17650,226780
06/25/2020,17160,17560,17080,17430,123090
06/26/2020,17430,17560,17120,17290,198940
06/29/2020,17120,17120,16370,16770,385800
06/30/2020,16770,16850,16370,16410,264890
07/01/2020,16410,16770,16410,16680,110530
07/02/2020,16680,16770,16590,16680,42850
07/03/2020,16680,16770,16630,16680,94940
07/06/2020,16770,16940,16770,16890,142180
07/07/2020,16940,17030,16850,16890,161710
07/08/2020,16890,16940,16770,16850,77840
07/09/2020,16810,17120,16770,17030,284050
07/10/2020,17030,17030,16850,16940,107920
07/13/2020,17160,17160,16940,17030,190260
07/14/2020,17030,17080,16940,17030,86810
07/15/2020,17030,17560,17030,17430,430110
07/16/2020,17560,17600,17290,17340,162340
07/17/2020,17340,17430,17200,17290,104600
07/20/2020,17250,17290,17030,17250,259790
07/21/2020,17290,17340,17160,17250,68740
