Date,Open,High,Low,Close,Volume
05/04/2020,1700,1730,1660,1730,14310
05/05/2020,1700,1700,1660,1660,13100
05/06/2020,1660,1700,1660,1700,8406
05/07/2020,1660,1700,1660,1700,34504
05/08/2020,1700,1730,1700,1700,26519
05/11/2020,1730,1730,1700,1730,52116
05/12/2020,1700,1730,1700,1700,30604
05/13/2020,1700,1700,1660,1660,78800
05/14/2020,1700,1770,1700,1730,55686
05/15/2020,1730,1730,1730,1730,18200
05/18/2020,1700,1730,1700,1730,39400
05/19/2020,1730,1800,1730,1730,80050
05/20/2020,1730,1770,1730,1770,11300
05/21/2020,1730,1730,1700,1700,45500
05/22/2020,1730,1800,1730,1800,68020
05/25/2020,1770,1800,1770,1770,13700
05/26/2020,1770,1800,1770,1770,49409
05/27/2020,1770,1800,1590,1730,128559
05/28/2020,1770,1770,1700,1700,70600
05/29/2020,1730,1770,1730,1770,14740
06/01/2020,1730,1830,1700,1830,354567
06/02/2020,1830,1830,1770,1770,13710
06/03/2020,1770,1800,1770,1800,15733
06/04/2020,1770,1870,1730,1830,323225
06/05/2020,1830,1900,1830,1900,262270
06/08/2020,1940,2080,1940,2080,543527
06/09/2020,2100,2280,2100,2220,513151
06/10/2020,2180,2420,2140,2420,457161
06/11/2020,2450,2670,2390,2450,683834
06/12/2020,2390,2420,2280,2390,75968
06/15/2020,2390,2390,2220,2360,73838
06/16/2020,2240,2310,2180,2180,76849
06/17/2020,2280,2360,2180,2220,48998
06/18/2020,2140,2240,2009,2220,46840
06/19/2020,2220,2240,2180,2240,12502
06/22/2020,2240,2280,2180,2180,77103
06/23/2020,2180,2390,2180,2390,1014944
06/24/2020,2420,2590,2420,2590,1582497
06/25/2020,2590,2830,2590,2830,1155032
06/26/2020,2870,2900,2590,2730,1017518
06/29/2020,2730,2730,2560,2630,499235
06/30/2020,2630,2700,2420,2420,537285
07/01/2020,2450,2590,2420,2590,445280
07/02/2020,2590,2670,2530,2560,261300
07/03/2020,2560,2630,2450,2560,329465
07/06/2020,2500,2560,2450,2500,272260
07/07/2020,2530,2590,2500,2500,281573
07/08/2020,2500,2560,2500,2560,210518
07/09/2020,2710,2790,2630,2790,228698
07/10/2020,2680,2860,2680,2830,132485
07/13/2020,2830,2860,2750,2750,142627
07/14/2020,2750,2750,2680,2750,147800
07/15/2020,2750,2750,2630,2750,246649
07/16/2020,2750,2830,2680,2710,126300
07/17/2020,2710,2710,2630,2680,55810
07/20/2020,2600,2680,2560,2630,84022
07/21/2020,2630,2710,2560,2710,147720
07/22/2020,2750,2970,2710,2950,379253
07/23/2020,2900,3210,2900,3210,1261640
07/24/2020,3210,3480,3170,3400,1186000
07/27/2020,3280,3430,3100,3100,408427
07/28/2020,3100,3400,2900,3400,962090
07/29/2020,3400,3400,3100,3250,500170
07/30/2020,3250,3480,3210,3370,619486
07/31/2020,3370,3400,3210,3250,181000
08/03/2020,3210,3400,3210,3280,721504
08/04/2020,3250,3480,3210,3280,554000
08/05/2020,3280,3400,3210,3250,187600
08/06/2020,3250,3250,3130,3210,144477
08/07/2020,3210,3250,3100,3170,119113
08/10/2020,3170,3280,3170,3170,152300
08/11/2020,3170,3250,3130,3170,111710
08/12/2020,3170,3250,3130,3250,109848
08/13/2020,3250,3370,3210,3320,190177
08/14/2020,3320,3320,3250,3280,102392
08/17/2020,3250,3280,3100,3250,141421
08/18/2020,3210,3210,3100,3100,92600
08/19/2020,3100,3280,3100,3250,193410
08/20/2020,3250,3400,3250,3280,207032
08/21/2020,3280,3430,3280,3370,154237
08/24/2020,3400,3430,3370,3400,206200
08/25/2020,3400,3430,3320,3320,180020
08/26/2020,3320,3400,3320,3370,124594
08/27/2020,3370,3670,3370,3670,939930
08/28/2020,3700,4010,3700,3940,681308
08/31/2020,3900,4240,3900,3940,375830
