Date,ACB,VIX,MBB,GMD,HDB
5/4/2020,8340,1730,7230,15880,6900
5/5/2020,8340,1660,7210,15880,6940
5/6/2020,8550,1700,7280,15880,6860
5/7/2020,8720,1700,7430,16149,6830
5/8/2020,8800,1700,7570,16059,7170
5/11/2020,8920,1730,7670,16770,7230
5/12/2020,8960,1700,7840,17030,7280
5/13/2020,8920,1660,7980,17200,7600
5/14/2020,8800,1730,7900,17250,7370
5/15/2020,8920,1730,7740,17160,7320
5/18/2020,8960,1730,7770,17030,7430
5/19/2020,9130,1730,7940,17250,7550
5/20/2020,9130,1770,7900,17200,7510
5/21/2020,9210,1700,8029,17120,8029
5/22/2020,9210,1800,7870,17030,7660
5/25/2020,9300,1770,7900,17120,7720
5/26/2020,9580,1770,8029,17780,7800
5/27/2020,9380,1730,7900,17290,7600
5/28/2020,9410,1700,7900,17290,7600
5/29/2020,9410,1770,7840,17290,7760
6/1/2020,10320,1830,8140,17390,7990
6/2/2020,10200,1770,8170,16940,8550
6/3/2020,10490,1800,8230,17390,9130
6/4/2020,10410,1830,8210,17510,8910
6/5/2020,10370,1900,8170,18400,8820
6/8/2020,10450,2080,8260,18620,8780
6/9/2020,10490,2220,8260,18310,8990
6/10/2020,10530,2420,8490,18440,8970
6/11/2020,10070,2450,7980,17160,8720
6/12/2020,10070,2390,8060,17470,8620
6/15/2020,9580,2360,7760,16770,8760
6/16/2020,9790,2180,7940,17250,8760
6/17/2020,9750,2220,7900,17120,8610
6/18/2020,9790,2220,7900,17120,8510
6/19/2020,10030,2240,7980,17340,8590
6/22/2020,9920,2180,7980,17470,8500
6/23/2020,9870,2390,7980,17650,8500
6/24/2020,9790,2590,8010,17650,8420
6/25/2020,9750,2830,7910,17430,8240
6/26/2020,9710,2730,7910,17290,8119
6/29/2020,9410,2630,7700,16770,7920
6/30/2020,9380,2420,7570,16410,7960
7/1/2020,9540,2590,7710,16680,7870
7/2/2020,9500,2560,7700,16680,7920
7/3/2020,9460,2560,7700,16680,8330
7/6/2020,9710,2500,7760,16890,8330
7/7/2020,9750,2500,7800,16890,8330
7/8/2020,9830,2560,7830,16850,8350
7/9/2020,9990,2790,7970,17030,8720
7/10/2020,9870,2830,7870,16940,8550
7/13/2020,9830,2750,7840,17030,8550
7/14/2020,9870,2750,7830,17030,8560
7/15/2020,9870,2750,7900,17430,8610
7/16/2020,9870,2710,7980,17340,8720
7/17/2020,10200,2680,7980,17290,8630
7/20/2020,10070,2630,7840,17250,8570
7/21/2020,10120,2710,7900,17250,8510
7/22/2020,10030,2950,7830,17250,8430
7/23/2020,9950,3210,7770,17160,8530
7/24/2020,9540,3400,7530,16410,8109
7/27/2020,8960,3100,7010,15310,7550
7/28/2020,9410,3400,7430,16190,7700
7/29/2020,9130,3250,7140,15710,7630
7/30/2020,9300,3370,7230,16230,7720
7/31/2020,9260,3250,7180,16149,7680
8/3/2020,9540,3280,7400,16370,7820
8/4/2020,9750,3280,7480,16890,7900
8/5/2020,9870,3250,7550,17960,8170
8/6/2020,9790,3210,7460,18050,8330
8/7/2020,9750,3170,7430,17870,8350
8/10/2020,9790,3170,7500,17690,8500
8/11/2020,10450,3170,7530,18310,8560
8/12/2020,10450,3250,7700,18400,8610
8/13/2020,10490,3320,7740,18530,8690
