Ticker,Date,Open,High,Low,Close,Volume
DCM,05/04/2020,6.44,6.5,6.19,6.19,1562950
DCM,05/05/2020,6.15,6.39,6.15,6.31,1230410
DCM,05/06/2020,6.27,6.39,6.27,6.35,1103120
DCM,05/07/2020,6.33,6.37,6.24,6.28,1236080
DCM,05/08/2020,6.24,6.39,6.23,6.26,1846120
DCM,05/11/2020,6.25,6.35,6.23,6.25,1104570
DCM,05/12/2020,6.24,6.68,6.24,6.68,4383450
DCM,05/13/2020,6.74,6.93,6.6,6.88,2881960
DCM,05/14/2020,6.67,6.86,6.67,6.7,1280770
DCM,05/15/2020,6.7,6.7,6.35,6.5,2374630
DCM,05/18/2020,6.5,6.5,6.3,6.41,1479440
DCM,05/19/2020,6.46,6.59,6.39,6.44,1672890
DCM,05/20/2020,6.5,6.86,6.46,6.79,2554830
DCM,05/21/2020,6.41,6.81,6.41,6.66,1113960
DCM,05/22/2020,6.63,6.95,6.58,6.73,2390430
DCM,05/25/2020,6.73,7.09,6.67,6.97,2392630
DCM,05/26/2020,6.97,6.97,6.84,6.9,1369530
DCM,05/27/2020,6.91,7.0,6.6,6.6,1976250
DCM,05/28/2020,6.74,6.76,6.6,6.68,1486580
DCM,05/29/2020,6.68,6.73,6.63,6.66,815760
DCM,06/01/2020,6.67,6.77,6.66,6.68,1273410
DCM,06/02/2020,6.7,6.7,6.27,6.47,2830060
DCM,06/03/2020,6.46,6.5,6.39,6.5,1052660
DCM,06/04/2020,6.7,6.7,6.5,6.54,660300
DCM,06/05/2020,6.39,6.7,6.39,6.61,868980
DCM,06/08/2020,6.6,6.74,6.6,6.62,1923210
DCM,06/09/2020,6.67,6.84,6.62,6.81,3821740
DCM,06/10/2020,6.87,6.96,6.7,6.89,2686710
DCM,06/11/2020,6.94,7.17,6.42,6.42,4633900
DCM,06/12/2020,6.42,6.67,6.41,6.6,2516500
DCM,06/15/2020,6.6,6.81,6.5,6.58,1966350
DCM,06/16/2020,6.67,6.76,6.55,6.67,1822420
DCM,06/17/2020,6.62,6.82,6.62,6.71,1478610
DCM,06/18/2020,6.7,6.72,6.61,6.67,671580
DCM,06/19/2020,6.67,6.93,6.67,6.9,2790890
DCM,06/22/2020,6.96,7.39,6.95,7.39,6138070
DCM,06/23/2020,7.57,7.72,7.21,7.52,4039140
DCM,06/24/2020,7.45,7.52,7.23,7.23,1911620
DCM,06/25/2020,7.29,7.69,7.15,7.45,4881260
DCM,06/26/2020,7.52,7.62,7.25,7.25,1692050
DCM,06/29/2020,7.21,7.25,6.81,6.96,3275200
DCM,06/30/2020,7.01,7.11,6.48,6.68,3860800
DCM,07/01/2020,6.69,6.98,6.62,6.9,1627540
DCM,07/02/2020,6.9,7.0,6.79,6.83,787860
DCM,07/03/2020,6.83,6.89,6.74,6.79,1248610
DCM,07/06/2020,6.82,6.92,6.75,6.88,987580
DCM,07/07/2020,6.89,6.97,6.89,6.89,1851610
DCM,07/08/2020,6.89,7.13,6.87,7.07,1861080
