Ticker,Date,Open,High,Low,Close,Volume
ACB,02/02/2024,25.95,26.3,25.85,26.25,14529200
ACB,02/05/2024,26.25,28.0,26.15,27.8,28121400
ACB,02/06/2024,27.85,27.9,27.65,27.85,5447300
ACB,02/07/2024,27.85,28.2,27.85,28.0,11893900
ACB,02/15/2024,28.05,28.4,27.2,27.2,14244300
ACB,02/16/2024,27.5,27.6,27.3,27.6,9495400
ACB,02/19/2024,27.7,27.7,27.2,27.7,11856900
ACB,02/20/2024,27.5,27.75,27.35,27.55,7316400
ACB,02/21/2024,27.5,27.9,27.4,27.7,10251900
ACB,02/22/2024,27.7,27.75,27.5,27.65,7401800
ACB,02/23/2024,27.7,28.4,27.3,27.3,25975600
ACB,02/26/2024,27.3,27.7,27.1,27.5,9785600
ACB,02/27/2024,27.7,27.7,27.35,27.6,12054800
ACB,02/28/2024,27.65,28.0,27.55,28.0,10460800
ACB,02/29/2024,28.1,28.25,27.7,28.0,9951400
ACB,03/01/2024,28.0,28.0,27.55,27.8,10193800
ACB,03/04/2024,27.8,28.2,27.4,27.8,13216500
ACB,03/05/2024,27.8,28.0,27.55,27.95,6332600
ACB,03/06/2024,28.0,28.15,27.55,27.6,9791600
ACB,03/07/2024,27.6,27.7,27.4,27.5,10165800
ACB,03/08/2024,27.5,27.65,27.0,27.05,23017000
ACB,03/11/2024,27.05,27.1,26.65,26.75,12015800
ACB,03/12/2024,26.65,26.85,26.6,26.75,8312600
ACB,03/13/2024,26.75,27.65,26.75,27.65,8935300
