Ticker,Date,Open,High,Low,Close,Volume
CTG,02/02/2024,32.0,32.15,31.55,31.7,4536600
CTG,02/05/2024,31.75,33.9,31.75,33.9,21679700
CTG,02/06/2024,34.0,34.45,33.85,34.4,8645600
CTG,02/07/2024,34.4,36.3,34.4,35.5,13534000
CTG,02/15/2024,35.6,35.8,35.0,35.0,8849700
CTG,02/16/2024,35.3,35.3,34.65,35.25,7504900
CTG,02/19/2024,35.1,35.5,34.5,35.4,10677500
CTG,02/20/2024,35.3,35.6,34.7,35.2,6832100
CTG,02/21/2024,35.25,36.2,35.05,35.55,10391600
CTG,02/22/2024,35.7,35.75,35.25,35.7,7056000
CTG,02/23/2024,35.8,37.15,35.0,35.2,25763100
CTG,02/26/2024,35.2,35.85,35.1,35.65,6391800
CTG,02/27/2024,35.7,36.3,35.45,36.15,9066000
CTG,02/28/2024,36.4,36.45,35.65,35.95,9809600
CTG,02/29/2024,36.2,36.3,35.2,35.55,12798100
CTG,03/01/2024,35.7,35.7,35.0,35.6,9179700
CTG,03/04/2024,35.6,36.9,35.15,36.0,17569600
CTG,03/05/2024,36.0,36.45,35.75,36.45,7378300
CTG,03/06/2024,36.4,36.95,35.65,36.1,11114900
CTG,03/07/2024,36.0,36.05,35.45,35.8,8882900
CTG,03/08/2024,35.8,35.85,34.5,34.5,20828300
CTG,03/11/2024,34.5,34.75,33.9,34.15,7842600
CTG,03/12/2024,34.0,34.6,33.95,34.5,6760600
CTG,03/13/2024,34.6,35.15,34.2,35.15,6141800
