Ticker,Date,Open,High,Low,Close,Volume
HDB,05/04/2020,6.62,6.94,6.59,6.9,1813200
HDB,05/05/2020,6.92,6.96,6.77,6.94,1177050
HDB,05/06/2020,6.92,6.92,6.78,6.86,393860
HDB,05/07/2020,6.99,6.99,6.8,6.83,1204160
HDB,05/08/2020,6.83,7.3,6.83,7.17,2216860
HDB,05/11/2020,7.23,7.34,7.05,7.23,1469200
HDB,05/12/2020,7.23,7.34,7.19,7.28,1016600
HDB,05/13/2020,7.24,7.66,7.12,7.6,2269340
HDB,05/14/2020,7.43,7.53,7.37,7.37,860840
HDB,05/15/2020,7.37,7.53,7.23,7.32,561390
HDB,05/18/2020,7.28,7.43,7.23,7.43,880590
HDB,05/19/2020,7.6,7.66,7.47,7.55,1318090
HDB,05/20/2020,7.47,7.55,7.47,7.51,435170
HDB,05/21/2020,7.43,8.029,7.43,8.029,1123550
HDB,05/22/2020,7.7,7.85,7.64,7.66,1046640
HDB,05/25/2020,7.7,7.82,7.63,7.72,942600
HDB,05/26/2020,7.6,7.8,7.6,7.8,755080
HDB,05/27/2020,7.96,7.96,7.6,7.6,850800
HDB,05/28/2020,7.7,7.7,7.58,7.6,510180
HDB,05/29/2020,7.57,7.76,7.45,7.76,937900
HDB,06/01/2020,7.77,8.01,7.77,7.99,890790
HDB,06/02/2020,8.55,8.55,8.5,8.55,2242700
HDB,06/03/2020,9.13,9.13,8.65,9.13,1999730
HDB,06/04/2020,9.13,9.2,8.91,8.91,943650
HDB,06/05/2020,8.78,8.91,8.62,8.82,931870
HDB,06/08/2020,8.84,8.94,8.74,8.78,1490380
HDB,06/09/2020,8.78,9.01,8.74,8.99,1001390
HDB,06/10/2020,8.99,9.01,8.78,8.97,719230
HDB,06/11/2020,8.91,8.94,8.62,8.72,1803480
HDB,06/12/2020,8.21,8.65,8.21,8.62,926890
HDB,06/15/2020,9.13,9.18,8.5,8.76,2666010
HDB,06/16/2020,8.82,8.84,8.65,8.76,1728880
HDB,06/17/2020,8.76,8.76,8.59,8.61,589790
HDB,06/18/2020,8.5,8.57,8.43,8.51,683790
HDB,06/19/2020,8.44,8.59,8.44,8.59,456590
HDB,06/22/2020,8.63,8.63,8.38,8.5,644540
HDB,06/23/2020,8.59,8.59,8.44,8.5,616470
HDB,06/24/2020,8.5,8.53,8.4,8.42,463340
HDB,06/25/2020,8.35,8.35,8.17,8.24,730410
HDB,06/26/2020,8.33,8.37,8.06,8.119,929440
HDB,06/29/2020,8.01,8.06,7.64,7.92,1592010
HDB,06/30/2020,7.98,8.029,7.64,7.96,1007010
HDB,07/01/2020,7.8,7.96,7.72,7.87,926460
HDB,07/02/2020,8.01,8.08,7.83,7.92,707210
HDB,07/03/2020,7.99,8.46,7.96,8.33,1696380
HDB,07/06/2020,8.33,8.43,8.23,8.33,776970
HDB,07/07/2020,8.42,8.43,8.33,8.33,674050
HDB,07/08/2020,8.33,8.37,8.24,8.35,514700
HDB,07/09/2020,8.35,8.76,8.35,8.72,1668270
HDB,07/10/2020,8.59,8.77,8.53,8.55,1022700
HDB,07/13/2020,8.56,8.65,8.46,8.55,799240
HDB,07/14/2020,8.53,8.57,8.42,8.56,1155520
HDB,07/15/2020,8.56,8.72,8.56,8.61,726130
HDB,07/16/2020,8.61,8.72,8.53,8.72,828530
HDB,07/17/2020,8.61,8.67,8.61,8.63,600150
HDB,07/20/2020,8.65,8.72,8.56,8.57,735140
HDB,07/21/2020,8.63,8.63,8.5,8.51,658420
HDB,07/22/2020,8.51,8.61,8.37,8.43,681160
HDB,07/23/2020,8.43,8.53,8.37,8.53,567900
HDB,07/24/2020,8.43,8.5,7.96,8.109,1302970
HDB,07/27/2020,7.6,7.96,7.55,7.55,1665640
HDB,07/28/2020,7.55,7.79,7.39,7.7,1964660
HDB,07/29/2020,7.43,7.7,7.34,7.63,960200
HDB,07/30/2020,7.57,7.77,7.57,7.72,500710
HDB,07/31/2020,7.39,7.72,7.39,7.68,691900
HDB,08/03/2020,7.62,7.89,7.62,7.82,575950
HDB,08/04/2020,7.98,7.98,7.82,7.9,477290
HDB,08/05/2020,7.9,8.21,7.87,8.17,803780
HDB,08/06/2020,8.17,8.42,8.039,8.33,960720
HDB,08/07/2020,8.33,8.37,8.24,8.35,619710
HDB,08/10/2020,8.37,8.59,8.37,8.5,1042010
HDB,08/11/2020,8.56,8.62,8.44,8.56,932030
