Ticker,Date,Open,High,Low,Close,Volume
KBC,05/04/2020,9.34,9.41,9.23,9.26,3111820
KBC,05/05/2020,9.26,9.68,9.26,9.68,3044010
KBC,05/06/2020,9.75,9.75,9.53,9.53,1773810
KBC,05/07/2020,9.64,9.71,9.49,9.6,3304330
KBC,05/08/2020,9.75,9.83,9.53,9.64,4614030
KBC,05/11/2020,9.83,10.05,9.64,9.83,2110900
KBC,05/12/2020,9.83,10.13,9.68,9.98,3524880
KBC,05/13/2020,9.98,10.16,9.83,9.83,3319350
KBC,05/14/2020,9.86,10.05,9.79,9.79,2290800
KBC,05/15/2020,9.83,9.94,9.56,9.64,2332130
KBC,05/18/2020,9.68,9.71,9.53,9.68,1469440
KBC,05/19/2020,9.9,9.98,9.75,9.86,3770060
KBC,05/20/2020,9.79,9.9,9.79,9.79,1544960
KBC,05/21/2020,9.86,9.9,9.75,9.75,3134370
KBC,05/22/2020,9.79,9.79,9.6,9.64,3244960
KBC,05/25/2020,9.71,10.28,9.64,10.28,6545850
KBC,05/26/2020,10.61,10.84,10.58,10.69,3652010
KBC,05/27/2020,10.73,10.73,10.39,10.43,2880810
KBC,05/28/2020,10.28,10.5,10.28,10.39,3363820
KBC,05/29/2020,10.28,10.65,10.28,10.54,3920880
KBC,06/01/2020,10.58,11.03,10.58,10.95,3656730
KBC,06/02/2020,10.99,11.03,10.58,10.61,4239540
KBC,06/03/2020,10.54,10.84,10.46,10.69,3495830
KBC,06/04/2020,10.69,10.99,10.61,10.65,3224570
KBC,06/05/2020,10.65,10.88,10.54,10.8,1939380
KBC,06/08/2020,10.95,11.21,10.84,10.88,3633850
KBC,06/09/2020,10.88,11.4,10.76,11.1,4940700
KBC,06/10/2020,11.25,11.85,11.1,11.85,7723460
KBC,06/11/2020,12.53,12.68,11.63,11.63,10281670
KBC,06/12/2020,11.03,11.78,11.03,11.63,4543820
KBC,06/15/2020,11.66,11.81,10.88,10.88,4108250
KBC,06/16/2020,11.1,11.36,10.95,11.33,3161360
KBC,06/17/2020,11.21,11.33,10.88,11.18,2259930
KBC,06/18/2020,10.91,11.18,10.88,11.03,2294100
KBC,06/19/2020,11.21,11.33,11.1,11.25,2879690
KBC,06/22/2020,11.33,11.51,11.29,11.29,2588880
KBC,06/23/2020,11.29,11.4,11.06,11.14,2859720
KBC,06/24/2020,11.14,11.21,10.8,11.06,3003410
KBC,06/25/2020,10.91,11.06,10.84,10.91,1771000
KBC,06/26/2020,10.99,11.06,10.8,10.84,1989830
KBC,06/29/2020,10.73,10.73,10.13,10.43,2586200
KBC,06/30/2020,10.61,10.61,9.9,10.39,1962580
KBC,07/01/2020,10.16,10.65,10.05,10.54,1899370
KBC,07/02/2020,10.43,10.58,10.31,10.46,1292070
KBC,07/03/2020,10.39,10.5,10.24,10.24,1388830
KBC,07/06/2020,10.31,10.5,10.24,10.24,1951060
KBC,07/07/2020,10.39,10.5,10.39,10.5,1749060
KBC,07/08/2020,10.43,10.65,10.43,10.54,1453240
KBC,07/09/2020,10.54,10.73,10.54,10.65,2773650
KBC,07/10/2020,10.65,10.88,10.58,10.84,3656210
KBC,07/13/2020,10.95,11.1,10.84,10.88,2091660
KBC,07/14/2020,10.88,10.88,10.65,10.8,1134500
KBC,07/15/2020,10.8,10.91,10.65,10.65,1728050
KBC,07/16/2020,10.65,10.8,10.65,10.73,1161720
KBC,07/17/2020,10.73,10.88,10.58,10.8,1852720
KBC,07/20/2020,10.95,11.29,10.8,11.06,3975450
KBC,07/21/2020,11.06,11.29,10.95,11.29,1927280
KBC,07/22/2020,11.33,11.33,10.91,11.14,1822370
KBC,07/23/2020,10.95,11.1,10.65,10.8,2817370
KBC,07/24/2020,10.73,10.91,10.05,10.13,4211520
KBC,07/27/2020,9.6,9.86,9.45,9.53,3911580
KBC,07/28/2020,9.68,10.01,9.45,9.94,2580200
KBC,07/29/2020,9.6,9.83,9.45,9.71,3155820
KBC,07/30/2020,9.68,9.83,9.64,9.64,1317410
KBC,07/31/2020,9.3,9.53,9.26,9.3,2449810
KBC,08/03/2020,9.45,9.71,9.34,9.68,2127590
KBC,08/04/2020,9.75,9.9,9.71,9.79,1326010
KBC,08/05/2020,9.75,9.98,9.68,9.9,1687530
KBC,08/06/2020,9.79,10.05,9.75,9.9,1604510
KBC,08/07/2020,9.9,9.98,9.83,9.98,1244750
KBC,08/10/2020,10.05,10.46,10.05,10.24,2256360
KBC,08/11/2020,10.31,10.35,10.16,10.2,1475900
KBC,08/12/2020,10.28,10.28,10.05,10.16,1577260
KBC,08/13/2020,10.2,10.28,10.13,10.28,2131890
KBC,08/14/2020,10.2,10.31,9.98,10.05,2195830
KBC,08/17/2020,10.01,10.16,9.98,10.13,1288760
KBC,08/18/2020,10.01,10.2,10.01,10.09,1099430
KBC,08/19/2020,10.09,10.35,10.09,10.2,1748140
KBC,08/20/2020,10.13,10.31,10.13,10.16,1946110
KBC,08/21/2020,10.2,10.39,10.2,10.35,1939930
KBC,08/24/2020,10.43,10.46,10.35,10.43,1677480
KBC,08/25/2020,10.46,10.58,10.35,10.35,1518040
KBC,08/26/2020,10.35,10.65,10.28,10.43,2187810
KBC,08/27/2020,10.43,10.61,10.43,10.46,1190000
KBC,08/28/2020,10.58,10.61,10.46,10.46,1432490
KBC,08/31/2020,10.58,10.61,10.28,10.28,1933260
KBC,09/01/2020,10.28,10.35,10.16,10.24,2167350
KBC,09/03/2020,10.28,10.35,10.05,10.09,4542010
KBC,09/04/2020,9.98,10.24,9.94,10.2,3654190
KBC,09/07/2020,10.31,10.31,10.09,10.09,2010660
KBC,09/08/2020,10.16,10.24,10.09,10.24,1633950
KBC,09/09/2020,10.24,10.28,10.2,10.28,1709970
KBC,09/10/2020,10.39,10.46,10.31,10.31,2289760
KBC,09/11/2020,10.28,10.35,10.13,10.35,2608100
KBC,09/14/2020,10.35,10.35,10.13,10.16,2919290
KBC,09/15/2020,10.24,10.28,10.13,10.13,1895160
KBC,09/16/2020,10.16,10.31,10.13,10.24,2417320
KBC,09/17/2020,10.28,10.31,10.13,10.24,1309590
KBC,09/18/2020,10.2,10.28,10.16,10.24,1883560
KBC,09/21/2020,10.28,10.46,10.24,10.39,3046950
KBC,09/22/2020,10.39,10.43,10.28,10.43,2435550
KBC,09/23/2020,10.65,10.88,10.61,10.8,4622630
KBC,09/24/2020,10.73,10.8,10.61,10.73,2498870
KBC,09/25/2020,10.73,10.73,10.58,10.65,1616140
KBC,09/28/2020,10.65,10.73,10.58,10.73,2170650
KBC,09/29/2020,10.76,10.8,10.43,10.46,2821550
KBC,09/30/2020,10.46,10.65,10.46,10.65,2314850
KBC,10/01/2020,10.73,10.76,10.61,10.73,1899380
KBC,10/02/2020,10.73,10.8,10.13,10.58,4060050
KBC,10/05/2020,10.76,10.76,10.61,10.76,1898260
KBC,10/06/2020,10.76,11.33,10.76,11.25,5841330
KBC,10/07/2020,11.25,11.4,11.1,11.1,2948240
KBC,10/08/2020,11.1,11.21,10.88,10.99,3019630
KBC,10/09/2020,10.95,11.03,10.84,10.95,1836890
KBC,10/12/2020,10.95,10.99,10.76,10.76,1845310
