Date,Open,High,Low,Close,Volume
5/4/2020,8.431096,8.431096,8.266587,8.348842,1193000
5/5/2020,8.307714,8.389969,8.307714,8.348842,1125800
5/6/2020,8.389969,8.718987,8.307714,8.554479,4451400
5/7/2020,8.595606,8.718987,8.554479,8.718987,2971600
5/8/2020,8.760115,9.006879,8.636733,8.801242,5992400
5/11/2020,9.006879,9.006879,8.801242,8.924624,4106500
5/12/2020,8.924624,9.048006,8.801242,8.965752,4055600
5/13/2020,9.048006,9.048006,8.842369,8.924624,3452000
5/14/2020,8.924624,8.965752,8.801242,8.801242,3825900
5/15/2020,8.842369,9.13026,8.801242,8.924624,6934800
5/18/2020,9.006879,9.006879,8.801242,8.965752,2770400
5/19/2020,9.048006,9.253642,9.048006,9.13026,5558500
5/20/2020,9.089133,9.212515,9.048006,9.13026,3114400
5/21/2020,9.13026,9.335897,9.006879,9.212515,4620400
5/22/2020,9.253642,9.335897,9.171388,9.212515,4839100
5/25/2020,9.253642,9.335897,9.171388,9.29477,3517800
5/26/2020,9.253642,9.664915,9.253642,9.582661,5262900
5/27/2020,9.664915,9.74717,9.377025,9.377025,6386700
5/28/2020,9.377025,9.541533,9.377025,9.418152,3567800
5/29/2020,9.418152,9.459279,9.335897,9.418152,2392600
6/1/2020,9.459279,10.32295,9.418152,10.32295,13850100
6/2/2020,10.48746,10.89873,10.19957,10.19957,10929600
6/3/2020,10.19957,10.48746,10.19957,10.48746,3756300
6/4/2020,10.52859,10.56972,10.36408,10.40521,5156500
6/5/2020,10.44633,10.44633,10.2407,10.36408,4022900
6/8/2020,10.36408,10.6931,10.36408,10.44633,6084000
6/9/2020,10.48746,10.52859,10.36408,10.48746,3529600
6/10/2020,10.48746,10.65197,10.36408,10.52859,6491200
6/11/2020,10.52859,10.61084,10.03506,10.07619,9168700
6/12/2020,9.870552,10.07619,9.623788,10.07619,6646000
6/15/2020,10.15844,10.15844,9.541533,9.582661,5883800
6/16/2020,9.706043,9.952806,9.706043,9.788298,4196100
6/17/2020,9.993934,9.993934,9.664915,9.74717,1598000
6/18/2020,9.74717,9.829425,9.623788,9.788298,1300600
6/19/2020,9.788298,10.07619,9.788298,10.03506,2333200
6/22/2020,10.03506,10.15844,9.870552,9.911679,2255400
6/23/2020,9.952806,10.03506,9.829425,9.870552,3281000
6/24/2020,9.870552,9.993934,9.74717,9.788298,3012200
6/25/2020,9.74717,9.788298,9.664915,9.74717,2500300
6/26/2020,9.788298,9.870552,9.706043,9.706043,1398900
6/29/2020,9.706043,9.706043,9.335897,9.418152,4351100
6/30/2020,9.459279,9.582661,9.212515,9.377025,3583600
7/1/2020,9.377025,9.582661,9.377025,9.541533,1674900
7/2/2020,9.541533,9.623788,9.459279,9.500406,1069200
7/3/2020,9.541533,9.582661,9.459279,9.459279,1270400
7/6/2020,9.459279,9.74717,9.459279,9.706043,3202800
7/7/2020,9.74717,9.870552,9.74717,9.74717,2388800
7/8/2020,9.706043,9.870552,9.706043,9.829425,1646500
7/9/2020,9.829425,9.993934,9.829425,9.993934,2247200
7/10/2020,9.993934,10.03506,9.788298,9.870552,2283800
7/13/2020,9.911679,9.952806,9.788298,9.829425,1839200
7/14/2020,9.829425,9.911679,9.74717,9.870552,1406000
7/15/2020,9.952806,9.952806,9.870552,9.870552,1568900
7/16/2020,9.952806,9.952806,9.829425,9.870552,902900
7/17/2020,9.911679,10.28183,9.870552,10.19957,7887000
7/20/2020,10.19957,10.2407,10.07619,10.07619,2620900
7/21/2020,10.07619,10.11732,9.952806,10.11732,2192900
7/22/2020,10.11732,10.19957,9.952806,10.03506,1724900
7/23/2020,10.03506,10.03506,9.870552,9.952806,1954700
7/24/2020,9.993934,9.993934,9.253642,9.541533,5529700
7/27/2020,8.595606,9.418152,8.595606,8.965752,6236900
7/28/2020,8.965752,9.418152,8.842369,9.418152,2597300
7/29/2020,9.335897,9.377025,8.883497,9.13026,4928400
7/30/2020,8.924624,9.29477,8.924624,9.29477,1913700
7/31/2020,9.335897,9.335897,9.089133,9.253642,2219800
8/3/2020,9.089133,9.541533,9.089133,9.541533,3043200
8/4/2020,9.582661,9.829425,9.582661,9.74717,2905800
8/5/2020,9.829425,10.03506,9.74717,9.870552,5470800
8/6/2020,9.911679,9.911679,9.74717,9.788298,1873400
8/7/2020,9.829425,9.911679,9.664915,9.74717,2149900
8/10/2020,9.74717,9.911679,9.74717,9.788298,2575600
8/11/2020,9.870552,10.44633,9.829425,10.44633,15326000
8/12/2020,10.61084,10.65197,10.36408,10.44633,6087000
8/13/2020,10.44633,10.52859,10.40521,10.48746,3800800
8/14/2020,10.48746,10.48746,10.28183,10.40521,6678900
8/17/2020,10.40521,10.61084,10.36408,10.61084,6217800
8/18/2020,10.6931,10.73423,10.52859,10.52859,4707300
8/19/2020,10.56972,10.61084,10.44633,10.52859,9260300
8/20/2020,11.00959,11.33026,10.68892,11.11648,19468800
8/21/2020,11.11648,11.33026,11.00959,11.33026,7389300
8/24/2020,11.33026,11.49059,11.22337,11.22337,6818200
8/25/2020,11.22337,11.33026,11.11648,11.27681,7797500
8/26/2020,11.27681,11.3837,11.16992,11.33026,6016300
8/27/2020,11.33026,11.49059,11.27681,11.49059,4861400
8/28/2020,11.54403,11.65092,11.3837,11.43714,6943700
8/31/2020,11.43714,11.49059,11.27681,11.33026,7005200
