Date,Open,High,Low,Close,Volume
5/4/2020,31.71,31.71,31.24,31.37,236430
5/5/2020,30.94,31.65,30.94,31.59,130080
5/6/2020,31.05,31.73,31.05,31.12,165050
5/7/2020,31.51,31.51,31.09,31.23,217340
5/8/2020,31.09,31.59,31.03,31.27,401010
5/11/2020,31.59,31.93,30.94,31.59,136950
5/12/2020,31.59,32.99,31.59,32.99,392600
5/13/2020,32.85,34.03,32.71,33.34,209500
5/14/2020,33.34,33.66,32.85,32.85,206250
5/15/2020,32.85,32.91,32.31,32.59,170440
5/18/2020,32.07,32.81,32.07,32.81,137190
5/19/2020,32.99,33.3,32.85,32.85,219260
5/20/2020,32.63,33.4,32.63,32.85,258980
5/21/2020,32.99,32.99,32.63,32.67,302050
5/22/2020,32.99,32.99,32.63,32.81,401390
5/25/2020,32.95,32.99,32.45,32.99,266330
5/26/2020,32.99,34.25,32.85,34.11,274890
5/27/2020,34.11,34.22,33.94,33.94,129930
5/28/2020,33.69,34.03,33.34,33.54,81520
5/29/2020,33.54,33.8,33.05,33.48,121860
6/1/2020,33.48,33.9,33.34,33.4,63140
6/2/2020,33.62,33.62,33.34,33.34,137230
6/3/2020,33.48,33.83,32.99,33.48,126500
6/4/2020,33.9,34.74,33.58,34.53,228430
6/5/2020,34.53,35.79,34.11,35.59,320190
6/8/2020,36.28,37.12,35.94,36.92,247840
6/9/2020,36.92,37.12,35.09,36.5,171350
6/10/2020,36.77,36.77,35.79,36.22,167840
6/11/2020,36.36,36.36,35.45,35.45,240840
6/12/2020,33.83,35.37,33.83,34.88,189970
6/15/2020,35.31,35.31,33.9,34.25,132470
6/16/2020,35.09,35.73,34.39,34.88,142680
6/17/2020,34.88,36.5,34.88,34.88,198010
6/18/2020,34.88,36.42,34.88,36.14,115710
6/19/2020,36.42,38.19,36.14,37.9,516910
6/22/2020,37.9,38.95,37.9,38.61,438090
6/23/2020,38.47,38.61,38.19,38.38,165240
6/24/2020,39.23,39.45,37.9,38.24,345950
6/25/2020,38.24,38.24,37.76,37.9,146540
6/26/2020,38.61,38.61,38.05,38.24,83990
6/29/2020,38.24,38.33,36.98,37.06,227710
6/30/2020,37.26,37.76,36.14,36.42,177520
7/1/2020,36.5,37.96,36.5,37.76,235710
7/2/2020,37.76,38.47,37.2,38.05,156520
7/3/2020,38.53,39.65,38.05,39.31,304740
7/6/2020,39.31,39.31,38.05,38.05,96780
7/7/2020,38.05,38.81,38.05,38.05,206340
7/8/2020,38.38,38.61,38.05,38.1,30270
