Date,Open,High,Low,Close,Volume
5/4/2020,8.039,8.34,8.039,8.32,247816
5/5/2020,8.039,8.65,8.039,8.65,350359
5/6/2020,8.65,8.8,8.56,8.8,181340
5/7/2020,8.8,8.8,8.68,8.72,148535
5/8/2020,8.65,8.72,8.56,8.63,112405
5/11/2020,8.63,8.89,8.47,8.75,142960
5/12/2020,8.77,8.93,8.75,8.83,92045
5/13/2020,8.8,9.2,8.8,9.17,262110
5/14/2020,9.04,9.91,8.54,9.61,208233
5/15/2020,9.58,9.64,9.4,9.4,127265
5/18/2020,9.4,9.58,9.34,9.58,175832
5/19/2020,9.64,9.78,9.53,9.55,213095
5/20/2020,9.55,9.74,9.5,9.74,106815
5/21/2020,9.64,9.8,9.61,9.74,185542
5/22/2020,9.74,9.88,9.68,9.82,175128
5/25/2020,9.85,9.98,8.89,9.95,183478
5/26/2020,9.95,10.1,9.88,10.1,176738
5/27/2020,10.16,11.09,10.16,10.71,450728
5/28/2020,10.74,11.22,10.74,11.09,263841
5/29/2020,11.15,11.19,11.01,11.09,141908
6/1/2020,11.03,11.85,11.03,11.82,538274
6/2/2020,11.9,12.25,11.65,11.73,272601
6/3/2020,11.76,11.76,11.31,11.51,162716
6/4/2020,11.55,12.08,11.45,12.05,599621
6/5/2020,12.18,12.63,12.05,12.51,738332
6/8/2020,12.51,12.66,12.42,12.54,404654
6/9/2020,12.51,12.51,12.05,12.33,270883
6/10/2020,12.15,12.22,11.87,12.05,538759
6/11/2020,11.82,11.82,11.01,11.09,1411706
6/12/2020,10.84,11.61,10.55,11.61,310014
6/15/2020,11.69,11.82,11.45,11.61,221875
6/16/2020,11.45,11.66,11.45,11.65,94490
6/17/2020,11.65,11.65,11.48,11.51,85490
6/18/2020,11.55,11.55,11.36,11.45,133896
6/19/2020,11.45,12.05,11.45,11.85,182308
6/22/2020,11.85,11.85,11.69,11.69,168420
6/23/2020,11.76,11.76,11.65,11.69,46491
6/24/2020,11.73,11.82,11.55,11.58,126250
6/25/2020,11.55,11.66,11.45,11.58,95511
6/26/2020,11.58,12.33,11.58,11.94,499357
6/29/2020,11.87,11.87,11.61,11.69,181202
6/30/2020,11.69,11.9,11.51,11.9,225636
7/1/2020,11.69,12.05,11.66,11.99,201004
7/2/2020,11.99,11.99,11.87,11.9,81263
7/3/2020,11.96,12.45,11.96,12.3,883025
7/6/2020,12.22,12.39,12.05,12.3,170457
7/7/2020,12.3,12.35,12.15,12.15,150287
7/8/2020,12.05,12.35,11.69,12.15,476980
7/9/2020,12.05,12.12,11.76,12.08,166432
7/10/2020,12.08,12.15,11.9,12.03,160900
7/13/2020,12.03,12.3,11.9,12.12,226205
7/14/2020,12.05,12.15,11.94,12.03,124210
7/15/2020,12.05,12.12,11.9,11.99,260340
7/16/2020,12.15,12.6,12.05,12.18,779858
7/17/2020,12.22,12.33,12.12,12.18,540257
7/28/2020,11.36,11.45,10.84,11.33,485410
7/29/2020,11.22,11.22,10.55,10.55,731630
7/30/2020,10.55,10.74,10.34,10.43,368450
7/31/2020,10.4,10.84,10.1,10.48,643970
8/3/2020,10.55,11.15,10.55,11.15,380170
8/4/2020,11.43,11.55,11.22,11.31,380200
8/5/2020,11.31,11.42,11.19,11.39,317210
8/6/2020,11.31,11.45,11.28,11.33,537190
8/7/2020,11.33,11.83,11.33,11.51,527370
8/10/2020,11.76,11.76,11.47,11.51,302990
8/11/2020,11.58,11.62,11.42,11.49,326110
8/12/2020,11.43,11.43,11.16,11.27,665380
8/13/2020,11.38,11.38,11.2,11.3,221570
8/14/2020,11.3,11.51,11.27,11.43,256780
8/17/2020,11.4,11.4,11.25,11.33,177770
8/18/2020,11.33,11.4,11.29,11.29,109400
8/19/2020,11.29,11.91,11.18,11.74,626730
8/20/2020,11.85,12,11.76,11.78,767220
8/21/2020,11.85,11.91,11.8,11.85,282930
8/24/2020,11.93,12.68,11.93,12.68,4781900
8/25/2020,13.56,13.56,13.47,13.56,1811880
8/26/2020,14.38,14.38,13.72,13.86,2096060
8/27/2020,13.72,13.88,13.34,13.72,2243470
8/28/2020,13.86,14.21,13.79,13.86,1449190
8/31/2020,13.86,14.14,13.4,13.67,1303820
9/1/2020,13.52,13.67,13.42,13.58,833310
9/3/2020,13.69,13.96,13.54,13.94,1653680
9/4/2020,13.76,13.88,13.62,13.84,951570
9/7/2020,13.86,14.35,13.86,14.04,2562860
9/8/2020,14.04,14.17,13.89,14.17,886790
9/9/2020,13.89,14.68,13.89,14.45,1012290
9/10/2020,14.56,14.6,14.15,14.21,1203660
9/11/2020,14.14,14.35,14.04,14.33,707090
9/14/2020,14.33,14.6,14.17,14.47,1295800
9/15/2020,14.47,14.54,14.27,14.27,936610
9/16/2020,14.21,14.33,14.11,14.25,671980
9/17/2020,14.25,14.33,14.04,14.14,836830
9/18/2020,14.09,14.29,14.09,14.27,566520
9/21/2020,14.35,14.49,14.14,14.14,847720
