Date,Open,High,Low,Close,Volume,,
5/4/2020,21.51,21.87,21.12,21.31,289090,,
5/5/2020,21.51,21.51,21.17,21.46,87930,,
5/6/2020,21.6,21.63,21.17,21.35,261550,,
5/7/2020,21.46,22.03,21.37,21.69,567310,,
5/8/2020,21.87,21.87,21.35,21.35,304240,,
5/11/2020,21.37,21.58,21.2,21.37,254550,,
5/12/2020,21.37,21.6,21.2,21.46,370260,,
5/13/2020,21.46,21.66,21.25,21.63,283710,,
5/14/2020,21.87,22.19,21.28,21.28,1094730,,
5/15/2020,21.51,21.51,21.35,21.46,151330,,
5/18/2020,21.46,21.51,21.28,21.41,146360,,
5/19/2020,21.35,21.41,20.6,20.66,878150,,
5/20/2020,20.32,20.66,20.32,20.4,211030,,
5/21/2020,20.37,20.95,20.37,20.89,75350,,
5/22/2020,20.71,20.89,20.66,20.66,94110,,
5/25/2020,20.66,20.78,20.47,20.57,152570,,
5/26/2020,20.6,21.41,20.54,21.28,253900,,
5/27/2020,21.63,21.63,20.95,20.95,105450,,
5/28/2020,20.95,21.35,20.78,21.17,240700,,
5/29/2020,21.05,21.37,20.95,21.05,60680,,
6/1/2020,21,21.09,20.74,20.78,176740,,
6/2/2020,20.84,21.17,20.71,21.03,149130,,
6/3/2020,21.12,21.12,20.78,20.95,160230,,
6/4/2020,20.95,20.95,20.51,20.57,416050,,
6/5/2020,20.47,20.47,20.24,20.32,312770,,
6/8/2020,20.32,20.95,20.32,20.71,287730,,
6/9/2020,20.86,20.86,20.4,20.43,145720,,
6/10/2020,20.68,20.8,20.32,20.6,241930,,
6/11/2020,20.6,20.84,20.03,20.03,362810,,
6/12/2020,19.23,19.97,19.23,19.74,513410,,
6/15/2020,19.8,19.83,19.12,19.23,288290,,
6/16/2020,19.34,19.52,19.17,19.45,193070,,
6/17/2020,19.57,19.9,19.28,19.86,348490,,
6/18/2020,19.9,20.32,19.74,20.08,223990,,
6/19/2020,20.32,20.32,19.68,19.74,359300,,
6/22/2020,19.74,19.74,19.55,19.57,307480,,
6/23/2020,19.57,19.57,19.45,19.52,368900,,
6/24/2020,19.52,20.03,19.44,19.83,421690,,
6/25/2020,20.03,20.03,19.68,19.86,404650,,
6/26/2020,19.86,20.89,19.86,20.14,677170,,
6/29/2020,19.74,20.6,19.45,19.45,597050,,
6/30/2020,20.03,20.03,19.52,19.77,533910,,
7/1/2020,19.77,20.47,19.74,20.36,533490,,
7/2/2020,20.54,21.75,20.21,21.69,2773060,,
7/3/2020,21.91,22.6,21.12,21.17,1169170,,
7/6/2020,21.24,21.75,20.71,20.71,1445760,,
7/7/2020,20.8,21.31,20.32,20.32,1730330,,
7/8/2020,20.84,21.72,20.84,21.72,2387470,,
7/9/2020,23.23,23.23,23,23.23,1263310,,
7/10/2020,23.23,23.99,23.23,23.74,2380990,,
7/13/2020,23.45,24.61,23.45,24.01,1531970,,
7/14/2020,23.99,24.61,23.95,24.61,1304480,,
7/15/2020,24.9,24.95,23.74,23.74,1351200,,
7/16/2020,23.74,24.45,23.74,24.42,1019810,,
7/17/2020,24.33,24.98,24.3,24.57,975650,,
7/20/2020,24.57,25.03,24.03,24.26,1576530,,
7/21/2020,24.21,24.21,23.23,23.84,1627280,,
7/22/2020,23.8,24.26,23.74,23.9,1001600,,
7/23/2020,23.87,24.9,23.66,24.9,1283610,,
7/24/2020,24.61,25.29,23.18,24.03,2741350,,
7/27/2020,23.23,23.74,22.6,22.78,1868940,,
7/28/2020,23.15,24.09,22.81,23.84,912110,,
7/29/2020,23.42,23.66,22.43,23.45,1821910,,
7/30/2020,23.66,23.74,23.45,23.48,925680,,
7/31/2020,23.45,23.58,22.92,23.07,880480,,
8/3/2020,23.07,23.87,23.07,23.8,789560,,
8/4/2020,24.03,24.03,23.66,24.01,628220,,
8/5/2020,24.03,25.41,23.95,25.41,2154120,,
8/6/2020,25.63,25.93,25.06,25.75,1335300,,
8/7/2020,25.75,25.93,25.35,25.93,1093430,,
8/10/2020,25.86,26,25.23,25.23,1124990,,
8/11/2020,25.23,25.7,25.13,25.63,2103010,,
8/12/2020,25.75,25.75,25.25,25.47,687600,,
8/13/2020,25.59,26.16,25.29,26.16,1328670,,
8/14/2020,26.16,26.16,25.56,25.75,1193380,,
8/17/2020,25.53,25.72,25.29,25.63,626620,,
8/18/2020,25.53,25.75,25.35,25.35,645140,,
8/19/2020,25.47,26.16,25.32,25.97,889920,,
8/20/2020,25.93,26.39,25.59,25.93,1007340,,
8/21/2020,26.03,26.16,25.7,26.16,801060,,
