Date,Open,High,Low,Close,Volume
5/4/2020,7.28,7.32,7.23,7.23,2266940
5/5/2020,7.25,7.28,7.14,7.21,2512680
5/6/2020,7.25,7.3,7.17,7.28,3827470
5/7/2020,7.28,7.46,7.28,7.43,6237880
5/8/2020,7.48,7.76,7.48,7.57,12648540
5/11/2020,7.67,7.76,7.53,7.67,13871460
5/12/2020,7.67,7.84,7.57,7.84,11943010
5/13/2020,7.94,8.06,7.76,7.98,10535970
5/14/2020,7.9,8.01,7.8,7.9,7371050
5/15/2020,7.94,7.97,7.74,7.74,8051150
5/18/2020,7.74,7.8,7.67,7.77,4693050
5/19/2020,7.94,7.98,7.87,7.94,9169410
5/20/2020,7.87,7.94,7.83,7.9,4064620
5/21/2020,7.91,8.06,7.87,8.029,8733490
5/22/2020,7.98,8.06,7.84,7.87,7705210
5/25/2020,7.87,7.97,7.84,7.9,4244600
5/26/2020,7.94,8.029,7.91,8.029,9158970
5/27/2020,8.119,8.119,7.9,7.9,10811090
5/28/2020,7.91,7.98,7.87,7.9,3439560
5/29/2020,7.9,7.9,7.83,7.84,4370270
6/1/2020,7.87,8.23,7.87,8.14,17148300
6/2/2020,8.21,8.36,8.17,8.17,14019730
6/3/2020,8.21,8.26,8.17,8.23,4396970
6/4/2020,8.28,8.36,8.21,8.21,8631510
6/5/2020,8.189,8.21,8.119,8.17,6864850
6/8/2020,8.28,8.36,8.23,8.26,8114180
6/9/2020,8.28,8.3,8.23,8.26,5953860
6/10/2020,8.23,8.6,8.189,8.49,10294970
6/11/2020,8.53,8.6,7.98,7.98,9855080
6/12/2020,7.8,8.06,7.8,8.06,10033880
6/15/2020,8.08,8.1,7.71,7.76,9023320
6/16/2020,7.87,7.98,7.83,7.94,5876970
6/17/2020,7.94,7.98,7.87,7.9,2160720
6/18/2020,7.91,7.94,7.84,7.9,2294180
6/19/2020,7.94,7.98,7.9,7.98,3111870
6/22/2020,8.01,8.1,7.97,7.98,2622880
6/23/2020,7.98,8.06,7.97,7.98,3682810
6/24/2020,8.029,8.119,7.98,8.01,5739200
6/25/2020,7.94,7.97,7.9,7.91,2709130
6/26/2020,7.97,7.98,7.87,7.91,1999300
6/29/2020,7.84,7.9,7.64,7.7,5960860
6/30/2020,7.76,7.8,7.55,7.57,3399510
7/1/2020,7.6,7.71,7.57,7.71,2067570
7/2/2020,7.71,7.74,7.64,7.7,1628160
7/3/2020,7.71,7.74,7.67,7.7,1241470
7/6/2020,7.71,7.83,7.7,7.76,2970930
7/7/2020,7.83,7.84,7.76,7.8,3562940
7/8/2020,7.77,7.84,7.77,7.83,1816440
7/9/2020,7.87,7.98,7.84,7.97,3777860
7/10/2020,7.94,7.94,7.84,7.87,2151820
7/13/2020,7.87,7.94,7.83,7.84,2322950
7/14/2020,7.83,7.84,7.76,7.83,3552800
7/15/2020,7.9,7.94,7.84,7.9,2941050
7/16/2020,7.98,7.98,7.9,7.98,3783960
7/17/2020,7.98,8.01,7.94,7.98,3957050
7/20/2020,7.98,8.01,7.84,7.84,3056310
7/21/2020,7.9,7.9,7.83,7.9,3066900
7/22/2020,7.94,7.94,7.83,7.83,2724680
7/23/2020,7.83,7.84,7.74,7.77,3208620
7/24/2020,7.76,7.76,7.48,7.53,8288120
7/27/2020,7.25,7.35,7.01,7.01,9988390
7/28/2020,7.25,7.46,7.07,7.43,6476500
7/29/2020,7.25,7.25,7.01,7.14,4891540
7/30/2020,7.21,7.25,7.17,7.23,2740330
