Date,Open,High,Low,Close,Volume
5/4/2020,34.89,35.48,34.18,34.34,1462030
5/5/2020,34.49,35.17,34.25,34.93,798780
5/6/2020,35.2,35.76,34.73,35.61,981900
5/7/2020,35.69,36.04,35.61,35.84,1114050
5/8/2020,36,36.32,34.93,35.01,2183120
5/11/2020,35.45,35.65,34.81,35.45,1412250
5/12/2020,35.45,36.55,34.89,36.47,2222720
5/13/2020,36.47,37.67,35.84,36.96,1884490
5/14/2020,36.47,36.64,34.97,35.29,3482550
5/15/2020,35.37,35.69,34.85,34.89,1616980
5/18/2020,34.73,35.37,34.02,35.33,1396460
5/19/2020,35.69,35.92,35.29,35.33,1296630
5/20/2020,35.17,36,35.17,35.92,1117340
5/21/2020,36.08,36.79,36,36.47,1803250
5/22/2020,36.47,36.83,36.04,36.08,1173980
5/25/2020,36.08,38.58,36.08,38.58,3142600
5/26/2020,39.97,41.15,39.29,40.68,2889580
5/27/2020,40.76,40.83,38.85,38.85,2373900
5/28/2020,38.94,40.28,38.46,39.65,2435010
5/29/2020,39.8,40.44,39.33,40.36,1194140
6/1/2020,40.44,42.03,40.44,42.03,1763310
6/2/2020,42.34,42.42,40.28,40.52,2005520
6/3/2020,40.52,43.3,40.52,43.22,2900680
6/4/2020,43.77,44.4,42.27,42.58,1807500
6/5/2020,42.27,43.45,42.03,43.3,869090
6/8/2020,43.3,44.09,42.9,43.37,1701560
6/9/2020,43.22,44.01,42.42,42.58,1190660
6/10/2020,42.51,42.9,41.31,42.34,1417920
6/11/2020,42.34,43.13,39.65,39.65,2363420
6/12/2020,38.06,40.28,38.06,40.21,1913100
6/15/2020,40.36,41.07,38.5,38.74,1222390
6/16/2020,39.65,40.28,39.05,39.8,959000
6/17/2020,39.97,40.52,39.37,39.65,684390
6/18/2020,39.57,41.07,39.26,40.76,896160
6/19/2020,41.07,41.47,41,41.47,865480
6/22/2020,41.47,42.34,41.24,41.71,856220
6/23/2020,41.47,42.03,40.44,41.31,1245440
6/24/2020,41.31,41.47,40.12,40.12,929620
6/25/2020,39.65,40.6,39.26,40.12,626690
6/26/2020,40.76,40.83,39.8,40.44,493250
6/29/2020,40.04,40.28,39.33,39.41,584580
6/30/2020,40.04,40.04,38.62,39.41,646710
7/1/2020,39.41,40.83,39.33,40.83,821540
7/2/2020,41.07,42.34,40.76,41.79,1444430
7/3/2020,42.03,42.58,41.71,41.71,889420
7/6/2020,41.79,42.19,41.71,41.79,583920
7/7/2020,42.27,43.22,41.87,42.03,1455000
7/8/2020,42.03,42.82,41.63,42.82,1123750
7/9/2020,43.22,43.22,42.42,42.58,1252690
7/10/2020,42.42,42.42,41.31,41.95,1339580
7/13/2020,41.95,42.03,41.15,41.39,907450
7/14/2020,41.31,42.03,41.15,42.03,587370
7/15/2020,42.03,42.34,41.71,41.79,496050
7/16/2020,42.03,42.03,41.39,41.71,391220
7/17/2020,41.71,43.22,41.39,42.58,2220270
7/20/2020,42.9,43.61,42.03,42.34,1395410
7/21/2020,42.51,43.45,42.03,43.45,1907660
7/22/2020,43.85,44.25,42.82,43.06,1561650
7/23/2020,42.98,43.37,42.34,43.22,814140
7/24/2020,43.45,43.93,40.44,41.79,3233330
7/27/2020,41.31,41.47,38.9,38.9,2669980
7/28/2020,39.97,41,39.33,40.83,1368150
7/29/2020,39.8,40.21,38.06,40.21,2593410
7/30/2020,40.28,40.6,39.97,40.04,911760
7/31/2020,39.49,40.44,39.26,39.65,1017640
8/3/2020,39.65,40.92,39.65,40.83,981510
8/4/2020,40.83,41.47,40.76,41.07,825130
8/5/2020,41.07,42.42,40.68,42.03,1878560
8/6/2020,42.03,42.19,41.47,41.79,869730
8/7/2020,41.79,42.27,41.71,41.95,944690
8/10/2020,42.34,43.45,41.95,42.82,2348110
8/11/2020,43.13,43.3,42.42,42.58,1284760
8/12/2020,42.58,42.74,42.1,42.51,972130
8/13/2020,42.58,42.82,42.19,42.58,1022060
8/14/2020,42.66,43.61,42.51,42.82,1835810
8/17/2020,42.82,43.06,42.27,42.82,746150
8/18/2020,42.98,43.06,42.66,42.9,845550
8/19/2020,42.9,45.43,42.9,45.43,4381730
8/20/2020,45.43,46.23,44.96,45.67,2485510
8/21/2020,45.52,46.94,45.52,46.7,2241600
8/24/2020,46.79,46.79,45.99,46.38,1930640
8/25/2020,46.55,46.79,45.99,46.07,1152780
8/26/2020,46.07,47.5,45.75,46.38,1718370
8/27/2020,46.38,47.02,46.31,46.7,716960
