Date,Open,High,Low,Close,Volume
5/4/2020,7.97,8.01,7.76,7.77,1580610
5/5/2020,7.81,7.89,7.72,7.83,982870
5/6/2020,7.89,8.029,7.89,8.029,1730360
5/7/2020,7.99,8.45,7.99,8.13,1499770
5/8/2020,8.21,8.37,8.13,8.17,2020850
5/11/2020,8.45,8.53,8.17,8.45,2568490
5/12/2020,8.45,8.61,8.29,8.57,1935580
5/13/2020,8.61,8.9,8.45,8.86,2315730
5/14/2020,8.74,9.02,8.69,8.78,2217400
5/15/2020,8.9,9.06,8.61,8.65,2103700
5/18/2020,8.86,8.86,8.61,8.74,1479810
5/19/2020,8.94,8.98,8.74,8.78,2303360
5/20/2020,8.69,8.78,8.61,8.65,1348880
5/21/2020,8.74,8.78,8.61,8.61,1592420
5/22/2020,8.61,8.69,8.45,8.45,2211380
5/25/2020,8.53,8.61,8.45,8.53,885940
5/26/2020,8.69,8.98,8.57,8.98,2624410
5/27/2020,9.02,9.22,8.86,8.86,2807430
5/28/2020,8.86,8.94,8.78,8.82,1088140
5/29/2020,8.78,8.82,8.65,8.74,1472560
6/1/2020,8.78,8.86,8.74,8.82,1139030
6/2/2020,8.86,9.3,8.74,9.02,2469950
6/3/2020,9.1,9.42,9.02,9.42,2860990
6/4/2020,9.58,9.66,9.22,9.22,2218980
6/5/2020,9.18,9.46,9.18,9.3,1410100
6/8/2020,9.38,9.58,9.38,9.46,2451190
6/9/2020,9.46,9.46,9.34,9.38,1635860
6/10/2020,9.26,9.54,9.18,9.42,1655730
6/11/2020,9.42,9.5,8.78,8.78,2413830
6/12/2020,8.21,8.69,8.21,8.65,1962440
6/15/2020,8.86,8.86,8.25,8.33,1285080
6/16/2020,8.69,8.69,8.37,8.61,795470
6/17/2020,8.61,8.65,8.49,8.65,618440
6/18/2020,8.45,8.65,8.45,8.57,405450
6/19/2020,8.65,8.69,8.57,8.65,647630
6/22/2020,8.69,8.98,8.69,8.98,842550
6/23/2020,8.9,9.1,8.74,8.82,893230
6/24/2020,8.82,8.98,8.74,8.78,620710
6/25/2020,8.61,8.78,8.57,8.74,1415960
6/26/2020,8.82,8.82,8.61,8.65,808040
6/29/2020,8.61,8.61,8.21,8.53,1103150
6/30/2020,8.53,8.61,8.17,8.53,1034720
7/1/2020,8.53,8.53,8.33,8.53,580760
7/2/2020,8.53,8.53,8.33,8.45,864080
7/3/2020,8.49,8.53,8.25,8.33,1765780
7/6/2020,8.45,8.45,8.33,8.45,619700
