Date,Open,High,Low,Close,Volume
5/4/2020,17.2,17.7,17.15,17.4,2018840
5/5/2020,17.5,17.6,17.35,17.4,546010
5/6/2020,17.55,17.55,17.25,17.55,1175100
5/7/2020,17.55,17.7,17.45,17.7,2409540
5/8/2020,17.7,18.9,17.7,18.9,7260470
5/11/2020,20.2,20.2,19.35,20.2,4765680
5/12/2020,20.1,20.75,19.6,20.6,3555810
5/13/2020,20.3,20.7,19.8,20.6,4746350
5/14/2020,20.4,20.6,20.1,20.5,3351270
5/15/2020,20.6,20.6,20,20.25,2995800
5/18/2020,20.05,20.75,19.9,20.65,3017660
5/19/2020,21.35,21.4,20.95,21.3,4135900
5/20/2020,21,21.2,20.95,21.05,1911850
5/21/2020,21.05,22,20.85,22,3539410
5/22/2020,21.6,21.6,21.05,21.05,3322040
5/25/2020,21.1,21.3,20.95,21.05,1962970
5/26/2020,21.1,21.3,21,21.15,2220450
5/27/2020,21.2,21.4,20.9,20.9,2673490
5/28/2020,20.9,21.2,20.8,20.9,1584390
5/29/2020,20.85,20.95,20.7,20.7,1101170
6/1/2020,20.8,21.3,20.8,21.3,2341100
6/2/2020,21.5,21.5,21.1,21.15,2469400
6/3/2020,21.15,21.45,21.15,21.35,2064360
6/4/2020,21.4,21.45,21.2,21.2,2216760
6/5/2020,21.25,21.45,21.1,21.45,2251740
6/8/2020,21.55,21.9,21.55,21.7,3484860
6/9/2020,21.7,21.8,21.5,21.55,1702620
6/10/2020,21.35,21.95,21.25,21.85,2295880
6/11/2020,21.9,21.9,20.9,20.9,3478310
6/12/2020,20.6,21.25,20.5,21.15,3715000
6/15/2020,21.1,21.1,20.05,20.1,2302220
6/16/2020,20.5,20.6,20.3,20.6,1487150
6/17/2020,20.6,20.6,20.25,20.3,1416900
6/18/2020,20.3,20.45,20.2,20.2,625890
6/19/2020,20.2,20.5,20.2,20.5,632650
6/22/2020,20.95,20.95,20.5,20.75,1166650
6/23/2020,20.75,20.8,20.6,20.65,1173850
6/24/2020,20.7,20.75,20.4,20.5,860730
6/25/2020,20.2,20.4,20.1,20.2,1162400
6/26/2020,20.5,20.5,20.15,20.35,668030
6/29/2020,20,20.1,19.6,19.65,1752070
6/30/2020,19.75,19.9,19.1,19.55,1290510
7/1/2020,19.5,19.9,19.45,19.8,751460
7/2/2020,19.95,19.95,19.5,19.75,820250
7/3/2020,19.75,19.8,19.55,19.8,593390
7/6/2020,19.8,20.25,19.8,20.25,1220550
7/7/2020,20.3,20.4,20.2,20.25,895150
7/8/2020,20.2,20.25,20.1,20.1,676840
7/9/2020,20.25,20.95,20.1,20.95,3146430
7/10/2020,20.85,20.95,20.45,20.45,1398740
7/13/2020,20.8,20.8,20,20.3,1725580
7/14/2020,20.2,20.3,20,20.1,1809120
7/15/2020,20.3,20.75,20.3,20.6,1697190
7/16/2020,20.6,21,20.4,21,1662150
7/17/2020,20.7,20.8,20.55,20.6,1180670
7/20/2020,20.5,20.65,20.45,20.5,1164560
7/21/2020,20.5,20.55,20.3,20.5,818210
7/22/2020,20.6,20.6,20.25,20.25,1224170
7/23/2020,20.2,20.3,20.1,20.3,861140
7/24/2020,20.3,20.3,19,19.5,2951240
7/27/2020,19.1,19.2,18.15,18.15,2677650
7/28/2020,18.2,18.8,18,18.75,2883870
7/29/2020,18.3,18.4,17.5,18.15,1841250
7/30/2020,18.2,19,17.5,18.6,974910
7/31/2020,18.2,18.65,18.15,18.15,2304460
8/3/2020,18.25,18.6,18.15,18.6,1247760
8/4/2020,18.9,19.1,18.75,18.85,1210770
8/5/2020,18.9,19.45,18.7,19.45,1917290
8/6/2020,19.4,19.5,19.1,19.2,1860660
8/7/2020,19.3,19.35,19.05,19.15,951190
8/10/2020,19.3,19.7,19.3,19.4,2743500
8/11/2020,19.55,19.55,19.3,19.45,1334060
8/12/2020,19.45,19.7,19.45,19.65,1634530
8/13/2020,19.75,19.85,19.6,19.8,1584180
8/14/2020,19.8,20.2,19.65,19.8,2588850
8/17/2020,19.75,20.15,19.75,20.1,2732690
8/18/2020,20.1,20.2,20,20.05,1410740
8/19/2020,20.1,20.25,20,20.2,1132620
8/20/2020,20.2,20.25,19.85,20,3659990
8/21/2020,20.1,20.4,20.1,20.35,2817550
8/24/2020,20.75,21,20.5,20.95,2749740
8/25/2020,21,21.4,21,21.3,3775640
8/26/2020,21.2,21.3,21,21.1,2116830
8/27/2020,21.1,21.2,21,21.15,1792750
8/28/2020,21.3,21.85,21.25,21.6,5154230
8/31/2020,21.6,21.8,21.25,21.3,1793790
9/1/2020,21.3,21.7,21.1,21.7,2171350
9/3/2020,21.75,22.1,21.7,22,3326470
9/4/2020,21.7,21.9,21.7,21.85,2276910
9/7/2020,21.85,21.95,21.2,21.2,2350940
9/8/2020,21.35,21.5,21.05,21.5,1935300
9/9/2020,21.1,21.5,20.95,21.2,2762390
9/10/2020,21.3,21.6,21.3,21.45,1524900
9/11/2020,21.25,21.45,21.1,21.3,1236940
9/14/2020,21.3,21.55,21.3,21.5,1578270
9/15/2020,21.5,21.55,21.35,21.35,1835310
9/16/2020,21.35,21.45,21.25,21.4,1258880
9/17/2020,21.4,21.6,21.25,21.3,3654030
9/18/2020,21.4,21.8,21.35,21.8,5334940
9/21/2020,22,22.3,22,22.3,5874890
9/22/2020,22.2,22.45,22.05,22.35,3669840
9/23/2020,22.35,22.5,22.25,22.3,2941250
9/24/2020,22.25,22.45,22.1,22.45,3988170
9/25/2020,22.45,22.5,22.25,22.4,3497970
9/28/2020,22.35,23,22.25,22.85,2811640
9/29/2020,22.9,23,22.55,22.55,2973020
9/30/2020,22.55,22.6,22.3,22.6,2357980
10/1/2020,22.65,22.9,22.6,22.8,3497290
10/2/2020,22.9,23,22.35,22.55,4381810
10/5/2020,22.55,22.75,22.25,22.55,5363760
10/6/2020,22.7,22.75,22.2,22.4,6850730
10/7/2020,22.3,22.35,21.8,21.8,12159210
10/8/2020,21.9,22,21.35,21.35,14366760
10/9/2020,21.5,21.95,21.3,21.35,13523760
10/12/2020,21.7,21.85,21.2,21.2,14203730
10/13/2020,21.25,21.65,21.2,21.4,14215200
10/14/2020,21.6,22.85,21.6,22.85,48630920
10/15/2020,23.45,23.8,22.8,22.85,25323170
10/16/2020,22.9,23.3,22.6,22.65,27075400
10/19/2020,22.95,23.35,22.85,23,28506770
10/20/2020,23,24.15,23,23.9,34662420
10/21/2020,24.2,24.4,23.7,23.75,20951070
10/22/2020,23.7,24,23.5,23.95,24408740
10/23/2020,24.1,24.2,23.85,24,28288440
10/26/2020,24.4,24.95,23.35,23.35,24707670
10/27/2020,23.8,23.95,23.3,23.3,30805330
10/28/2020,23.3,23.45,22.4,22.4,32092220
10/29/2020,22.1,22.7,21.8,21.8,36149460
10/30/2020,22.1,22.25,21.35,21.35,28887760
11/2/2020,21.6,21.85,21.4,21.4,22943680
11/3/2020,21.8,22.45,21.65,22,27962010
11/4/2020,22.35,22.6,22.15,22.15,21927670
11/5/2020,22.15,22.35,21.8,21.8,19766660
11/6/2020,21.9,22,21.5,21.6,15368880
11/9/2020,21.85,22.2,21.8,22.05,17624180
11/10/2020,22.5,22.55,22.05,22.1,21221910
11/11/2020,22.2,22.4,22,22,14433190
11/12/2020,22.1,22.3,22,22.3,10771120
11/13/2020,22.4,23.15,22.4,23,22376970
11/16/2020,23.4,23.4,22.8,22.9,25236270
11/17/2020,23,23.35,22.85,23.35,17457030
11/18/2020,23.3,23.6,23.1,23.35,22760740
11/19/2020,23.35,23.6,23.2,23.4,16935520
11/20/2020,23.5,23.5,23.3,23.4,13546080
11/23/2020,23.4,23.65,23.1,23.6,17857230
11/24/2020,23.7,24,23.4,23.65,22530770
11/25/2020,23.95,23.95,23.55,23.6,13655890
11/26/2020,23.65,23.7,23.4,23.6,13091570
11/27/2020,23.6,23.9,23.55,23.7,12261190
11/30/2020,23.95,24.4,23.7,24.1,24645230
12/1/2020,23.8,24.5,23.65,24.5,22797760
12/2/2020,24.6,25.3,24.6,25.1,27463650
12/3/2020,25.1,25.5,25,25,17490250
12/4/2020,24.85,25,24.75,24.8,16507860
12/7/2020,24.8,25.2,24.8,25.05,13044510
12/8/2020,25.2,25.2,24.9,25,14341140
12/9/2020,25.1,25.9,25.05,25.75,19001670
12/10/2020,26,26,25.3,25.3,18133060
12/11/2020,25.3,25.65,25.05,25.65,14116670
12/14/2020,25.9,26.3,25.7,26.2,15694300
12/15/2020,26.1,26.35,25.95,26.15,13700860
12/16/2020,26.45,27.95,26.4,27.95,29092450
12/17/2020,28,29.35,27.95,28.35,29802380
12/18/2020,28.5,29.25,28.5,29.2,15252570
12/21/2020,29.5,29.9,29.1,29.4,22777010
12/22/2020,29.15,29.5,29.05,29.2,17109090
12/23/2020,29.2,29.25,28.5,28.7,19453550
12/24/2020,28.9,28.9,26.9,27.95,26106600
12/25/2020,27.95,29.6,27.7,29.55,17113750
12/28/2020,29.9,30.3,29.5,29.7,14471300
12/29/2020,29.65,29.9,29.5,29.75,12909770
12/30/2020,29.8,30.55,29.7,29.9,16579440
12/31/2020,29.95,31.75,29.9,31.5,16486510
1/4/2021,32,33.4,31.9,33,18607800
1/5/2021,32.75,33.35,32.549,33.05,14280100
1/6/2021,33.2,34.1,32.95,33.2,20222300
1/7/2021,33.75,34.6,33.4,34.6,16387200
1/8/2021,35,36.25,34.9,35.7,16947900
1/11/2021,35.75,36.25,35.2,35.25,13980300
1/12/2021,35,35.5,34.5,35.1,16418200
1/13/2021,35.45,36,35.1,35.15,11399600
1/14/2021,35.35,35.8,34.85,35.75,11995200
1/15/2021,36.3,37.55,36.25,36.85,17357400
1/18/2021,37.2,37.2,35.9,36.2,13377400
1/19/2021,35.9,36.4,33.7,33.9,22796500
1/20/2021,34.2,34.75,32,34.5,25772300
1/21/2021,35.25,36.2,34.5,36.2,14253300
1/22/2021,36.45,36.9,35.8,36.3,12347400
1/25/2021,35.75,36.35,35.6,35.8,15639600
1/26/2021,35.5,35.8,33.5,35,18111400
1/27/2021,34.25,35.25,32.65,33.5,18775400
1/28/2021,31.5,33,31.2,31.2,27121100
1/29/2021,29.6,33.35,29.6,32,27420900
2/1/2021,32,33.5,31.55,32.2,15146700
2/2/2021,32.2,34.1,31.95,34,13498900
2/3/2021,34.5,35.5,34,35,18238700
2/4/2021,35,35.6,34.6,35,14141400
2/5/2021,35.3,36.3,35.1,36.3,14358200
2/8/2021,36.3,36.5,34,35,21272800
2/9/2021,35.2,36.4,34.7,36,16738000
2/17/2021,36.9,38.4,36.5,38.4,21134000
2/18/2021,38.5,39.2,38,38.9,15791300
2/19/2021,38.2,39.1,38.2,38.7,12801300
2/22/2021,38.65,38.85,38,38.6,14466800
2/23/2021,38.8,40.35,38.8,39.8,26384200
2/24/2021,40.2,40.2,38.9,39.1,14395400
2/25/2021,39.5,39.5,38.5,39.1,16440500
2/26/2021,38.3,39.35,38.3,39.25,15265000
3/1/2021,39.7,40.25,39.3,40.2,12622200
3/2/2021,40.7,40.75,40,40.3,8576800
3/3/2021,40.35,40.5,40,40.35,8441900
3/4/2021,40.4,40.5,38.6,39.05,16228300
3/5/2021,38.9,39.35,38.3,39.2,11169600
3/8/2021,39.5,39.7,38.5,38.85,10807100
3/9/2021,38.6,39.3,38.2,38.95,10594100
3/10/2021,39,39.4,38.5,39.3,9050000
3/11/2021,39.7,40.5,39.45,40.15,15369300
3/12/2021,40.4,40.5,39.75,40.05,8046800
3/15/2021,40.2,40.5,39.9,40.1,8638500
3/16/2021,40.1,40.2,39.3,39.85,11577300
3/17/2021,40,40.4,39.7,40.3,9542800
3/18/2021,41.2,41.95,40.7,41.95,16410100
3/19/2021,41.5,42.15,41.5,42,7413700
3/22/2021,42,42,41.15,41.3,10554500
3/23/2021,41.1,41.4,40.4,40.45,12997700
3/24/2021,39.8,40.45,39.3,39.3,13792100
3/25/2021,39.4,39.8,39.2,39.35,10420800
3/26/2021,39.15,39.65,38.4,39.4,10188400
3/29/2021,39.7,39.75,39.15,39.55,8380600
3/30/2021,39.7,40.4,39.45,40.05,10768300
3/31/2021,40.2,40.95,40.05,40.4,10304100
4/1/2021,40.5,41,40.25,41,11065800
4/2/2021,41.6,41.8,41.2,41.25,8261300
4/5/2021,41.7,41.8,41.15,41.5,11025600
4/6/2021,41.45,42.5,41.1,42.2,14957000
4/7/2021,42,42.55,41.8,42.2,7728400
4/8/2021,42.4,42.45,41.7,41.95,7518800
4/9/2021,41.7,42,41.5,41.6,8022500
4/12/2021,42,42.3,41.6,42.15,14990200
4/13/2021,42.5,42.5,41.5,41.6,15104100
