Date,Open,High,Low,Close,Volume
5/4/2020,12.95,13.23,12.66,13.07,817150
5/5/2020,12.51,13.87,12.51,13.66,2055150
5/6/2020,13.63,14,13.51,13.79,1119940
5/7/2020,13.82,13.82,13.57,13.66,437810
5/8/2020,13.66,13.98,13.51,13.73,1399890
5/11/2020,14.5,14.5,13.57,14.5,1762180
5/12/2020,14.57,14.66,14.19,14.53,816530
5/13/2020,14.32,14.38,13.69,14.32,706410
5/14/2020,14.07,14.47,13.82,14.29,1463400
5/15/2020,14.38,14.63,14.1,14.32,2601150
5/18/2020,14.07,14.5,14,14.32,1742090
5/19/2020,14.35,14.57,14.16,14.16,2348930
5/20/2020,14,14.1,13.87,13.87,396480
5/21/2020,13.91,14,13.73,13.82,409030
5/22/2020,13.87,14.22,13.44,14.16,3062460
5/25/2020,14.32,15,14.25,14.5,2983070
5/26/2020,14.57,14.72,14.1,14.63,3532230
5/27/2020,14.63,14.66,13.69,13.69,1309960
5/28/2020,13.87,13.87,13.07,13.07,2232320
5/29/2020,12.77,13.26,12.57,13.2,1420330
6/1/2020,13.26,13.48,13.2,13.3,1314330
6/2/2020,13.32,13.63,13.13,13.51,1777710
6/3/2020,13.54,13.63,13.3,13.51,1225130
6/4/2020,13.54,13.91,13.44,13.76,1823700
6/5/2020,13.82,13.91,13.66,13.91,1188990
6/8/2020,14,14.53,14,14.38,3087950
6/9/2020,14.32,14.38,13.87,14.1,1873080
6/10/2020,13.87,14.69,13.79,14.47,4513940
6/11/2020,14.53,14.66,13.48,13.48,2076530
6/12/2020,12.53,14.07,12.53,14.07,4408330
6/15/2020,13.69,14.32,13.1,13.42,3419050
6/16/2020,13.48,13.66,13.05,13.44,1735680
6/17/2020,12.88,13.26,12.88,13.07,1409400
6/18/2020,12.95,13.32,12.6,13.1,1713490
6/19/2020,13.13,13.26,12.95,13.17,1640490
6/22/2020,13.32,13.42,13.01,13.35,887840
6/23/2020,13.26,14.22,13.05,14,8649860
6/24/2020,13.73,14.16,13.66,13.98,6323650
6/25/2020,13.42,13.82,13.38,13.82,2276640
6/26/2020,13.51,13.82,13.01,13.51,3146660
6/29/2020,13.07,14.25,12.57,14.25,5063080
6/30/2020,13.51,13.69,13.26,13.26,1546040
7/1/2020,12.57,13.26,12.57,12.77,1815810
7/2/2020,12.85,13.01,12.77,12.79,836510
7/3/2020,12.82,13.32,12.82,13.1,1162640
7/6/2020,13.1,13.2,12.98,13.1,1034150
7/7/2020,13.17,13.23,12.92,13.01,2005510
7/8/2020,13.01,13.01,12.85,12.92,1054820
7/9/2020,13.1,13.36,13.02,13.3,3503900
7/10/2020,13.33,13.61,13.17,13.56,3722560
7/13/2020,13.65,14.1,13.65,13.93,4143310
7/14/2020,13.97,13.97,13.56,13.65,1783480
7/15/2020,13.72,14.04,13.36,13.87,4399680
7/16/2020,13.93,14.19,13.72,14.1,7149050
7/17/2020,14.04,14.16,13.87,14.1,6244180
7/20/2020,14.04,14.04,13.74,13.74,1082330
7/21/2020,14.1,14.58,13.87,14.36,13123330
7/22/2020,14.16,14.51,14.07,14.19,5485880
7/23/2020,14.19,14.23,13.93,14.04,1820260
7/24/2020,13.72,13.78,13.07,13.2,8373070
7/27/2020,12.34,12.56,12.31,12.31,1601960
7/28/2020,11.79,12.79,11.51,12.79,6305520
7/29/2020,12.18,12.28,11.9,12.15,5571400
7/30/2020,12.18,12.31,12.05,12.18,1522620
7/31/2020,12.12,13.02,11.35,12.6,9952340
8/3/2020,12.48,12.82,12.41,12.69,1722270
8/4/2020,12.79,12.98,12.73,12.79,1935400
8/5/2020,12.73,12.95,12.5,12.82,2922930
8/6/2020,12.82,12.88,12.66,12.85,1293750
8/7/2020,12.88,13.07,12.79,13.02,2701620
8/10/2020,13.05,13.33,12.98,13.17,3049920
8/11/2020,13.24,13.24,12.98,13.1,1338440
8/12/2020,13.14,13.3,12.85,13.1,4365390
8/13/2020,13.24,13.24,13.02,13.14,2574480
8/14/2020,13.1,13.14,12.79,13.05,3644340
8/17/2020,12.95,12.98,12.6,12.79,1871920
8/18/2020,12.79,12.88,12.73,12.76,1173650
8/19/2020,12.79,12.95,12.63,12.95,3694390
8/20/2020,12.95,12.95,12.66,12.79,1271000
8/21/2020,12.82,12.98,12.66,12.92,4938640
8/24/2020,12.95,13.14,12.95,13.05,2746730
8/25/2020,13.07,13.49,12.79,13.42,14623570
8/26/2020,13.33,13.85,13.17,13.61,8713210
8/27/2020,13.46,13.81,13.42,13.68,9663670
8/28/2020,13.65,13.72,13.42,13.65,6630540
8/31/2020,13.61,13.61,13.24,13.3,3153790
9/1/2020,13.1,13.33,13.07,13.33,2694450
9/3/2020,13.46,13.56,13.33,13.39,4330970
9/4/2020,13.05,13.68,13.05,13.68,5073270
9/7/2020,13.46,13.49,13.24,13.36,2811510
9/8/2020,13.36,13.36,13.1,13.33,4852250
9/9/2020,13.07,13.24,13.07,13.24,2484550
9/10/2020,13.24,13.53,13.24,13.46,4471930
9/11/2020,13.49,13.61,13.39,13.46,4102210
9/14/2020,13.53,13.53,13.3,13.3,1029310
9/15/2020,13.36,13.39,13.2,13.2,1224410
9/16/2020,13.24,13.27,13.14,13.14,1253180
9/17/2020,13.17,13.24,13.1,13.1,1780490
9/18/2020,13.14,13.27,13.07,13.27,4061250
9/21/2020,13.33,13.39,13.17,13.33,3414820
9/22/2020,13.2,13.49,13.07,13.46,9041600
9/23/2020,13.46,13.46,13.24,13.36,2853510
9/24/2020,13.2,13.3,13.14,13.2,2869380
9/25/2020,13.17,13.24,13.02,13.24,3255030
9/28/2020,13.27,13.46,13.1,13.39,6870830
9/29/2020,13.97,14.07,13.56,13.74,13046320
9/30/2020,13.49,13.93,13.33,13.78,15024070
10/1/2020,13.68,13.81,13.24,13.72,9975400
10/2/2020,13.46,13.81,13.05,13.81,21924910
10/5/2020,13.74,13.78,13.49,13.49,2803010
10/6/2020,13.58,13.81,13.49,13.78,12978280
10/7/2020,13.56,13.74,13.53,13.56,19829730
10/8/2020,13.61,13.61,13.2,13.36,11863940
10/9/2020,13.42,13.68,13.17,13.61,16097270
10/12/2020,13.78,13.78,13.36,13.36,4123850
10/13/2020,13.42,13.42,13.24,13.39,8998620
10/14/2020,13.33,13.65,13.02,13.49,22840530
10/15/2020,13.53,13.68,13.3,13.42,15567050
10/16/2020,13.39,13.49,13.1,13.49,14283420
10/19/2020,13.33,13.33,13.17,13.17,7497370
10/20/2020,13.39,13.53,13.05,13.36,36953630
10/21/2020,13.36,13.39,13.05,13.36,13073280
10/22/2020,13.2,13.27,13.07,13.07,7023460
