Date,Open,High,Low,Close,Volume
5/4/2020,1.7,1.73,1.66,1.73,14310
5/5/2020,1.7,1.7,1.66,1.66,13100
5/6/2020,1.66,1.7,1.66,1.7,8406
5/7/2020,1.66,1.7,1.66,1.7,34504
5/8/2020,1.7,1.73,1.7,1.7,26519
5/11/2020,1.73,1.73,1.7,1.73,52116
5/12/2020,1.7,1.73,1.7,1.7,30604
5/13/2020,1.7,1.7,1.66,1.66,78800
5/14/2020,1.7,1.77,1.7,1.73,55686
5/15/2020,1.73,1.73,1.73,1.73,18200
5/18/2020,1.7,1.73,1.7,1.73,39400
5/19/2020,1.73,1.8,1.73,1.73,80050
5/20/2020,1.73,1.77,1.73,1.77,11300
5/21/2020,1.73,1.73,1.7,1.7,45500
5/22/2020,1.73,1.8,1.73,1.8,68020
5/25/2020,1.77,1.8,1.77,1.77,13700
5/26/2020,1.77,1.8,1.77,1.77,49409
5/27/2020,1.77,1.8,1.59,1.73,128559
5/28/2020,1.77,1.77,1.7,1.7,70600
5/29/2020,1.73,1.77,1.73,1.77,14740
6/1/2020,1.73,1.83,1.7,1.83,354567
6/2/2020,1.83,1.83,1.77,1.77,13710
6/3/2020,1.77,1.8,1.77,1.8,15733
6/4/2020,1.77,1.87,1.73,1.83,323225
6/5/2020,1.83,1.9,1.83,1.9,262270
6/8/2020,1.94,2.08,1.94,2.08,543527
6/9/2020,2.1,2.28,2.1,2.22,513151
6/10/2020,2.18,2.42,2.14,2.42,457161
6/11/2020,2.45,2.67,2.39,2.45,683834
6/12/2020,2.39,2.42,2.28,2.39,75968
6/15/2020,2.39,2.39,2.22,2.36,73838
6/16/2020,2.24,2.31,2.18,2.18,76849
6/17/2020,2.28,2.36,2.18,2.22,48998
6/18/2020,2.14,2.24,2.009,2.22,46840
6/19/2020,2.22,2.24,2.18,2.24,12502
6/22/2020,2.24,2.28,2.18,2.18,77103
6/23/2020,2.18,2.39,2.18,2.39,1014944
6/24/2020,2.42,2.59,2.42,2.59,1582497
6/25/2020,2.59,2.83,2.59,2.83,1155032
6/26/2020,2.87,2.9,2.59,2.73,1017518
6/29/2020,2.73,2.73,2.56,2.63,499235
6/30/2020,2.63,2.7,2.42,2.42,537285
7/1/2020,2.45,2.59,2.42,2.59,445280
7/2/2020,2.59,2.67,2.53,2.56,261300
7/3/2020,2.56,2.63,2.45,2.56,329465
7/6/2020,2.5,2.56,2.45,2.5,272260
7/7/2020,2.53,2.59,2.5,2.5,281573
7/8/2020,2.5,2.56,2.5,2.56,210518
7/9/2020,2.71,2.79,2.63,2.79,228698
7/10/2020,2.68,2.86,2.68,2.83,132485
7/13/2020,2.83,2.86,2.75,2.75,142627
7/14/2020,2.75,2.75,2.68,2.75,147800
7/15/2020,2.75,2.75,2.63,2.75,246649
7/16/2020,2.75,2.83,2.68,2.71,126300
7/17/2020,2.71,2.71,2.63,2.68,55810
7/20/2020,2.6,2.68,2.56,2.63,84022
7/21/2020,2.63,2.71,2.56,2.71,147720
7/22/2020,2.75,2.97,2.71,2.95,379253
7/23/2020,2.9,3.21,2.9,3.21,1261640
7/24/2020,3.21,3.48,3.17,3.4,1186000
7/27/2020,3.28,3.43,3.1,3.1,408427
7/28/2020,3.1,3.4,2.9,3.4,962090
