Date,Open,High,Low,Close,Volume
5/4/2020,22.8,23.75,22.8,23.45,1757720
5/5/2020,23.5,23.85,23.5,23.55,2480820
5/6/2020,23.8,25,23.55,25,5201410
5/7/2020,25.1,25.2,24.65,24.8,2518450
5/8/2020,25,25.9,25,25.3,4038610
5/11/2020,25.45,25.65,24.8,25.45,3515430
5/12/2020,25,25.4,24.95,25.25,3654270
5/13/2020,25,25.1,24.5,24.5,4037060
5/14/2020,24.2,24.35,23.9,24.05,3952220
5/15/2020,24.4,24.75,24.1,24.1,2262600
5/18/2020,24.2,24.7,24.05,24.55,2597120
5/19/2020,25,25.8,24.6,24.9,8313560
5/20/2020,24.8,26.55,24.8,26.55,6793800
5/21/2020,26.6,27.25,26,26.3,5046470
5/22/2020,26,26.1,25.5,25.8,5938130
5/25/2020,25.7,26.65,25.3,26.2,3774990
5/26/2020,26.6,26.8,26.25,26.5,3969390
5/27/2020,26.6,26.65,25.5,25.5,7074630
5/28/2020,25.55,27,25.5,26.9,6481940
5/29/2020,26.9,28.2,26.55,27.5,7822570
6/1/2020,28,28.05,27.65,27.8,3992550
6/2/2020,27.55,28,27.3,27.6,2909480
6/3/2020,27.4,28.1,27.1,28.1,3342330
6/4/2020,28.3,28.85,28.3,28.4,2839030
6/5/2020,28.4,28.8,28,28.45,2162490
6/8/2020,28.8,28.9,28.25,28.6,2826530
6/9/2020,28.35,28.6,27.8,27.9,2864250
6/10/2020,27.6,28,27.2,27.95,2119900
6/11/2020,27.9,27.95,26.1,26.1,4725660
6/12/2020,25.3,25.9,25,25.9,2529890
6/15/2020,26,26.4,25,25,2056490
6/16/2020,25.5,26.75,25.3,26.75,3097330
6/17/2020,27.35,27.85,27.1,27.5,3148000
6/18/2020,27.5,27.65,26.35,27.55,1681240
6/19/2020,27.5,27.8,26.7,27.8,3677760
6/22/2020,27.8,28,27.4,27.6,1559410
6/23/2020,27.6,27.6,27.1,27.2,1019600
6/24/2020,27.3,27.7,26.85,26.85,1391660
6/25/2020,26.5,26.8,26.3,26.5,2133290
6/26/2020,26.6,26.75,26,26.2,1867820
6/29/2020,26.2,26.2,25,25.4,2156880
6/30/2020,25.65,26.15,24.8,24.8,1700630
7/1/2020,24.8,26.5,24.8,26.45,1469010
7/2/2020,26.4,26.4,25.85,26.2,951820
7/3/2020,26.2,26.65,26.2,26.5,2328550
7/6/2020,26.5,27.2,26.45,27.1,3101080
7/7/2020,27.2,27.8,27.05,27.45,4346450
7/8/2020,27.3,27.5,27.05,27.45,939580
7/9/2020,27.55,27.75,27.25,27.55,1903220
7/10/2020,27.35,27.55,26.95,27.05,947980
7/13/2020,27.05,27.35,26.5,26.5,2291640
7/14/2020,26.4,26.7,26.05,26.4,1938730
7/15/2020,26.5,27,26.5,26.7,1502410
7/16/2020,26.95,27.3,26.75,27.3,1270920
7/17/2020,27,27.2,26.85,26.85,720820
7/20/2020,26.7,26.85,26.2,26.2,1258900
7/21/2020,26.25,26.55,26.15,26.3,1725630
7/22/2020,26.6,27.25,26.6,26.95,2251420
7/23/2020,27,28.3,27,28.3,7249850
7/24/2020,27.9,28.15,27,27.95,4730110
7/27/2020,26.1,27.5,26.1,26.8,3211440
7/28/2020,27,27.3,25.9,27.2,4480940
7/29/2020,26.4,26.4,25.3,25.55,2635930
7/30/2020,25.85,26.15,25.7,25.95,1069550
7/31/2020,25.3,26.05,25.1,25.1,2333650
8/3/2020,25.15,25.9,25.15,25.65,1872110
8/4/2020,26.2,26.35,25.9,26.3,1602220
8/5/2020,26.05,26.7,25.9,26.35,2154970
8/6/2020,26.2,26.75,26.1,26.35,2096050
8/7/2020,26.4,26.55,26.1,26.4,1257020
8/10/2020,26.5,26.95,26.5,26.65,1680830
8/11/2020,26.7,26.8,26.3,26.3,1512750
8/12/2020,26.5,26.55,26.15,26.4,1764760
8/13/2020,26.4,27,26.3,26.85,2594130
8/14/2020,26.85,27.3,26.65,26.85,3089240
8/17/2020,26.65,26.8,26.25,26.5,1724700
8/18/2020,26.4,26.7,26.1,26.1,1947050
8/19/2020,26.2,26.6,26.2,26.35,1699080
8/20/2020,26.35,26.8,26.2,26.35,2174600
8/21/2020,26.45,26.65,26.3,26.5,1798160
8/24/2020,26.7,27.3,26.65,26.9,5011510
8/25/2020,27,27.2,26.9,26.95,2680420
8/26/2020,26.95,27.35,26.85,27.2,2204070
8/27/2020,27.2,27.65,27.1,27.2,2077020
8/28/2020,27.2,27.4,27.1,27.2,2457850
8/31/2020,27.6,27.65,26.7,27,4262760
9/1/2020,27,27.3,26.8,27.25,1944470
9/3/2020,27.6,28.5,27.35,28.1,5266810
9/4/2020,27.7,28.7,27.7,28.5,6098320
9/7/2020,28.6,28.6,27.7,27.7,3909430
9/8/2020,27.7,28.4,27.55,28.3,3048220
9/9/2020,27.9,28.45,27.9,28.4,2278700
9/10/2020,28.5,28.75,28.3,28.4,1690620
9/11/2020,28.4,28.45,28.15,28.4,1804860
9/14/2020,28.5,28.6,28.35,28.6,2698460
9/15/2020,28.7,29.1,28.45,28.9,3075490
9/16/2020,28.9,29.05,28.75,28.9,2160180
9/17/2020,28.7,28.9,28.2,28.3,2612410
9/18/2020,28.25,28.5,28.2,28.5,4092340
9/21/2020,28.85,29.15,28.6,28.95,3737470
9/22/2020,28.6,28.9,28.6,28.7,1850880
9/23/2020,28.7,29.15,28.7,29.1,3321440
9/24/2020,29.1,29.15,28.5,28.6,1520670
9/25/2020,28.6,28.65,28.1,28.4,1575590
9/28/2020,28.4,28.45,27.55,27.8,5930960
9/29/2020,27.9,28.1,27.4,27.45,2615690
9/30/2020,27.45,27.95,27.25,27.6,1592150
10/1/2020,27.8,27.9,27.6,27.7,2154130
10/2/2020,27.8,27.95,26.5,27.3,2548820
10/5/2020,27.4,27.8,27.35,27.4,2015400
10/6/2020,27.4,27.6,27.4,27.5,2135800
10/7/2020,27.5,27.95,27.5,27.8,3198050
10/8/2020,28,28,27.55,27.65,1434220
10/9/2020,27.65,27.75,26.5,27.65,2199660
10/12/2020,27.8,28,27.1,27.1,3884690
10/13/2020,27.3,27.4,27.15,27.2,3015800
10/14/2020,27.2,27.45,27.2,27.35,2100870
10/15/2020,27.5,27.7,27.35,27.6,4181580
10/16/2020,27.8,27.9,27.45,27.5,3583650
10/19/2020,27.5,27.5,27.2,27.35,1906100
10/20/2020,27.35,27.6,27.25,27.45,1879310
10/21/2020,27.45,28.25,27.45,27.9,8229920
10/22/2020,27.8,28.1,27.55,28.1,3669560
10/23/2020,28.3,28.35,28.1,28.35,12351650
10/26/2020,29,29,27.75,27.75,6877050
10/27/2020,27.7,27.9,27,27,3868780
10/28/2020,26.8,26.95,25.5,25.5,10448220
10/29/2020,25.5,25.9,25.05,25.6,6800730
10/30/2020,26,26,25.05,25.3,4960340
11/2/2020,25.45,25.6,25.3,25.5,2991300
11/3/2020,25.7,25.8,25.5,25.55,3819800
11/4/2020,25.65,26.3,25.65,25.95,6336210
11/5/2020,26.1,26.5,25.95,26.1,3486910
11/6/2020,26.1,26.15,25.55,25.6,4216020
11/9/2020,25.95,26.2,25.6,26.1,3348800
11/10/2020,26.6,27.05,26.4,26.7,11450730
11/11/2020,26.7,26.85,26.5,26.5,6068410
11/12/2020,26.5,27.2,26.5,27.2,4053560
11/13/2020,27.05,27.3,27.05,27.2,3342520
11/16/2020,27.4,27.45,26.7,26.85,7499050
11/17/2020,27,27.2,26.85,27.2,3123270
11/18/2020,27.2,27.5,27.1,27.5,4157080
11/19/2020,27.5,27.9,27.4,27.9,5850430
11/20/2020,27.9,28.05,27.55,27.65,4545570
11/23/2020,27.65,27.85,27.5,27.7,3107690
11/24/2020,27.75,28.1,27.7,27.95,5644640
11/25/2020,28.2,28.65,28.1,28.25,7359970
11/26/2020,28,28.1,27.7,27.9,3159210
11/27/2020,27.9,28,27.55,27.75,5764680
11/30/2020,27.95,28.4,27.4,28.2,7187400
12/1/2020,27.8,28.3,27.6,28.25,5323260
12/2/2020,28.2,28.65,28.1,28.5,8746400
12/3/2020,28.65,28.7,28.4,28.4,4665780
12/4/2020,28.4,28.4,28,28,3862410
