Date,Open,High,Low,Close,Volume
5/4/2020,14.31,14.43,13.92,13.92,11180
5/5/2020,13.92,14.43,13.92,14.08,26850
5/6/2020,14.36,14.41,14,14,8800
5/7/2020,14.04,14.95,14,14.2,301830
5/8/2020,14.31,14.48,14.2,14.2,13450
5/11/2020,14.31,14.95,14.2,14.31,9950
5/12/2020,14.28,14.91,14.28,14.41,148120
5/13/2020,14.48,14.48,14.36,14.41,7170
5/14/2020,14.48,14.56,14.12,14.12,6130
5/15/2020,14.31,14.31,14.12,14.12,9090
5/18/2020,14.71,14.71,14.16,14.16,9300
5/19/2020,14.24,14.31,14.08,14.08,5250
5/20/2020,14.31,14.52,14.16,14.16,9590
5/21/2020,14.43,14.52,14.2,14.2,5840
5/22/2020,14.31,14.36,14.2,14.2,5670
5/25/2020,14.43,14.95,14.24,14.95,13380
5/26/2020,15.12,15.12,14.36,14.36,26760
5/27/2020,14.71,14.71,13.96,13.96,14910
5/28/2020,14.31,14.31,14.04,14.04,27860
5/29/2020,14.41,14.41,14.08,14.08,15180
6/1/2020,14,14.28,13.92,14,56200
6/2/2020,14.28,14.28,14,14,8910
6/3/2020,14,14,13.92,14,16860
6/4/2020,14.04,14.04,14,14,12710
6/5/2020,14.04,14.16,13.52,14,38020
6/8/2020,13.56,14.31,13.56,14,23600
6/9/2020,14.08,14.08,14,14.08,15790
6/10/2020,13.84,14.28,13.84,13.92,10920
6/11/2020,14,14.2,14,14,28010
6/12/2020,13.56,14,13.52,14,3720
6/15/2020,14,14,13.76,13.92,12010
6/16/2020,13.76,14,13.76,13.92,1060
6/17/2020,13.92,13.92,13.92,13.92,50
6/18/2020,13.92,13.96,13.65,13.96,240
6/19/2020,14,14.04,14,14.04,4700
6/22/2020,14.04,14.04,14.04,14.04,2100
6/23/2020,13.92,13.92,13.84,13.92,9400
6/24/2020,13.84,13.84,13.84,13.84,500
6/25/2020,13.76,13.96,13.76,13.8,770
6/26/2020,13.76,13.84,13.76,13.76,15200
6/29/2020,13.8,13.84,13.8,13.84,4800
6/30/2020,13.92,14.71,13.92,14,5030
7/1/2020,14.16,14.16,13.84,13.84,13210
7/2/2020,13.84,13.92,13.84,13.92,10110
7/3/2020,13.92,14,13.67,14,17010
7/6/2020,14,14,13.67,13.67,7200
7/7/2020,13.67,13.67,13.6,13.67,31060
7/8/2020,13.67,13.72,13.67,13.72,28880
7/9/2020,13.72,13.76,13.72,13.76,26050
7/10/2020,13.76,13.88,13.76,13.88,39160
7/13/2020,13.65,13.88,13.65,13.88,6520
7/14/2020,13.84,13.84,13.84,13.84,6810
7/15/2020,13.76,13.76,13.65,13.72,29600
7/16/2020,13.72,13.72,13.6,13.67,22840
7/17/2020,13.52,13.72,13.52,13.65,10470
7/20/2020,13.67,13.67,13.56,13.6,49410
7/21/2020,13.67,13.67,13.52,13.67,6920
7/22/2020,13.67,13.67,13.6,13.67,11170
7/23/2020,13.67,13.72,13.52,13.72,56960
7/24/2020,13.37,13.76,13.37,13.72,116550
7/27/2020,13.29,13.37,13.29,13.29,3030
7/28/2020,13.52,13.76,13.52,13.76,560
7/29/2020,13.12,13.67,13.12,13.67,5060
7/30/2020,13.6,13.6,13.6,13.6,1500
7/31/2020,13.52,13.65,13.17,13.2,2750
8/3/2020,13.52,13.52,13.12,13.24,16800
8/4/2020,13.37,13.37,13.24,13.24,2520
8/5/2020,13.52,13.67,13.24,13.29,36630
8/6/2020,13.76,13.76,13.29,13.29,14150
8/7/2020,13.24,13.56,13.24,13.29,38690
8/10/2020,13.32,13.52,13.29,13.32,1730
8/11/2020,13.29,13.67,13.29,13.6,5010
8/12/2020,13.6,13.6,13.37,13.37,2400
8/13/2020,13.37,13.6,13.32,13.32,43150
8/14/2020,13.32,13.56,13.24,13.48,25240
8/17/2020,13.48,13.52,13.48,13.48,9090
8/18/2020,13.52,13.52,13.48,13.52,1530
8/19/2020,13.52,13.56,13.52,13.52,18560
8/20/2020,13.52,13.52,13.4,13.48,3180
8/21/2020,13.52,13.52,13.44,13.48,5230
8/24/2020,13.48,13.76,13.48,13.52,48860
