Date,Open,High,Low,Close,Volume
5/4/2020,8430,8430,8270,8340,1193939
5/5/2020,8310,8390,8310,8340,1126770
5/6/2020,8390,8720,8310,8550,4453036
5/7/2020,8600,8720,8550,8720,2973997
5/8/2020,8760,9000,8640,8800,5995918
5/11/2020,9000,9000,8800,8920,4108808
5/12/2020,8920,9050,8060,8960,4057939
5/13/2020,9050,9050,8850,8920,3453900
5/14/2020,8920,8960,8640,8800,3827622
5/15/2020,8850,9130,8640,8920,6937907
5/18/2020,9000,9000,8800,8960,2771622
5/19/2020,9050,9260,9050,9130,5561531
5/20/2020,9090,9210,9050,9130,3116422
5/21/2020,9130,9340,9000,9210,4622625
5/22/2020,9260,9340,9170,9210,4841440
5/25/2020,9260,9340,9170,9300,3519682
5/26/2020,9260,9660,9260,9580,5267006
5/27/2020,9660,9750,9380,9380,6389497
5/28/2020,9380,9540,9380,9410,3568932
5/29/2020,9410,9460,9340,9410,2394358
6/1/2020,9460,10320,9410,10320,13859688
6/2/2020,10490,10900,10200,10200,10935462
6/3/2020,10200,10490,10200,10490,3758964
6/4/2020,10530,10570,10370,10410,5159832
6/5/2020,10450,10450,10240,10370,4025847
6/8/2020,10370,10690,10370,10450,6087882
6/9/2020,10490,10530,10370,10490,3531851
6/10/2020,10490,10650,10370,10530,6494275
6/11/2020,10530,10610,10030,10070,9172138
6/12/2020,9870,10070,9620,10070,6648375
6/15/2020,10160,10160,9540,9580,5885937
6/16/2020,9710,9950,9710,9790,4198360
6/17/2020,9990,9990,9660,9750,1599340
6/18/2020,9750,9830,9620,9790,1301526
6/19/2020,9790,10070,9790,10030,2334941
6/22/2020,10030,10160,9870,9920,2256643
6/23/2020,9950,10030,9830,9870,3282364
6/24/2020,9870,9990,9750,9790,3013466
6/25/2020,9750,9790,9660,9750,2500893
6/26/2020,9790,9870,9710,9710,1400341
6/29/2020,9710,9710,9340,9410,4353272
6/30/2020,9460,9580,9210,9380,3585625
7/1/2020,9380,9580,9380,9540,1676001
7/2/2020,9540,9620,9460,9500,1070089
7/3/2020,9540,9580,9460,9460,1271360
7/6/2020,9460,9750,9460,9710,3204367
7/7/2020,9750,9870,9750,9750,2389942
7/8/2020,9710,9870,9710,9830,1647694
7/9/2020,9830,9990,9830,9990,2248695
7/10/2020,9990,10030,9790,9870,2284971
7/13/2020,9920,9950,9790,9830,1840084
7/14/2020,9830,9920,9750,9870,1406915
7/15/2020,9950,9950,9870,9870,1570073
7/16/2020,9950,9950,9830,9870,903322
7/17/2020,9920,10280,9870,10200,7890281
7/20/2020,10200,10240,10070,10070,2622350
7/21/2020,10070,10120,9950,10120,2194410
7/22/2020,10120,10200,9950,10030,1726317
7/23/2020,10030,10030,9870,9950,1955757
7/24/2020,9990,9990,9260,9540,5532575
7/27/2020,8600,9410,8600,8960,6240477
7/28/2020,8960,9410,8850,9410,2598740
7/29/2020,9340,9380,8880,9130,4929532
7/30/2020,8920,9300,8920,9300,1914488
7/31/2020,9340,9340,9090,9260,2220749
8/3/2020,9090,9540,9090,9540,3044620
8/4/2020,9580,9830,9580,9750,2907562
8/5/2020,9830,10030,9750,9870,5472736
8/6/2020,9920,9920,9750,9790,1874899
8/7/2020,9830,9920,9660,9750,2150978
8/10/2020,9750,9920,9750,9790,2576760
8/11/2020,9870,10450,9830,10450,15333430
8/12/2020,10610,10650,10370,10450,6091725
8/13/2020,10450,10530,10410,10490,3803166
8/14/2020,10490,10490,10280,10410,6682494
8/17/2020,10410,10610,10370,10610,6222301
8/18/2020,10690,10730,10530,10530,4710796
8/19/2020,10570,10610,10450,10530,9263369
8/20/2020,11010,11330,10690,11120,19475136
8/21/2020,11120,11330,11010,11330,7392791
8/24/2020,11330,11490,11230,11230,6821518
8/25/2020,11230,11330,11120,11280,7801079
8/26/2020,11280,11390,11170,11330,6018699
8/27/2020,11330,11490,11280,11490,4863627
8/28/2020,11540,11650,11390,11440,6947593
8/31/2020,11440,11490,11280,11330,7008237
9/1/2020,11330,11390,11230,11280,7822064
9/3/2020,11280,11440,11230,11330,6080561
9/4/2020,11230,11330,11120,11280,4665691
9/7/2020,11280,11330,11120,11120,6067374
9/8/2020,11120,11170,11010,11010,12273484
9/9/2020,11010,11170,10850,11170,5021412
9/10/2020,11170,11330,11170,11170,3249267
9/11/2020,11170,11230,11060,11120,2350091
9/14/2020,11120,11390,11120,11330,5275848
9/15/2020,11330,11440,11280,11390,4632880
9/16/2020,11330,11390,11280,11330,2194115
9/17/2020,11390,11650,11280,11490,12323866
9/18/2020,11490,11590,11440,11590,3280690
9/21/2020,11650,11920,11540,11760,7244851
9/22/2020,11760,11920,11590,11920,8818518
9/23/2020,11920,12190,11920,12030,6511427
9/24/2020,11970,12080,11760,11860,5599785
9/25/2020,11860,11970,11700,11860,6416344
9/28/2020,11860,12190,11860,12080,8207740
9/29/2020,12130,12190,11920,11970,5923046
9/30/2020,11970,12030,11860,12030,3624221
10/1/2020,11920,12190,11860,12030,6510267
10/2/2020,11970,12560,11970,12300,23518516
10/5/2020,12300,12610,12240,12610,12891936
10/6/2020,12610,12930,12610,12830,10977492
10/7/2020,12830,12880,12450,12500,17695173
10/8/2020,12400,12660,12300,12400,13901830
10/9/2020,12400,12720,12350,12560,8725441
10/12/2020,12660,12720,12450,12450,8648083
10/13/2020,12500,12500,12350,12500,5325101
10/14/2020,12560,12880,12500,12830,20294474
10/15/2020,12830,13260,12770,13100,16349453
10/16/2020,13100,13370,12930,13200,8719031
10/19/2020,13370,13730,13310,13520,14160428
10/20/2020,13570,13680,13370,13520,11362976
10/21/2020,13570,13680,13470,13470,8869815
10/22/2020,13520,13900,13370,13680,9447256
10/23/2020,13790,13840,13630,13680,8028985
10/26/2020,13680,13790,13260,13260,11665717
10/27/2020,13200,13310,13040,13040,11726997
10/28/2020,13040,13100,12660,12720,14916975
10/29/2020,12610,12990,12400,12770,8515433
10/30/2020,12880,12990,12720,12880,4395888
11/2/2020,12930,13100,12830,13100,3777582
11/3/2020,13100,13470,13100,13370,7708705
11/4/2020,13420,13730,13420,13630,12607096
11/5/2020,13630,13730,13310,13310,8550742
11/6/2020,13310,13420,13260,13420,3672492
11/9/2020,13420,13630,13420,13570,5900784
11/10/2020,13730,13900,13520,13520,8857665
11/11/2020,13520,13630,13470,13570,4528033
11/12/2020,13570,14110,13570,14110,18955350
11/13/2020,14110,14270,14060,14160,6230740
11/16/2020,14160,14330,14000,14000,8984187
11/17/2020,14000,14530,14000,14530,16779929
11/18/2020,14530,14800,14380,14530,7925873
11/19/2020,14590,14690,14430,14530,6416782
11/20/2020,14590,14640,14330,14590,9596358
11/23/2020,14690,14690,14430,14590,10893510
11/24/2020,14590,14860,14480,14590,10360554
11/25/2020,14590,14750,14480,14590,6488827
11/26/2020,14590,14800,14430,14640,10037160
11/27/2020,14690,14750,14530,14530,5465478
11/30/2020,14640,14640,14430,14530,8943902
12/1/2020,14530,14590,14330,14590,9249711
12/9/2020,15020,15470,14860,15260,24200930
12/10/2020,15400,15400,14910,14940,9233750
12/11/2020,15020,15090,14860,15070,4459820
12/14/2020,15130,15230,15020,15070,7325960
12/15/2020,15070,15090,14910,14960,7305490
12/16/2020,14960,15200,14960,15090,10461450
12/17/2020,15020,15420,14990,15130,13567290
12/18/2020,15200,15310,15130,15180,11693630
12/21/2020,15230,15660,15150,15470,22481640
12/22/2020,15470,15500,15290,15360,7573290
12/23/2020,15400,15420,14960,15020,11216860
12/24/2020,15020,15130,14160,14590,15831250
12/25/2020,14590,14960,14530,14940,9194080
12/28/2020,15130,15130,14780,14860,6223680
12/29/2020,14860,14940,14750,14800,6501920
12/30/2020,14830,15070,14830,14860,6741290
12/31/2020,14910,15130,14890,15020,6774680
1/4/2021,15260,15420,15230,15310,10776300
1/5/2021,15290,15820,15130,15690,18693900
1/6/2021,15870,16360,15660,15980,15883900
1/7/2021,15980,16030,15820,15980,11636100
1/8/2021,16000,16250,15930,16140,15519300
1/11/2021,16300,16510,16110,16219,9821800
1/12/2021,16160,16200,16000,16090,9277600
1/13/2021,16200,16219,15870,15950,9915300
1/14/2021,15980,15980,15600,15950,8491200
1/15/2021,16030,16250,16000,16160,8184100
1/18/2021,16219,16300,15980,16000,8419100
1/19/2021,15930,15980,14910,14910,13077400
1/20/2021,14960,15130,14060,15130,12323000
1/21/2021,15400,15550,15150,15470,6535000
1/22/2021,15450,15550,15230,15310,5438100
1/25/2021,15130,15230,14990,15020,7683600
1/26/2021,14990,15310,14690,14860,8096200
1/27/2021,14860,15150,14530,14690,6387700
1/28/2021,13900,14270,13680,13680,15154800
1/29/2021,13100,14380,13100,14330,7621200
2/1/2021,14330,14640,14060,14240,7528200
2/2/2021,14240,14640,14080,14620,6544600
2/3/2021,14620,15070,14530,15020,7054500
2/4/2021,15020,15070,14860,15070,4250800
2/5/2021,15070,15310,15040,15230,5610600
2/8/2021,15230,15360,14530,14690,5755400
2/9/2021,14690,15260,14590,15260,5954800
2/17/2021,15400,15760,15340,15710,6855800
2/18/2021,15710,15740,15400,15580,5547900
2/19/2021,15500,16650,15450,16620,31184200
2/22/2021,16830,17210,16620,16890,12587300
2/23/2021,17020,17230,16810,16940,13951000
2/24/2021,16920,17020,16560,16670,18685200
2/25/2021,16830,17340,16620,17320,15014200
2/26/2021,17050,17830,17050,17670,13071400
3/1/2021,17850,17880,17580,17770,8464900
3/2/2021,17850,17880,17530,17630,9574100
3/3/2021,17580,17880,17480,17770,9072300
3/4/2021,17850,17850,17130,17320,9814000
3/5/2021,17160,17420,16890,17340,10157000
3/8/2021,17370,17480,16870,17000,16047000
3/9/2021,16830,17270,16620,17130,8819900
3/10/2021,17160,17740,17050,17500,12152700
3/11/2021,17630,17690,17500,17630,7124300
3/12/2021,17630,17670,17450,17610,5195500
3/15/2021,17630,18090,17420,17900,18052500
3/16/2021,17850,18010,17670,17880,6112900
3/17/2021,17880,17930,17740,17900,6246400
3/18/2021,18120,18300,17900,18140,10281900
3/19/2021,18140,18280,18010,18070,7108900
3/22/2021,18200,18230,17830,17850,8706000
3/23/2021,17930,17930,17530,17630,10347000
3/24/2021,17320,17500,17130,17340,9941600
3/25/2021,17340,17420,17050,17130,8322000
3/26/2021,17100,17340,16760,17340,7931700
3/29/2021,17580,17690,17320,17630,6981300
3/30/2021,17690,17900,17500,17800,8053200
3/31/2021,17900,18070,17770,17800,4986100
4/1/2021,17880,18090,17800,18090,10439300
4/2/2021,18280,18700,18170,18520,13979400
4/5/2021,18870,18870,18490,18570,7433500
4/6/2021,18540,18680,18250,18570,7565000
4/7/2021,18440,18540,18340,18390,6400900
4/8/2021,18360,18540,18280,18390,4687900
4/9/2021,18340,18490,18280,18390,5401500
4/12/2021,18490,18810,18410,18790,12513500
4/13/2021,18900,18970,18390,18490,8736000
4/14/2021,18340,18570,18250,18490,5073300
4/15/2021,18520,18540,18070,18090,9686700
4/16/2021,18070,18200,17480,17690,8403400
4/19/2021,17900,18030,17530,18010,4291900
4/20/2021,18170,18390,17740,17960,7166900
4/22/2021,17850,17960,17370,17370,7843500
4/23/2021,17320,17880,17160,17850,6687700
4/26/2021,17850,17850,17420,17800,7119100
4/27/2021,17630,18170,17450,18170,6393000
4/28/2021,17900,18340,17850,18070,5675200
4/29/2021,18070,18520,17960,18520,16646300
5/4/2021,18170,18570,17900,18410,9333200
5/5/2021,18490,19160,18490,18870,17558400
5/6/2021,18870,18900,18520,18600,7783800
5/7/2021,18440,18920,18440,18810,12059100
5/10/2021,18810,19430,18810,19350,13491300
5/11/2021,19450,19450,19140,19140,9777000
5/12/2021,19000,19320,18920,19320,8991300
5/13/2021,19080,19750,19080,19350,11724300
5/14/2021,19450,19610,19270,19480,6118400
5/17/2021,19770,19880,19480,19540,9278700
5/18/2021,19560,19560,19190,19370,7881100
5/19/2021,19350,19610,19190,19560,8143500
5/20/2021,19560,20040,19560,19990,12263200
5/21/2021,19990,20470,19930,20040,9146500
5/24/2021,20230,20230,19910,20040,7546600
5/25/2021,20040,20440,19930,20310,8757400
5/26/2021,20330,20660,20330,20550,9976000
5/27/2021,20570,20930,20260,20420,9551700
5/28/2021,20420,20790,20330,20790,9416000
5/31/2021,21110,22150,20840,22130,16030300
6/1/2021,22710,22930,22450,22500,11159800
6/2/2021,22800,23840,22710,23840,16009600
6/3/2021,24740,24740,23840,24530,12265700
6/4/2021,24050,24530,24050,24210,9488100
6/7/2021,24000,24000,22580,22980,18505000
6/8/2021,22740,23200,21480,21480,14322800
6/9/2021,21480,22770,21380,22690,12565100
6/10/2021,23060,23620,22790,22790,14000300
6/11/2021,22990,23460,22590,23160,9532300
6/14/2021,23160,23320,22620,22790,10946100
6/15/2021,22790,24190,22390,23620,18178200
6/16/2021,23620,23690,23060,23190,8211200
6/17/2021,22720,23390,22520,23320,6392600
6/18/2021,23520,23720,23320,23390,9215200
6/21/2021,23320,23520,23160,23220,5447600
6/22/2021,23520,24060,23290,23820,14872000
6/23/2021,23990,24320,23860,23920,10244600
6/24/2021,24060,24360,23790,24190,11494200
6/25/2021,24190,24460,24090,24290,7934000
6/28/2021,24530,24590,24260,24530,7937700
6/29/2021,24660,24690,24360,24360,6677700
6/30/2021,24320,24390,23790,23860,9628000
7/1/2021,23760,24190,23460,24020,10393200
7/2/2021,24260,24320,24060,24120,6407100
7/5/2021,24260,25460,23990,25360,16668600
7/6/2021,25390,25530,24060,24060,7653200
7/7/2021,24060,24660,23460,24430,10121600
7/8/2021,24430,24860,24060,24190,7351900
7/9/2021,24060,24460,22720,23520,11315400
7/12/2021,23060,23220,21890,21890,18353700
7/13/2021,22250,22250,21580,21990,6672200
7/14/2021,21990,22050,20780,21220,10810500
7/15/2021,20980,22020,20950,21890,5095200
7/16/2021,22150,22450,21920,22450,5918700
7/19/2021,21990,22150,21350,21480,10019200
7/20/2021,21720,22650,21380,22650,8563400
7/21/2021,22750,23060,22550,22590,8179300
7/22/2021,22590,22990,22190,22790,7161900
7/23/2021,22650,22820,22050,22050,7371300
7/26/2021,21790,22120,21420,21850,7527900
7/27/2021,22090,22390,22050,22150,5634700
7/28/2021,22190,22450,22090,22150,4846400
7/29/2021,22350,22850,22250,22820,7638000
7/30/2021,22920,24160,22920,24160,35156000
8/2/2021,23720,24060,23620,23760,8554700
8/3/2021,23690,23920,23390,23920,8766300
8/4/2021,24060,24060,23590,23720,8466500
8/5/2021,23620,24120,23590,24060,13787200
8/6/2021,24120,24160,23690,23760,8620800
8/9/2021,23660,24630,23490,24390,19240200
8/10/2021,24590,24630,24190,24390,10457700
8/11/2021,24390,24560,24060,24060,16492300
8/12/2021,23920,24060,23590,23590,12147100
8/13/2021,23520,23690,22920,23620,15125200
8/16/2021,23620,24060,23260,23860,12056700
8/17/2021,24060,24190,23660,23790,8743100
8/18/2021,23690,23920,23590,23760,7096100
8/19/2021,23720,23760,23360,23590,9370500
8/20/2021,23590,23620,22090,22450,20952900
8/23/2021,22390,22450,21380,21380,15602700
8/24/2021,21380,21720,21180,21580,9084200
8/25/2021,21520,21720,21320,21690,4865700
8/26/2021,21750,21790,21250,21350,4944800
8/27/2021,21180,21280,20580,21220,8069600
8/30/2021,21250,21650,21120,21480,8029600
8/31/2021,21720,21790,21380,21380,5528600
9/1/2021,21380,21890,21350,21380,8715300
9/6/2021,21520,21580,21350,21420,7381200
9/7/2021,21650,21890,21520,21720,7963700
9/8/2021,21720,21890,21450,21480,4752900
9/9/2021,21380,21690,21350,21690,3431900
9/10/2021,21720,21750,21550,21580,4101100
9/13/2021,21580,21580,21320,21320,5199800
9/14/2021,21280,21380,21050,21050,4511400
9/15/2021,21050,21050,20820,20850,4979200
9/16/2021,20880,21080,20850,20920,3455500
9/17/2021,21120,21250,20950,21120,4572300
9/20/2021,21380,21580,21280,21450,6387800
9/21/2021,21250,21380,21020,21250,3882100
9/22/2021,21250,21380,21120,21120,2681700
9/23/2021,21180,21250,21050,21120,4210800
9/24/2021,21250,21480,21120,21380,6688700
9/27/2021,21520,21650,21050,21050,4801300
9/28/2021,21050,21220,20980,21120,2517400
9/29/2021,21120,21180,20820,20950,3615100
9/30/2021,20950,21120,20920,21080,4394800
10/1/2021,21050,21080,20780,21050,6441900
10/4/2021,20920,20980,20450,20720,5659000
10/5/2021,20720,21050,20720,21050,2912300
10/6/2021,21080,21150,20780,20950,3321300
10/7/2021,21050,21050,20850,20850,2161800
10/8/2021,20980,21080,20880,21020,3480900
10/11/2021,21120,21790,21120,21790,6684100
10/12/2021,21990,21990,21650,21790,3385300
10/13/2021,21790,21990,21720,21790,3709300
10/14/2021,21790,21850,21520,21580,4521600
10/15/2021,21720,21750,21450,21520,2976800
10/18/2021,21620,21790,21380,21380,4543400
10/19/2021,21650,21650,21320,21580,3615400
10/20/2021,21580,21820,21250,21580,3846400
10/21/2021,21580,21580,21220,21220,4132200
10/22/2021,21320,21350,21020,21120,3827100
10/25/2021,21180,21180,20780,20880,5200400
10/26/2021,20880,20880,20580,20780,5259100
10/27/2021,20820,21250,20820,20980,5828100
10/28/2021,21150,21280,21050,21280,4649100
10/29/2021,21280,22050,21220,22050,13597100
11/1/2021,21920,21990,21650,21850,5293300
11/2/2021,21850,22150,21750,22150,7009200
11/3/2021,22250,22790,22220,22620,13060100
11/4/2021,22750,22750,22350,22390,4197400
11/5/2021,22590,22590,22250,22390,3967400
11/8/2021,22390,22490,22190,22320,5385300
11/9/2021,22320,22590,22290,22350,5047900
11/10/2021,22390,22420,22150,22320,4367400
11/11/2021,22250,22420,21720,22050,7129400
11/12/2021,22050,22290,21820,22290,4376100
11/15/2021,22320,22450,22220,22320,4878900
11/16/2021,22290,22320,21920,22150,5211500
11/17/2021,22150,22390,21920,22250,4360500
11/18/2021,22390,22390,21720,21720,5497600
11/19/2021,21850,22650,21750,22350,9794000
11/22/2021,22390,23260,22050,22820,9151000
11/23/2021,22890,22920,22520,22690,3839600
11/24/2021,22650,23690,22550,23620,14295800
11/25/2021,23720,23760,23360,23490,7083400
11/26/2021,23490,23590,23120,23120,6209000
