Date,Open,High,Low,Close,Volume
05/04/2020,24570,25120,24230,24370,655630
05/05/2020,24370,24710,24300,24370,427650
05/06/2020,24470,24850,24370,24850,739320
05/07/2020,25060,25950,25060,25920,2524450
05/08/2020,26190,27130,25920,26230,2563570
05/11/2020,26570,26920,26190,26570,1209730
05/12/2020,26440,26680,26190,26610,1645960
05/13/2020,26440,27470,26090,27330,2725900
05/14/2020,26920,27950,26920,27400,1994890
05/15/2020,27470,27680,26500,26640,1909780
05/18/2020,26540,26850,26230,26850,1864370
05/19/2020,27540,27540,26850,26990,1686240
05/20/2020,26920,27130,26570,27020,900670
05/21/2020,27260,27710,27230,27400,2474770
05/22/2020,27400,27610,27130,27130,1140830
05/25/2020,27130,27470,26920,27370,888300
05/26/2020,27440,28990,27440,28990,2954120
05/27/2020,29510,29510,27470,27470,2293240
05/28/2020,27610,28270,27470,28090,1913890
05/29/2020,27890,27950,27470,27680,1669730
06/01/2020,27820,28680,27780,28610,1104330
06/02/2020,28640,28920,27950,27990,1496600
06/03/2020,28230,28440,27950,28300,896130
06/04/2020,28440,29200,28370,28850,2013380
06/05/2020,28850,29130,28470,29060,1216160
06/08/2020,29470,30370,29330,30370,2487930
06/09/2020,30440,30440,29890,29920,1119590
06/10/2020,29750,30440,29330,30030,1297400
06/11/2020,30030,30160,27950,27950,2386670
06/12/2020,27260,29330,27260,29330,1913590
06/15/2020,29200,29200,27540,27540,1503480
06/16/2020,28640,28710,27950,28090,958780
06/17/2020,28090,28370,27510,27820,817560
06/18/2020,27820,28020,27610,27950,629450
06/19/2020,28440,28610,28090,28610,720420
06/22/2020,28640,28890,28160,28510,622920
06/23/2020,28330,28540,27950,28090,1110100
06/24/2020,28090,28440,27750,27820,692090
06/25/2020,27610,27780,27470,27610,791820
06/26/2020,28230,28230,27400,27540,717380
06/29/2020,27130,27260,26500,26570,1334210
06/30/2020,26920,26950,26090,26160,862060
07/01/2020,26160,27200,26160,27060,769310
07/02/2020,27230,27230,26710,26920,501500
