Date,Open,High,Low,Close,Volume
05/04/2020,31710,31710,31240,31370,236430
05/05/2020,30940,31650,30940,31590,130080
05/06/2020,31050,31730,31050,31120,165050
05/07/2020,31510,31510,31090,31230,217340
05/08/2020,31090,31590,31030,31270,401010
05/11/2020,31590,31930,30940,31590,136950
05/12/2020,31590,32990,31590,32990,392600
05/13/2020,32850,34030,32710,33340,209500
05/14/2020,33340,33660,32850,32850,206250
05/15/2020,32850,32910,32310,32590,170440
05/18/2020,32070,32810,32070,32810,137190
05/19/2020,32990,33300,32850,32850,219260
05/20/2020,32630,33400,32630,32850,258980
05/21/2020,32990,32990,32630,32670,302050
05/22/2020,32990,32990,32630,32810,401390
05/25/2020,32950,32990,32450,32990,266330
05/26/2020,32990,34250,32850,34110,274890
05/27/2020,34110,34220,33940,33940,129930
05/28/2020,33690,34030,33340,33540,81520
05/29/2020,33540,33800,33050,33480,121860
06/01/2020,33480,33900,33340,33400,63140
06/02/2020,33620,33620,33340,33340,137230
06/03/2020,33480,33830,32990,33480,126500
06/04/2020,33900,34740,33580,34530,228430
06/05/2020,34530,35790,34110,35590,320190
06/08/2020,36280,37120,35940,36920,247840
06/09/2020,36920,37120,35090,36500,171350
06/10/2020,36770,36770,35790,36220,167840
06/11/2020,36360,36360,35450,35450,240840
06/12/2020,33830,35370,33830,34880,189970
06/15/2020,35310,35310,33900,34250,132470
06/16/2020,35090,35730,34390,34880,142680
06/17/2020,34880,36500,34880,34880,198010
06/18/2020,34880,36420,34880,36140,115710
06/19/2020,36420,38190,36140,37900,516910
06/22/2020,37900,38950,37900,38610,438090
06/23/2020,38470,38610,38190,38380,165240
06/24/2020,39230,39450,37900,38240,345950
06/25/2020,38240,38240,37760,37900,146540
06/26/2020,38610,38610,38050,38240,83990
06/29/2020,38240,38330,36980,37060,227710
06/30/2020,37260,37760,36140,36420,177520
07/01/2020,36500,37960,36500,37760,235710
07/02/2020,37760,38470,37200,38050,156520
07/03/2020,38530,39650,38050,39310,304740
07/06/2020,39310,39310,38050,38050,96780
07/07/2020,38050,38810,38050,38050,206340
07/08/2020,38380,38610,38050,38100,30270
07/09/2020,38100,38610,37550,38100,153170
07/10/2020,38100,38380,37340,37820,114810
07/13/2020,37820,38240,37550,38190,65940
07/14/2020,38330,38330,37550,37900,73240
07/15/2020,37960,38190,37550,37550,88440
07/16/2020,37550,38530,37200,37900,125140
07/17/2020,38250,38530,37900,38250,78260
07/20/2020,38250,38340,37680,37680,64200
07/21/2020,37680,38050,35820,38050,85000
07/22/2020,38390,38390,37540,37540,76360
07/23/2020,37900,37900,37190,37540,34380
07/24/2020,37540,37540,35460,36110,250690
07/27/2020,35040,35610,33610,33610,296010
07/28/2020,33970,35890,33970,35890,222410
