Date,Open,High,Low,Close,Volume
05/04/2020,13190,13650,13050,13390,7526760
05/05/2020,13390,13450,13120,13250,2976380
05/06/2020,13320,13550,13050,13490,6890670
05/07/2020,13490,13790,13420,13620,7523830
05/08/2020,13820,14450,13750,13950,12666220
05/11/2020,14190,14390,13950,14190,7654090
05/12/2020,14120,14560,13920,14450,6576780
05/13/2020,14290,14660,14120,14450,6959000
05/14/2020,14290,14520,14250,14250,5828440
05/15/2020,14390,14420,13920,13950,7303040
05/18/2020,13990,14250,13820,14250,5204650
05/19/2020,14690,14990,14560,14890,11023040
05/20/2020,14690,14890,14620,14890,5342980
05/21/2020,14920,15520,14890,15320,10616250
05/22/2020,15220,15760,15120,15220,7637850
05/25/2020,15290,15590,15160,15390,6731270
05/26/2020,15390,15560,15260,15460,6282980
05/27/2020,15560,15660,14960,14960,8420990
05/28/2020,15060,15320,14920,15060,5936110
05/29/2020,14990,15160,14990,15020,3561630
06/01/2020,15220,15690,15160,15690,7120400
06/02/2020,15890,16219,15620,15660,9588410
06/03/2020,15760,16059,15720,16020,6901900
06/04/2020,16160,16620,16090,16460,8945730
06/05/2020,16360,16490,16160,16320,5424300
06/08/2020,16590,16830,16420,16620,7059480
06/09/2020,16690,16690,16160,16160,6702380
06/10/2020,16160,16690,16090,16460,8248360
06/11/2020,16490,16560,15320,15320,9257760
06/12/2020,14760,15560,14760,15560,7094300
06/15/2020,15490,15690,14760,14890,7929180
06/16/2020,15360,15520,15160,15520,4034460
06/17/2020,15360,15520,15290,15360,2469120
06/18/2020,15160,15490,15160,15290,1954210
06/19/2020,15460,15620,15320,15590,2865250
06/22/2020,15560,15820,15520,15660,2986770
06/23/2020,15620,15720,15390,15520,2896760
06/24/2020,15620,15720,15160,15220,3055390
06/25/2020,15020,15260,14960,15160,2550180
06/26/2020,15360,15390,14960,15060,2337220
06/29/2020,14960,15060,14450,14620,4603180
06/30/2020,14860,14960,14290,14390,2812450
07/01/2020,14450,14890,14390,14890,2104360
07/02/2020,14960,15020,14760,14890,1743240
07/03/2020,14920,14990,14890,14890,2149960
07/06/2020,15090,15560,14990,15390,4849180
07/07/2020,15560,15820,15490,15660,6656300
07/08/2020,15660,16020,15560,15790,5304630
07/09/2020,15820,16160,15720,16090,6047940
07/10/2020,16020,16120,15720,15890,4645000
07/13/2020,16020,16420,15990,15990,6127280
07/14/2020,15990,16219,15890,16059,4016980
07/15/2020,16219,16260,16090,16090,2637330
07/16/2020,16020,16090,15820,16090,3780830
07/17/2020,16020,16219,15890,16090,3452100
07/20/2020,16090,16090,15860,15890,2923970
07/21/2020,15960,15990,15660,15920,2745180
07/22/2020,15990,15990,15590,15590,2698500
07/23/2020,15690,15690,15360,15590,2989960
07/24/2020,15390,15520,14560,14860,8461420
07/27/2020,14220,14620,13820,13820,7535580
07/28/2020,14120,14560,14020,14490,4278520
07/29/2020,14150,14220,13620,13920,4708610
07/30/2020,14050,14320,14020,14250,2574820
07/31/2020,14020,14350,13950,14150,2928540
08/03/2020,14150,14560,14120,14520,2692490
08/04/2020,14760,14890,14620,14720,3115850
08/05/2020,14760,15160,14690,15120,4575550
08/06/2020,15120,15220,14920,14960,2859860
08/07/2020,15090,15290,14990,15190,3870640
08/10/2020,15420,15620,15220,15220,4070190
08/11/2020,15520,15560,15220,15490,3873130
08/12/2020,15560,15890,15490,15620,4361920
08/13/2020,15890,15960,15820,15860,5131270
08/14/2020,15790,15920,15520,15690,5238720
08/17/2020,15520,15720,15460,15690,2898140
08/18/2020,15690,15720,15420,15490,2681950
08/19/2020,15490,15690,15460,15560,2560050
08/20/2020,15620,15720,15520,15560,4210180
08/21/2020,15690,16290,15690,16219,9577820
08/24/2020,16490,16560,16290,16290,4407840
08/25/2020,16390,16590,16290,16490,5203350
08/26/2020,16360,16760,16320,16490,6796160
08/27/2020,16420,16720,16420,16520,3085280
08/28/2020,16620,16960,16560,16760,9589990
08/31/2020,17160,17490,16830,17160,7359810
09/01/2020,17160,17460,17090,17460,4773840
09/03/2020,17590,17760,17260,17330,8343610
09/04/2020,17090,17630,17090,17360,6578630
09/07/2020,17430,17460,16690,16690,8021370
09/08/2020,16860,17060,16560,17060,5505960
09/09/2020,16760,17030,16720,16890,3872280
09/10/2020,16960,17130,16890,16890,2655550
09/11/2020,16790,17160,16790,17090,3472470
09/14/2020,17360,17360,17060,17090,2823060
09/15/2020,17130,17190,16960,16960,3265100
09/16/2020,16990,16990,16790,16830,3970480
09/17/2020,16890,17130,16860,16890,3996280
09/18/2020,17030,17260,16960,17230,4213030
09/21/2020,17360,17460,17090,17190,5072680
09/22/2020,17090,17260,17030,17230,4239110
09/23/2020,17330,17760,17290,17530,6418220
09/24/2020,17490,17560,17260,17360,3582600
09/25/2020,17430,17490,17160,17490,4630970
09/28/2020,17630,18330,17630,18130,12014920
09/29/2020,18290,18290,17760,17760,5950290
09/30/2020,17760,17860,17530,17730,4764680
10/01/2020,17930,18030,17730,17760,5391110
10/02/2020,18090,18290,17560,17990,13241830
10/05/2020,18360,18460,18190,18360,5939210
10/06/2020,18430,18460,18160,18160,5909080
10/07/2020,18090,18530,18030,18030,8357770
10/08/2020,18160,18290,17890,18130,6514330
10/09/2020,18160,18560,18160,18460,10113630
10/12/2020,19730,19730,19200,19430,16827340
10/13/2020,19360,20700,19200,20400,10920290
10/14/2020,20500,20600,20030,20030,8338720
10/15/2020,20160,20360,20030,20060,10107170
10/16/2020,20360,21000,20160,20800,12956750
10/19/2020,21430,21670,21300,21470,9648680
10/20/2020,21270,21570,21160,21430,9963500
10/21/2020,21500,21670,20730,20730,9191450
10/22/2020,20700,21370,20560,21370,8715860
10/23/2020,21500,21530,21100,21230,6636530
10/26/2020,21300,21300,20360,20360,8904630
10/27/2020,20360,20760,20200,20530,11228060
10/28/2020,20360,20660,19960,19960,7936180
10/29/2020,19830,20160,19430,19430,11708930
10/30/2020,19560,19700,18830,19360,9099270
11/02/2020,19560,20300,19500,20300,5194990
11/03/2020,20460,20500,20100,20160,4957760
11/04/2020,20230,20700,20100,20430,7152600
11/05/2020,20360,20630,20200,20200,5810810
11/06/2020,20230,20460,20160,20200,5382100
11/09/2020,20460,20760,20460,20660,7890820
11/10/2020,20830,21000,20430,20430,8706210
11/11/2020,20530,20630,20300,20360,6063870
11/12/2020,20430,20860,20430,20700,5609690
11/13/2020,20830,21370,20830,21330,10712410
11/16/2020,21670,21830,21230,21300,15774840
11/17/2020,21500,21800,21370,21700,8707180
11/18/2020,21700,21970,21600,21870,7298690
11/19/2020,21870,22230,21730,22230,13599610
11/20/2020,22270,22330,22000,22170,7237750
11/23/2020,22170,22170,21770,21970,7136380
11/24/2020,22130,22130,21700,21870,8848310
11/25/2020,22170,22370,21970,22030,10715800
11/26/2020,22030,22870,22000,22730,11623080
11/27/2020,22830,23030,22700,22730,6224220
11/30/2020,22730,22830,22370,22370,11002280
12/01/2020,22030,22700,21970,22630,9713470
12/02/2020,22630,22830,22430,22530,8657370
12/03/2020,22570,22730,22500,22570,6256350
12/04/2020,22700,23300,22630,23170,18959210
12/07/2020,23370,23430,23100,23170,7312770
12/08/2020,23170,23200,22900,23030,8604990
12/09/2020,23030,23300,23000,23030,8148750
12/10/2020,23030,23300,22700,22700,10188750
12/11/2020,22970,23230,22670,23200,8093800
12/14/2020,23570,23770,23300,23640,10847590
12/15/2020,23640,23640,23130,23370,10988240
12/16/2020,23430,23700,23430,23640,7708110
12/17/2020,23640,23770,23090,23090,14327750
12/18/2020,23230,23430,23090,23430,5660480
12/21/2020,23470,24010,23360,23600,7880530
12/22/2020,23770,23970,23530,23570,6431410
12/23/2020,23700,23700,23300,23360,5748780
12/24/2020,23360,23570,21810,22990,8307780
12/25/2020,23090,23500,22550,23500,8006910
12/28/2020,23700,23840,23160,23230,6379650
12/29/2020,23230,23400,23090,23130,5009810
12/30/2020,23260,23670,23130,23260,5580940
12/31/2020,23330,23530,23260,23400,4513160
01/04/2021,23700,24380,23640,24040,14041500
01/05/2021,23970,24350,23840,23970,9215200
01/06/2021,24380,25630,24180,25630,15419900
01/07/2021,26070,26850,26010,26310,10679600
01/08/2021,26750,26750,26070,26210,8380100
01/11/2021,26340,26820,26140,26210,10911700
01/12/2021,26210,26340,25800,26070,9154200
01/13/2021,26170,26720,26070,26170,9063900
01/14/2021,26410,26650,26070,26510,8275700
01/15/2021,26750,27160,26620,26750,11321800
01/18/2021,26820,26990,26140,26140,7197000
01/19/2021,26070,26140,24310,24310,14466500
01/20/2021,24380,24650,22890,24140,11184000
01/21/2021,24450,25060,24040,25060,7568900
01/22/2021,25020,25940,24850,25460,11333200
01/25/2021,25260,25430,24720,24920,6580500
01/26/2021,24720,24750,23360,23360,8285900
01/27/2021,23160,23800,22010,22080,9544300
