Date,Open,High,Low,Close,Volume
05/04/2020,6440,6500,6190,6190,1562950
05/05/2020,6150,6390,6150,6310,1230410
05/06/2020,6270,6390,6270,6350,1103120
05/07/2020,6330,6370,6240,6280,1236080
05/08/2020,6240,6390,6230,6260,1846120
05/11/2020,6250,6350,6230,6250,1104570
05/12/2020,6240,6680,6240,6680,4383450
05/13/2020,6740,6930,6600,6880,2881960
05/14/2020,6670,6860,6670,6700,1280770
05/15/2020,6700,6700,6350,6500,2374630
05/18/2020,6500,6500,6300,6410,1479440
05/19/2020,6460,6590,6390,6440,1672890
05/20/2020,6500,6860,6460,6790,2554830
05/21/2020,6410,6810,6410,6660,1113960
05/22/2020,6630,6950,6580,6730,2390430
05/25/2020,6730,7090,6670,6970,2392630
05/26/2020,6970,6970,6840,6900,1369530
05/27/2020,6910,7000,6600,6600,1976250
05/28/2020,6740,6760,6600,6680,1486580
05/29/2020,6680,6730,6630,6660,815760
06/01/2020,6670,6770,6660,6680,1273410
06/02/2020,6700,6700,6270,6470,2830060
06/03/2020,6460,6500,6390,6500,1052660
06/04/2020,6700,6700,6500,6540,660300
06/05/2020,6390,6700,6390,6610,868980
06/08/2020,6600,6740,6600,6620,1923210
06/09/2020,6670,6840,6620,6810,3821740
06/10/2020,6870,6960,6700,6890,2686710
06/11/2020,6940,7170,6420,6420,4633900
06/12/2020,6420,6670,6410,6600,2516500
06/15/2020,6600,6810,6500,6580,1966350
06/16/2020,6670,6760,6550,6670,1822420
06/17/2020,6620,6820,6620,6710,1478610
06/18/2020,6700,6720,6610,6670,671580
06/19/2020,6670,6930,6670,6900,2790890
06/22/2020,6960,7390,6950,7390,6138070
06/23/2020,7570,7720,7210,7520,4039140
06/24/2020,7450,7520,7230,7230,1911620
06/25/2020,7290,7690,7150,7450,4881260
06/26/2020,7520,7620,7250,7250,1692050
06/29/2020,7210,7250,6810,6960,3275200
06/30/2020,7010,7110,6480,6680,3860800
07/01/2020,6690,6980,6620,6900,1627540
07/02/2020,6900,7000,6790,6830,787860
07/03/2020,6830,6890,6740,6790,1248610
07/06/2020,6820,6920,6750,6880,987580
07/07/2020,6890,6970,6890,6890,1851610
07/08/2020,6890,7130,6870,7070,1861080
07/09/2020,7190,7190,7070,7100,1145390
07/10/2020,7060,7130,7030,7060,1868620
07/13/2020,7100,7180,6980,7010,1254510
07/14/2020,7010,7100,6990,7100,1487360
07/15/2020,7200,7250,7100,7100,1594150
07/16/2020,7100,7130,7010,7070,1328300
07/17/2020,7070,7120,7030,7030,1324580
07/20/2020,7030,7060,6860,6860,1723170
07/21/2020,6910,6980,6800,6950,1385810
07/22/2020,6980,7070,6860,6890,1148260
07/23/2020,6890,6950,6840,6890,562520
07/24/2020,6860,6890,6410,6580,2870260
07/27/2020,6270,6400,6130,6130,3733280
07/28/2020,6170,6510,6130,6510,1616520
07/29/2020,6260,6280,6060,6270,2069730
07/30/2020,6350,6400,6280,6280,997970
07/31/2020,6040,6320,6040,6190,1121840
08/03/2020,6230,6420,6210,6370,885230
08/04/2020,6400,6470,6370,6390,1159510
08/05/2020,6390,6530,6350,6520,1328290
08/06/2020,6520,6520,6420,6420,1163100
08/07/2020,6420,6480,6380,6420,1370670
08/10/2020,6500,6650,6490,6560,2095400
08/11/2020,6580,6620,6500,6570,1956010
08/12/2020,6570,6600,6510,6570,1606080
08/13/2020,6580,6890,6580,6820,2997390
08/14/2020,6820,6880,6580,6750,1966960
08/17/2020,6750,6790,6680,6740,1076850
08/18/2020,6790,6840,6770,6770,1207010
08/19/2020,6810,6830,6790,6790,1407000
08/20/2020,6790,6810,6700,6720,1305350
08/21/2020,6720,7100,6720,7080,5234320
08/24/2020,7250,7280,7130,7180,3105600
08/25/2020,7190,7210,7100,7120,2071880
08/26/2020,7080,7200,7030,7140,2859570
08/27/2020,7180,7270,7150,7190,1841680
08/28/2020,7230,7260,7140,7140,1830890
08/31/2020,7140,7520,7090,7290,3294400
09/01/2020,7280,7330,7210,7290,1030970
09/03/2020,7320,7360,7200,7250,1850680
09/04/2020,7150,7210,7100,7190,1607750
09/07/2020,7190,7290,7130,7130,2102690
09/08/2020,7180,7200,7110,7140,958720
09/09/2020,7110,7420,7110,7360,3964000
09/10/2020,7420,7450,7310,7330,1431220
09/11/2020,7330,7420,7290,7370,2007190
09/14/2020,7430,7800,7380,7800,5746950
09/15/2020,7840,8150,7830,7880,4518800
09/16/2020,7840,8029,7710,7920,2348500
09/17/2020,7920,8000,7770,7880,2661050
09/18/2020,7840,8119,7830,8029,2271970
09/21/2020,8119,8189,7820,7830,3159880
09/22/2020,7840,8029,7830,8029,2776360
09/23/2020,8070,8119,7880,8000,2143160
09/24/2020,7920,8029,7880,7960,2024220
09/25/2020,8000,8029,7920,8029,2176900
09/28/2020,8150,8580,8150,8580,6234180
09/29/2020,8860,9170,8820,9170,9543880
09/30/2020,9250,9490,8940,9290,3759410
10/01/2020,9250,9410,8940,9210,3824540
10/02/2020,9170,9210,8700,9170,5484570
10/05/2020,9490,9490,9210,9490,4798530
10/06/2020,9570,9570,9290,9410,2117120
10/07/2020,9330,9370,9170,9170,2431200
10/08/2020,9210,9600,9060,9490,7706100
10/09/2020,9570,9600,9370,9490,1690980
10/12/2020,9490,9570,9290,9370,3954970
10/13/2020,9290,9450,9170,9410,2969200
10/14/2020,9410,9450,9250,9370,1474130
10/15/2020,9450,9520,9370,9410,4456120
10/16/2020,9520,10030,9330,9840,10014980
10/19/2020,9880,10000,9690,9720,2381220
10/20/2020,9640,9760,9600,9760,2369750
10/21/2020,9800,10000,9720,9720,3619400
10/22/2020,9720,9880,9640,9880,2240150
10/23/2020,9880,10200,9880,10030,3964710
10/26/2020,10030,10110,9840,9840,1648640
10/27/2020,9840,9840,9600,9600,1847470
10/28/2020,9570,9850,9480,9480,3098260
10/29/2020,9480,9770,9360,9600,3091820
10/30/2020,9650,9850,9650,9810,2789410
11/02/2020,9980,10470,9980,10470,4554800
11/03/2020,10550,10630,10220,10390,2554570
11/04/2020,10390,10420,10220,10390,2308520
11/05/2020,10310,10630,10260,10310,3196480
11/06/2020,10340,10390,10140,10310,3319610
11/09/2020,10390,10840,10390,10760,5227000
11/10/2020,10760,10760,10340,10420,4210860
11/11/2020,10390,10470,10140,10180,5160080
11/12/2020,10220,10420,9930,10420,4432750
11/13/2020,10420,10630,10310,10420,3024420
11/16/2020,10470,10510,10220,10220,3243970
11/17/2020,10220,10310,10060,10310,4297480
11/18/2020,10340,10390,10140,10220,2826820
11/19/2020,10140,10310,10140,10220,2503700
11/20/2020,10140,10220,10100,10100,2927590
11/23/2020,10010,10140,10010,10010,3660270
11/24/2020,10010,10260,9900,10180,5713360
11/25/2020,10180,10220,9980,10010,3090050
11/26/2020,10010,10140,9980,10060,1576250
11/27/2020,10100,10140,10010,10010,1835780
11/30/2020,10010,10010,9810,9810,4263660
12/01/2020,9650,10010,9520,10010,3673840
12/02/2020,10010,10310,9900,10060,3375810
12/03/2020,10100,10180,10010,10140,1967910
12/04/2020,10140,10260,10060,10140,4199830
12/07/2020,10220,10220,10100,10140,2636490
12/08/2020,10180,10630,10140,10510,7750620
12/09/2020,10550,10550,10390,10420,2682830
12/10/2020,10470,10470,10310,10310,2978470
12/11/2020,10260,10310,10100,10310,2914750
12/14/2020,10390,10470,10220,10220,3012670
12/15/2020,10220,10550,10140,10310,3461650
12/16/2020,10390,10420,10260,10340,2696150
12/17/2020,10390,10390,10180,10220,2880660
12/18/2020,10220,10260,10140,10180,2559750
12/21/2020,10260,10340,10180,10310,3666060
12/22/2020,10470,11010,10310,11010,11486410
12/23/2020,11500,11540,11090,11130,8077920
12/24/2020,11420,11460,10600,11010,5646470
12/25/2020,10960,11370,10720,11370,6396790
12/28/2020,11370,11540,11130,11340,4808650
12/29/2020,11210,11420,11090,11290,3998990
12/30/2020,11420,11910,11420,11540,6807900
12/31/2020,11460,11630,11370,11540,3098020
01/04/2021,11630,11830,11420,11630,4685600
01/05/2021,11630,11750,11460,11630,4650000
01/06/2021,11660,11750,11500,11580,4556800
01/07/2021,11580,11630,11460,11580,3261200
01/08/2021,11710,12040,11580,11790,4944600
01/11/2021,11960,12040,11660,11750,3402900
01/12/2021,11750,11830,11630,11790,2730500
01/13/2021,11960,11990,11710,11750,4556900
01/14/2021,11710,11790,11580,11750,2783500
01/15/2021,11790,11870,11630,11750,3520600
01/18/2021,11790,12530,11750,12450,8532300
01/19/2021,12530,12530,11580,11750,4019500
01/20/2021,11710,11790,10960,11710,2957500
01/21/2021,11750,12080,11370,11870,4159300
01/22/2021,11870,12120,11710,11790,2529300
01/25/2021,11790,12320,11580,11870,4122900
01/26/2021,11870,12040,11130,11460,3268100
01/27/2021,11250,11500,10680,10880,3889600
01/28/2021,10140,10390,10140,10140,3918300
01/29/2021,9440,10630,9440,10510,2974900
02/01/2021,10510,10510,9810,9850,4405600
02/02/2021,9850,10010,9480,9730,2301800
02/03/2021,9900,10390,9900,10390,2548300
02/04/2021,10420,10840,9690,10470,2751600
02/05/2021,10470,10720,10420,10630,1438500
02/08/2021,10630,10720,10140,10340,2219800
02/09/2021,10260,10420,10180,10310,2277000
02/17/2021,10510,10630,10310,10550,2073000
02/18/2021,10550,11250,10470,11250,5597500
02/19/2021,11290,11710,11130,11370,3616800
02/22/2021,11630,11630,11210,11370,2954300
02/23/2021,11210,11420,11210,11250,2390200
02/24/2021,11250,11460,10930,11130,2755000
02/25/2021,11290,11290,10930,11040,2405300
02/26/2021,10840,11130,10800,11130,3042200
03/01/2021,11290,11660,11210,11540,4322600
03/02/2021,11910,12320,11710,12320,11549900
03/03/2021,12610,13150,12530,13150,9926500
03/04/2021,13560,13890,13150,13480,7916800
03/05/2021,13110,13940,12910,13850,7688000
03/08/2021,13890,14180,13430,13810,6129900
03/09/2021,13520,13940,13400,13850,4187600
03/10/2021,13850,14260,13850,13940,4718100
03/11/2021,13940,14050,13770,13890,3640100
03/12/2021,13940,13970,13600,13640,2827800
03/15/2021,13640,13680,13480,13520,3279000
03/16/2021,13520,13600,13190,13480,2549500
03/17/2021,13640,14380,13640,14380,7363000
03/18/2021,14670,14710,14300,14380,3240200
03/19/2021,14380,14380,13940,14260,3406800
03/22/2021,14180,14220,13970,14050,3447500
03/23/2021,14020,14510,13890,14350,3727300
03/24/2021,14300,14300,13600,14020,3223400
03/25/2021,13940,14020,13600,13770,2132500
03/26/2021,13600,13970,13350,13850,3996100
03/29/2021,13970,14550,13940,14430,5037000
03/30/2021,14460,14460,14020,14220,2346100
03/31/2021,14140,14510,14140,14380,4268000
04/01/2021,14670,15250,14630,14920,5582300
04/02/2021,15000,15080,14670,14880,2362300
04/05/2021,15000,15000,14590,14800,2966200
04/06/2021,14510,15080,14460,14840,3576400
04/07/2021,14800,14970,14670,14970,2004800
04/08/2021,14970,15050,14710,14800,1687400
04/09/2021,14800,14880,14430,14760,2763800
04/12/2021,14760,15170,14670,14970,4177600
04/13/2021,15000,15250,14840,14880,4066300
04/14/2021,14760,14920,14670,14920,2416900
04/15/2021,14920,15000,14020,14260,4863700
04/16/2021,14220,14220,13640,14100,4232200
04/19/2021,14100,14460,13850,14350,1535300
04/20/2021,14350,14380,13810,14020,2437900
04/22/2021,13850,13970,13070,13070,4848500
04/23/2021,13070,13400,12370,13320,2890300
04/26/2021,13320,13350,12610,12780,1800200
04/27/2021,12780,13640,12570,13320,3171100
04/28/2021,13430,13480,13190,13320,1826200
04/29/2021,13350,13480,13190,13190,1406200
05/04/2021,12780,13190,12780,13110,1614400
05/05/2021,13190,13520,13070,13400,1864900
05/06/2021,13430,13520,13190,13230,1570400
05/07/2021,13150,13230,12820,12820,2012300
05/10/2021,12740,13270,12650,13150,2778900
05/11/2021,13350,13480,13230,13230,1753300
05/12/2021,13230,13730,13190,13730,1800100
05/13/2021,13600,13890,13520,13730,2274000
05/14/2021,13940,14670,13940,14550,5811300
05/17/2021,14630,14760,14050,14140,2806500
05/18/2021,14050,14180,13640,13680,1760300
05/19/2021,13640,13970,13350,13730,2701100
05/20/2021,13770,14050,13680,13850,1785900
05/21/2021,14220,14460,13940,14020,2990600
05/24/2021,14180,14670,14020,14590,4516700
05/25/2021,14510,15080,14510,14550,4640600
05/26/2021,14550,14590,14350,14380,1980600
05/27/2021,14350,14380,13890,14020,3385300
05/28/2021,14020,14260,13680,14020,3537400
05/31/2021,14020,14020,13640,13850,4106200
06/01/2021,13770,13890,13680,13730,2551200
06/02/2021,13680,14670,13350,14670,6752700
06/03/2021,15250,15250,14840,14880,3823700
06/04/2021,14880,14880,14550,14670,3709900
06/07/2021,14670,15250,14430,14630,7308900
06/08/2021,14840,15210,14670,14670,5690800
06/09/2021,14670,14840,14260,14760,2063600
06/10/2021,14760,15790,14630,15790,10617500
06/11/2021,15910,16079,15580,15710,4548000
06/14/2021,15740,16410,15740,16079,3360200
06/15/2021,15910,16329,15660,16030,4405300
06/16/2021,16079,16690,16000,16239,5046200
06/17/2021,15830,16740,15830,16650,3719600
06/18/2021,16850,17720,16410,16740,5936800
06/21/2021,16900,17230,16650,16770,3715700
06/22/2021,16900,16950,16239,16329,5703200
06/23/2021,16160,16740,15910,16610,5383800
06/24/2021,16410,16650,16160,16410,2012600
06/25/2021,16410,16740,16410,16650,2489700
06/28/2021,16650,17060,16650,16850,3295000
06/29/2021,16900,17560,16900,17030,2923700
06/30/2021,17030,17680,16820,17310,4257700
07/01/2021,17470,17640,16900,17030,4589300
07/02/2021,17110,17270,16410,16570,7896100
07/05/2021,16410,16490,16000,16079,6023700
07/06/2021,16079,16410,15620,15620,2939300
07/07/2021,15500,15750,14800,15450,2779100
07/08/2021,15320,15800,15100,15190,2350700
07/09/2021,14890,15450,14630,14670,3294500
07/12/2021,14720,14720,13690,13770,5058100
07/13/2021,13940,14720,13850,14720,2663000
07/14/2021,14800,15070,14120,14630,2549200
07/15/2021,14250,14930,14250,14800,1769500
07/16/2021,14800,15400,14630,15070,2411800
07/19/2021,14550,14800,14150,14290,2819500
07/20/2021,14460,15100,14290,15020,3420800
07/21/2021,15100,15370,14890,14980,1965800
07/22/2021,14980,15880,14800,15670,4159600
07/23/2021,15670,16050,15500,15840,3912300
07/26/2021,15670,16530,15500,16309,4972400
07/27/2021,16350,16700,15970,16270,5045100
07/28/2021,16140,16350,16010,16140,2278900
07/29/2021,16270,16650,16100,16610,5280200
07/30/2021,16650,17520,16610,17380,9063300
08/02/2021,17470,18250,17380,17730,7839600
08/03/2021,17820,18160,17470,17950,6710900
08/04/2021,17950,17990,17380,17730,5567800
08/05/2021,17650,18550,17430,18500,7178800
08/06/2021,18550,18680,18160,18250,5646100
08/09/2021,18120,19500,18030,19500,8393700
08/10/2021,20230,20660,19450,19660,10346200
08/11/2021,19540,20660,19200,20310,7160300
08/12/2021,19800,20360,18900,18930,10891800
08/13/2021,18420,20230,18420,20180,7672700
08/16/2021,20360,21040,20060,20180,6711000
08/17/2021,19710,20700,19410,20400,5911700
08/18/2021,20140,20580,19750,20180,3768800
08/19/2021,19800,20360,19800,20140,2744200
08/20/2021,20400,20610,19450,20360,9465500
08/23/2021,20480,21300,20440,21090,7776200
08/24/2021,21090,21130,20060,20310,3659300
08/25/2021,20310,20360,19150,19970,3916500
08/26/2021,19970,21350,19970,20790,8177600
08/27/2021,20400,21180,20270,21180,3190600
08/30/2021,21350,21950,20910,21180,6237900
08/31/2021,21040,21860,20700,21510,7774000
09/01/2021,21350,22640,21260,22380,8207000
09/06/2021,22550,22640,21780,21860,4167600
09/07/2021,21950,21950,21130,21210,6359200
09/08/2021,20880,21560,20830,21210,3960500
09/09/2021,21480,21480,21000,21350,2090400
09/10/2021,21350,21910,21180,21480,4414700
09/13/2021,21510,21950,21260,21610,3784400
09/14/2021,21860,22340,21730,21730,4512600
09/15/2021,21690,21860,21300,21510,2704900
09/16/2021,21610,21650,21130,21350,2916200
09/17/2021,21260,21690,20660,21560,6065700
09/20/2021,21860,22080,21180,21300,3255900
09/21/2021,20790,21260,20740,21260,3255000
09/22/2021,21350,21480,20830,21090,2789400
09/23/2021,21130,21510,21000,21260,2561500
09/24/2021,21260,21430,20790,20830,2879400
09/27/2021,20830,20830,19630,19630,4173100
09/28/2021,19500,20060,18420,19930,3292600
09/29/2021,19930,21300,19500,21300,3987100
09/30/2021,21510,22760,21430,22760,10520100
10/01/2021,22890,24360,22860,24270,9130200
10/04/2021,24790,25690,24270,24440,6320600
10/05/2021,24100,25560,23930,24790,7723900
10/06/2021,24790,25560,24410,25170,6551700
10/07/2021,25170,26420,25090,25090,5660900
10/08/2021,25310,25310,24270,24310,5927700
10/11/2021,24870,25480,24270,25390,5415900
10/12/2021,25650,25950,24920,25010,6067700
10/13/2021,25040,26720,24740,26720,9255100
10/14/2021,27540,28400,27110,27630,4687300
10/15/2021,27970,28700,27200,28150,4786800
10/18/2021,28240,28660,26590,26770,12102000
10/19/2021,26810,27970,26250,27970,9616700
10/20/2021,28240,29180,27970,28840,5413200
10/21/2021,29090,29350,28320,29090,4817000
10/22/2021,29180,29180,28100,28570,7164600
10/25/2021,28240,28400,26940,27110,7568100
10/26/2021,26860,27800,26420,27370,9255600
10/27/2021,27970,28150,27290,27290,5763300
10/28/2021,27630,28840,27290,28840,8110500
10/29/2021,28840,29220,28240,28660,6903200
11/01/2021,29090,30000,28540,29270,9363100
11/02/2021,29440,29870,28660,29180,7260500
11/03/2021,29180,29520,27540,28100,7581500
