Date,Open,High,Low,Close,Volume
05/04/2020,8039,8340,8039,8320,247816
05/05/2020,8039,8650,8039,8650,350359
05/06/2020,8650,8800,8560,8800,181340
05/07/2020,8800,8800,8680,8720,148535
05/08/2020,8650,8720,8560,8630,112405
05/11/2020,8630,8890,8470,8750,142960
05/12/2020,8770,8930,8750,8830,92045
05/13/2020,8800,9200,8800,9170,262110
05/14/2020,9040,9910,8540,9610,208233
05/15/2020,9580,9640,9400,9400,127265
05/18/2020,9400,9580,9340,9580,175832
05/19/2020,9640,9780,9530,9550,213095
05/20/2020,9550,9740,9500,9740,106815
05/21/2020,9640,9800,9610,9740,185542
05/22/2020,9740,9880,9680,9820,175128
05/25/2020,9850,9980,8890,9950,183478
05/26/2020,9950,10100,9880,10100,176738
05/27/2020,10160,11090,10160,10710,450728
05/28/2020,10740,11220,10740,11090,263841
05/29/2020,11150,11190,11010,11090,141908
06/01/2020,11030,11850,11030,11820,538274
06/02/2020,11900,12250,11650,11730,272601
06/03/2020,11760,11760,11310,11510,162716
06/04/2020,11550,12080,11450,12050,599621
06/05/2020,12180,12630,12050,12510,738332
06/08/2020,12510,12660,12420,12540,404654
06/09/2020,12510,12510,12050,12330,270883
06/10/2020,12150,12220,11870,12050,538759
06/11/2020,11820,11820,11010,11090,1411706
06/12/2020,10840,11610,10550,11610,310014
06/15/2020,11690,11820,11450,11610,221875
06/16/2020,11450,11660,11450,11650,94490
06/17/2020,11650,11650,11480,11510,85490
06/18/2020,11550,11550,11360,11450,133896
06/19/2020,11450,12050,11450,11850,182308
06/22/2020,11850,11850,11690,11690,168420
06/23/2020,11760,11760,11650,11690,46491
06/24/2020,11730,11820,11550,11580,126250
06/25/2020,11550,11660,11450,11580,95511
06/26/2020,11580,12330,11580,11940,499357
06/29/2020,11870,11870,11610,11690,181202
06/30/2020,11690,11900,11510,11900,225636
07/01/2020,11690,12050,11660,11990,201004
07/02/2020,11990,11990,11870,11900,81263
07/03/2020,11960,12450,11960,12300,883025
07/06/2020,12220,12390,12050,12300,170457
07/07/2020,12300,12350,12150,12150,150287
07/08/2020,12050,12350,11690,12150,476980
07/09/2020,12050,12120,11760,12080,166432
07/10/2020,12080,12150,11900,12030,160900
07/13/2020,12030,12300,11900,12120,226205
07/14/2020,12050,12150,11940,12030,124210
07/15/2020,12050,12120,11900,11990,260340
07/16/2020,12150,12600,12050,12180,779858
07/17/2020,12220,12330,12120,12180,540257
07/28/2020,11360,11450,10840,11330,485410
07/29/2020,11220,11220,10550,10550,731630
07/30/2020,10550,10740,10340,10430,368450
07/31/2020,10400,10840,10100,10480,643970
08/03/2020,10550,11150,10550,11150,380170
08/04/2020,11430,11550,11220,11310,380200
08/05/2020,11310,11420,11190,11390,317210
08/06/2020,11310,11450,11280,11330,537190
08/07/2020,11330,11830,11330,11510,527370
08/10/2020,11760,11760,11470,11510,302990
08/11/2020,11580,11620,11420,11490,326110
08/12/2020,11430,11430,11160,11270,665380
08/13/2020,11380,11380,11200,11300,221570
08/14/2020,11300,11510,11270,11430,256780
08/17/2020,11400,11400,11250,11330,177770
08/18/2020,11330,11400,11290,11290,109400
