Date,Open,High,Low,Close,Volume
05/04/2020,21510,21870,21120,21310,289090
05/05/2020,21510,21510,21170,21460,87930
05/06/2020,21600,21630,21170,21350,261550
05/07/2020,21460,22030,21370,21690,567310
05/08/2020,21870,21870,21350,21350,304240
05/11/2020,21370,21580,21200,21370,254550
05/12/2020,21370,21600,21200,21460,370260
05/13/2020,21460,21660,21250,21630,283710
05/14/2020,21870,22190,21280,21280,1094730
05/15/2020,21510,21510,21350,21460,151330
05/18/2020,21460,21510,21280,21410,146360
05/19/2020,21350,21410,20600,20660,878150
05/20/2020,20320,20660,20320,20400,211030
05/21/2020,20370,20950,20370,20890,75350
05/22/2020,20710,20890,20660,20660,94110
05/25/2020,20660,20780,20470,20570,152570
05/26/2020,20600,21410,20540,21280,253900
05/27/2020,21630,21630,20950,20950,105450
05/28/2020,20950,21350,20780,21170,240700
05/29/2020,21050,21370,20950,21050,60680
06/01/2020,21000,21090,20740,20780,176740
06/02/2020,20840,21170,20710,21030,149130
06/03/2020,21120,21120,20780,20950,160230
06/04/2020,20950,20950,20510,20570,416050
06/05/2020,20470,20470,20240,20320,312770
06/08/2020,20320,20950,20320,20710,287730
06/09/2020,20860,20860,20400,20430,145720
06/10/2020,20680,20800,20320,20600,241930
06/11/2020,20600,20840,20030,20030,362810
06/12/2020,19230,19970,19230,19740,513410
06/15/2020,19800,19830,19120,19230,288290
06/16/2020,19340,19520,19170,19450,193070
06/17/2020,19570,19900,19280,19860,348490
06/18/2020,19900,20320,19740,20080,223990
06/19/2020,20320,20320,19680,19740,359300
06/22/2020,19740,19740,19550,19570,307480
06/23/2020,19570,19570,19450,19520,368900
06/24/2020,19520,20030,19440,19830,421690
06/25/2020,20030,20030,19680,19860,404650
06/26/2020,19860,20890,19860,20140,677170
06/29/2020,19740,20600,19450,19450,597050
06/30/2020,20030,20030,19520,19770,533910
07/01/2020,19770,20470,19740,20360,533490
07/02/2020,20540,21750,20210,21690,2773060
07/03/2020,21910,22600,21120,21170,1169170
07/06/2020,21240,21750,20710,20710,1445760
07/07/2020,20800,21310,20320,20320,1730330
07/08/2020,20840,21720,20840,21720,2387470
07/09/2020,23230,23230,23000,23230,1263310
07/10/2020,23230,23990,23230,23740,2380990
07/13/2020,23450,24610,23450,24010,1531970
07/14/2020,23990,24610,23950,24610,1304480
07/15/2020,24900,24950,23740,23740,1351200
07/16/2020,23740,24450,23740,24420,1019810
07/17/2020,24330,24980,24300,24570,975650
07/20/2020,24570,25030,24030,24260,1576530
07/21/2020,24210,24210,23230,23840,1627280
07/22/2020,23800,24260,23740,23900,1001600
07/23/2020,23870,24900,23660,24900,1283610
07/24/2020,24610,25290,23180,24030,2741350
07/27/2020,23230,23740,22600,22780,1868940
07/28/2020,23150,24090,22810,23840,912110
07/29/2020,23420,23660,22430,23450,1821910
07/30/2020,23660,23740,23450,23480,925680
07/31/2020,23450,23580,22920,23070,880480
08/03/2020,23070,23870,23070,23800,789560
08/04/2020,24030,24030,23660,24010,628220
08/05/2020,24030,25410,23950,25410,2154120
