Date,Open,High,Low,Close,Volume
05/04/2020,6620,6940,6590,6900,1813200
05/05/2020,6920,6960,6770,6940,1177050
05/06/2020,6920,6920,6780,6860,393860
05/07/2020,6990,6990,6800,6830,1204160
05/08/2020,6830,7300,6830,7170,2216860
05/11/2020,7230,7340,7050,7230,1469200
05/12/2020,7230,7340,7190,7280,1016600
05/13/2020,7240,7660,7120,7600,2269340
05/14/2020,7430,7530,7370,7370,860840
05/15/2020,7370,7530,7230,7320,561390
05/18/2020,7280,7430,7230,7430,880590
05/19/2020,7600,7660,7470,7550,1318090
05/20/2020,7470,7550,7470,7510,435170
05/21/2020,7430,8029,7430,8029,1123550
05/22/2020,7700,7850,7640,7660,1046640
05/25/2020,7700,7820,7630,7720,942600
05/26/2020,7600,7800,7600,7800,755080
05/27/2020,7960,7960,7600,7600,850800
05/28/2020,7700,7700,7580,7600,510180
05/29/2020,7570,7760,7450,7760,937900
06/01/2020,7770,8010,7770,7990,890790
06/02/2020,8550,8550,8500,8550,2242700
06/03/2020,9130,9130,8650,9130,1999730
06/04/2020,9130,9200,8910,8910,943650
06/05/2020,8780,8910,8620,8820,931870
06/08/2020,8840,8940,8740,8780,1490380
06/09/2020,8780,9010,8740,8990,1001390
06/10/2020,8990,9010,8780,8970,719230
06/11/2020,8910,8940,8620,8720,1803480
06/12/2020,8210,8650,8210,8620,926890
06/15/2020,9130,9180,8500,8760,2666010
06/16/2020,8820,8840,8650,8760,1728880
06/17/2020,8760,8760,8590,8610,589790
06/18/2020,8500,8570,8430,8510,683790
06/19/2020,8440,8590,8440,8590,456590
06/22/2020,8630,8630,8380,8500,644540
06/23/2020,8590,8590,8440,8500,616470
06/24/2020,8500,8530,8400,8420,463340
06/25/2020,8350,8350,8170,8240,730410
06/26/2020,8330,8370,8060,8119,929440
06/29/2020,8010,8060,7640,7920,1592010
06/30/2020,7980,8029,7640,7960,1007010
07/01/2020,7800,7960,7720,7870,926460
07/02/2020,8010,8080,7830,7920,707210
07/03/2020,7990,8460,7960,8330,1696380
07/06/2020,8330,8430,8230,8330,776970
07/07/2020,8420,8430,8330,8330,674050
07/08/2020,8330,8370,8240,8350,514700
07/09/2020,8350,8760,8350,8720,1668270
07/10/2020,8590,8770,8530,8550,1022700
07/13/2020,8560,8650,8460,8550,799240
07/14/2020,8530,8570,8420,8560,1155520
07/15/2020,8560,8720,8560,8610,726130
07/16/2020,8610,8720,8530,8720,828530
07/17/2020,8610,8670,8610,8630,600150
07/20/2020,8650,8720,8560,8570,735140
07/21/2020,8630,8630,8500,8510,658420
07/22/2020,8510,8610,8370,8430,681160
07/23/2020,8430,8530,8370,8530,567900
07/24/2020,8430,8500,7960,8109,1302970
07/27/2020,7600,7960,7550,7550,1665640
07/28/2020,7550,7790,7390,7700,1964660
07/29/2020,7430,7700,7340,7630,960200
07/30/2020,7570,7770,7570,7720,500710
07/31/2020,7390,7720,7390,7680,691900
08/03/2020,7620,7890,7620,7820,575950
08/04/2020,7980,7980,7820,7900,477290
08/05/2020,7900,8210,7870,8170,803780
08/06/2020,8170,8420,8039,8330,960720
08/07/2020,8330,8370,8240,8350,619710
08/10/2020,8370,8590,8370,8500,1042010
08/11/2020,8560,8620,8440,8560,932030
08/12/2020,8560,8610,8510,8610,543490
08/13/2020,8620,8690,8560,8690,999550
08/14/2020,8760,8880,8690,8780,1990240
08/17/2020,8830,8900,8770,8840,1633730
08/18/2020,8900,8900,8720,8780,848890
08/19/2020,8780,8800,8670,8700,736570
08/20/2020,8700,8740,8610,8610,1319990
08/21/2020,8620,8760,8620,8720,485010
08/24/2020,8720,9040,8720,9040,1508410
08/25/2020,9040,9170,9040,9040,1061180
08/26/2020,8970,9110,8940,9060,661770
08/27/2020,9040,9100,9010,9030,555190
08/28/2020,9030,9130,9030,9040,739830
08/31/2020,9040,9110,9030,9090,730390
09/01/2020,9080,9170,9060,9130,912390
09/03/2020,9300,9560,9260,9560,2106380
09/04/2020,9520,9600,9420,9520,1737350
09/07/2020,9620,9620,9370,9370,1500260
09/08/2020,9370,9520,9170,9420,979100
09/09/2020,9260,9450,9230,9330,967490
09/10/2020,9410,9450,9330,9400,510410
09/11/2020,9620,9900,9580,9730,2980530
09/14/2020,9880,9880,9650,9700,1657830
09/15/2020,9680,9730,9580,9580,1578100
09/16/2020,9580,9670,9520,9570,1270990
09/17/2020,9570,9600,9490,9490,1138420
09/18/2020,9490,9580,9490,9540,1007690
09/21/2020,9670,9900,9670,9840,2060410
09/22/2020,9840,9900,9710,9900,1851750
09/23/2020,9940,10020,9900,9960,1057680
09/24/2020,9940,9970,9900,9960,875340
09/25/2020,9960,9980,9840,9980,1459450
09/28/2020,10170,10170,10000,10080,1091890
09/29/2020,10100,10250,10020,10020,2066420
09/30/2020,10060,10080,9970,10030,2597730
10/01/2020,10290,10450,10260,10330,2899450
10/02/2020,10410,10430,10070,10290,1937670
10/05/2020,10370,10410,10290,10330,1003200
10/06/2020,10350,10410,10260,10290,1594250
10/07/2020,10200,10330,10180,10290,1388290
10/08/2020,10230,10300,10110,10200,1506280
10/09/2020,10260,10260,10200,10200,1414530
10/12/2020,10230,10290,10110,10140,1352010
10/13/2020,10140,10160,9990,9990,1414340
10/14/2020,9990,10160,9950,10100,1323940
10/15/2020,10160,10230,10070,10230,1323190
10/16/2020,10230,10410,10160,10330,1495300
10/19/2020,10370,10370,10230,10300,1258750
10/20/2020,10290,10660,10290,10540,2366670
10/21/2020,10660,10740,10510,10540,2268450
10/22/2020,10540,10590,10410,10510,1653550
10/23/2020,10540,10590,10450,10590,1969110
10/26/2020,10540,10590,10410,10410,1907620
10/27/2020,10410,10410,10220,10220,1834730
10/28/2020,10200,10200,9570,9570,3275210
10/29/2020,9570,9930,9540,9830,2158770
10/30/2020,10070,10110,9800,10070,1919800
11/02/2020,10070,10160,9900,10160,1431070
