Date,Open,High,Low,Close,Volume
05/04/2020,36460,36460,35160,35500,21280
05/05/2020,35770,36120,35770,35770,25010
05/06/2020,35770,36120,35500,35980,16990
05/07/2020,35580,36330,35580,36120,32880
05/08/2020,36390,36390,35850,36120,36410
05/11/2020,36800,37480,36120,36800,100540
05/12/2020,37420,37420,36730,36870,18360
05/13/2020,36800,37140,36660,36940,18770
05/14/2020,37420,38300,37270,38230,120200
05/15/2020,38230,38840,38170,38170,95100
05/18/2020,38170,38170,37480,38030,43020
05/19/2020,38170,38170,36800,36800,43860
05/20/2020,37480,37480,36520,36800,18810
05/21/2020,37270,37270,36460,36460,62930
05/22/2020,36120,36600,36050,36050,70410
05/25/2020,36190,36800,36190,36730,8090
05/26/2020,37270,37270,36250,36800,42510
05/27/2020,37420,37420,36330,36390,88690
05/28/2020,37140,37140,36250,36800,18290
05/29/2020,37070,37070,36800,36940,21260
06/01/2020,37340,38840,37210,38230,136070
06/02/2020,38710,40550,38710,39180,146890
06/03/2020,39530,40820,39180,40750,115670
06/04/2020,40890,42180,40550,41100,118380
06/05/2020,40950,40950,38840,40820,93910
06/08/2020,40820,40820,39870,40070,91910
06/09/2020,40070,40550,39320,39870,61940
06/10/2020,40070,40200,39260,39800,18730
06/11/2020,39800,39800,38300,38300,66480
06/12/2020,36120,38840,36120,37750,91180
06/15/2020,37750,38910,36870,37480,37190
06/16/2020,38170,38500,37550,38170,9080
06/17/2020,37820,38170,37750,38170,14260
06/18/2020,37480,38030,37210,37820,8020
06/19/2020,38170,38170,37610,37820,22250
06/22/2020,37750,38500,37750,38360,11850
06/23/2020,38360,39530,37820,39530,40610
06/24/2020,40200,40200,39320,40010,77240
06/25/2020,39870,40010,39530,39530,57070
06/26/2020,39870,40070,39180,39530,14340
06/29/2020,39530,39530,38170,38570,32220
06/30/2020,38570,38640,38170,38500,33170
07/01/2020,38500,39180,38170,38840,21590
07/02/2020,39390,39530,38910,39450,34000
07/03/2020,39930,40070,39390,40070,42440
