Date,Open,High,Low,Close,Volume
05/04/2020,9340,9410,9230,9260,3111820
05/05/2020,9260,9680,9260,9680,3044010
05/06/2020,9750,9750,9530,9530,1773810
05/07/2020,9640,9710,9490,9600,3304330
05/08/2020,9750,9830,9530,9640,4614030
05/11/2020,9830,10050,9640,9830,2110900
05/12/2020,9830,10130,9680,9980,3524880
05/13/2020,9980,10160,9830,9830,3319350
05/14/2020,9860,10050,9790,9790,2290800
05/15/2020,9830,9940,9560,9640,2332130
05/18/2020,9680,9710,9530,9680,1469440
05/19/2020,9900,9980,9750,9860,3770060
05/20/2020,9790,9900,9790,9790,1544960
05/21/2020,9860,9900,9750,9750,3134370
05/22/2020,9790,9790,9600,9640,3244960
05/25/2020,9710,10280,9640,10280,6545850
05/26/2020,10610,10840,10580,10690,3652010
05/27/2020,10730,10730,10390,10430,2880810
05/28/2020,10280,10500,10280,10390,3363820
05/29/2020,10280,10650,10280,10540,3920880
06/01/2020,10580,11030,10580,10950,3656730
06/02/2020,10990,11030,10580,10610,4239540
06/03/2020,10540,10840,10460,10690,3495830
06/04/2020,10690,10990,10610,10650,3224570
06/05/2020,10650,10880,10540,10800,1939380
06/08/2020,10950,11210,10840,10880,3633850
06/09/2020,10880,11400,10760,11100,4940700
06/10/2020,11250,11850,11100,11850,7723460
06/11/2020,12530,12680,11630,11630,10281670
06/12/2020,11030,11780,11030,11630,4543820
06/15/2020,11660,11810,10880,10880,4108250
06/16/2020,11100,11360,10950,11330,3161360
06/17/2020,11210,11330,10880,11180,2259930
06/18/2020,10910,11180,10880,11030,2294100
06/19/2020,11210,11330,11100,11250,2879690
06/22/2020,11330,11510,11290,11290,2588880
06/23/2020,11290,11400,11060,11140,2859720
06/24/2020,11140,11210,10800,11060,3003410
06/25/2020,10910,11060,10840,10910,1771000
06/26/2020,10990,11060,10800,10840,1989830
06/29/2020,10730,10730,10130,10430,2586200
06/30/2020,10610,10610,9900,10390,1962580
07/01/2020,10160,10650,10050,10540,1899370
07/02/2020,10430,10580,10310,10460,1292070
07/03/2020,10390,10500,10240,10240,1388830
07/06/2020,10310,10500,10240,10240,1951060
07/07/2020,10390,10500,10390,10500,1749060
07/08/2020,10430,10650,10430,10540,1453240
07/09/2020,10540,10730,10540,10650,2773650
07/10/2020,10650,10880,10580,10840,3656210
07/13/2020,10950,11100,10840,10880,2091660
07/14/2020,10880,10880,10650,10800,1134500
07/15/2020,10800,10910,10650,10650,1728050
07/16/2020,10650,10800,10650,10730,1161720
07/17/2020,10730,10880,10580,10800,1852720
07/20/2020,10950,11290,10800,11060,3975450
07/21/2020,11060,11290,10950,11290,1927280
07/22/2020,11330,11330,10910,11140,1822370
07/23/2020,10950,11100,10650,10800,2817370
07/24/2020,10730,10910,10050,10130,4211520
07/27/2020,9600,9860,9450,9530,3911580
07/28/2020,9680,10010,9450,9940,2580200
07/29/2020,9600,9830,9450,9710,3155820
07/30/2020,9680,9830,9640,9640,1317410
07/31/2020,9300,9530,9260,9300,2449810
08/03/2020,9450,9710,9340,9680,2127590
08/04/2020,9750,9900,9710,9790,1326010
08/05/2020,9750,9980,9680,9900,1687530
08/06/2020,9790,10050,9750,9900,1604510
08/07/2020,9900,9980,9830,9980,1244750
08/10/2020,10050,10460,10050,10240,2256360
08/11/2020,10310,10350,10160,10200,1475900
08/12/2020,10280,10280,10050,10160,1577260
08/13/2020,10200,10280,10130,10280,2131890
08/14/2020,10200,10310,9980,10050,2195830
08/17/2020,10010,10160,9980,10130,1288760
08/18/2020,10010,10200,10010,10090,1099430
08/19/2020,10090,10350,10090,10200,1748140
08/20/2020,10130,10310,10130,10160,1946110
08/21/2020,10200,10390,10200,10350,1939930
08/24/2020,10430,10460,10350,10430,1677480
08/25/2020,10460,10580,10350,10350,1518040
08/26/2020,10350,10650,10280,10430,2187810
08/27/2020,10430,10610,10430,10460,1190000
08/28/2020,10580,10610,10460,10460,1432490
08/31/2020,10580,10610,10280,10280,1933260
09/01/2020,10280,10350,10160,10240,2167350
09/03/2020,10280,10350,10050,10090,4542010
09/04/2020,9980,10240,9940,10200,3654190
09/07/2020,10310,10310,10090,10090,2010660
09/08/2020,10160,10240,10090,10240,1633950
09/09/2020,10240,10280,10200,10280,1709970
09/10/2020,10390,10460,10310,10310,2289760
09/11/2020,10280,10350,10130,10350,2608100
09/14/2020,10350,10350,10130,10160,2919290
09/15/2020,10240,10280,10130,10130,1895160
09/16/2020,10160,10310,10130,10240,2417320
09/17/2020,10280,10310,10130,10240,1309590
09/18/2020,10200,10280,10160,10240,1883560
09/21/2020,10280,10460,10240,10390,3046950
09/22/2020,10390,10430,10280,10430,2435550
