Date,Open,High,Low,Close,Volume
05/04/2020,7280,7320,7230,7230,2266940
05/05/2020,7250,7280,7140,7210,2512680
05/06/2020,7250,7300,7170,7280,3827470
05/07/2020,7280,7460,7280,7430,6237880
05/08/2020,7480,7760,7480,7570,12648540
05/11/2020,7670,7760,7530,7670,13871460
05/12/2020,7670,7840,7570,7840,11943010
05/13/2020,7940,8060,7760,7980,10535970
05/14/2020,7900,8010,7800,7900,7371050
05/15/2020,7940,7970,7740,7740,8051150
05/18/2020,7740,7800,7670,7770,4693050
05/19/2020,7940,7980,7870,7940,9169410
05/20/2020,7870,7940,7830,7900,4064620
05/21/2020,7910,8060,7870,8029,8733490
05/22/2020,7980,8060,7840,7870,7705210
05/25/2020,7870,7970,7840,7900,4244600
05/26/2020,7940,8029,7910,8029,9158970
05/27/2020,8119,8119,7900,7900,10811090
05/28/2020,7910,7980,7870,7900,3439560
05/29/2020,7900,7900,7830,7840,4370270
06/01/2020,7870,8230,7870,8140,17148300
06/02/2020,8210,8360,8170,8170,14019730
06/03/2020,8210,8260,8170,8230,4396970
06/04/2020,8280,8360,8210,8210,8631510
06/05/2020,8189,8210,8119,8170,6864850
06/08/2020,8280,8360,8230,8260,8114180
06/09/2020,8280,8300,8230,8260,5953860
06/10/2020,8230,8600,8189,8490,10294970
06/11/2020,8530,8600,7980,7980,9855080
06/12/2020,7800,8060,7800,8060,10033880
06/15/2020,8080,8100,7710,7760,9023320
06/16/2020,7870,7980,7830,7940,5876970
06/17/2020,7940,7980,7870,7900,2160720
06/18/2020,7910,7940,7840,7900,2294180
06/19/2020,7940,7980,7900,7980,3111870
06/22/2020,8010,8100,7970,7980,2622880
06/23/2020,7980,8060,7970,7980,3682810
06/24/2020,8029,8119,7980,8010,5739200
06/25/2020,7940,7970,7900,7910,2709130
06/26/2020,7970,7980,7870,7910,1999300
06/29/2020,7840,7900,7640,7700,5960860
06/30/2020,7760,7800,7550,7570,3399510
07/01/2020,7600,7710,7570,7710,2067570
07/02/2020,7710,7740,7640,7700,1628160
07/03/2020,7710,7740,7670,7700,1241470
07/06/2020,7710,7830,7700,7760,2970930
07/07/2020,7830,7840,7760,7800,3562940
07/08/2020,7770,7840,7770,7830,1816440
07/09/2020,7870,7980,7840,7970,3777860
07/10/2020,7940,7940,7840,7870,2151820
07/13/2020,7870,7940,7830,7840,2322950
07/14/2020,7830,7840,7760,7830,3552800
07/15/2020,7900,7940,7840,7900,2941050
07/16/2020,7980,7980,7900,7980,3783960
07/17/2020,7980,8010,7940,7980,3957050
07/20/2020,7980,8010,7840,7840,3056310
07/21/2020,7900,7900,7830,7900,3066900
07/22/2020,7940,7940,7830,7830,2724680
07/23/2020,7830,7840,7740,7770,3208620
07/24/2020,7760,7760,7480,7530,8288120
07/27/2020,7250,7350,7010,7010,9988390
07/28/2020,7250,7460,7070,7430,6476500
07/29/2020,7250,7250,7010,7140,4891540
07/30/2020,7210,7250,7170,7230,2740330
07/31/2020,7170,7250,7070,7180,2822800
08/03/2020,7170,7400,7170,7400,4195230
08/04/2020,7430,7530,7400,7480,2557000
08/05/2020,7480,7550,7400,7550,2939150
08/06/2020,7530,7550,7460,7460,3050260
08/07/2020,7460,7500,7430,7430,2043440
08/10/2020,7530,7550,7460,7500,3695170
08/11/2020,7550,7570,7480,7530,3279300
08/12/2020,7530,7710,7530,7700,5592880
08/13/2020,7740,7760,7670,7740,2730880
08/14/2020,7710,7840,7700,7830,5684510
08/17/2020,7830,7840,7700,7800,3857910
08/18/2020,7800,7830,7710,7760,2714080
08/19/2020,7760,7770,7710,7770,3899030
08/20/2020,7770,7830,7740,7770,4196330
08/21/2020,7770,7900,7760,7900,5135520
08/24/2020,7940,8140,7940,8119,8344270
08/25/2020,8170,8360,8140,8230,12351760
08/26/2020,8210,8280,8170,8170,5231990
08/27/2020,8170,8210,8100,8170,3597610
08/28/2020,8210,8280,8170,8170,6040590
08/31/2020,8210,8300,8170,8189,3916140
09/01/2020,8230,8260,8170,8260,5064400
09/03/2020,8300,8370,8260,8300,4950930
09/04/2020,8140,8260,8140,8230,5064490
09/07/2020,8280,8280,8080,8080,7654310
09/08/2020,8119,8140,8010,8119,3480610
09/09/2020,8029,8119,8029,8100,3715080
09/10/2020,8170,8210,8119,8119,3129160
09/11/2020,8119,8170,8060,8140,2230940
09/14/2020,8210,8330,8189,8280,4580680
09/15/2020,8280,8330,8230,8260,3695340
09/16/2020,8230,8280,8210,8260,2613980
09/17/2020,8230,8430,8230,8260,7410540
09/18/2020,8300,8570,8280,8560,11784520
09/21/2020,8670,8780,8600,8700,10816030
09/22/2020,8700,8780,8670,8770,9969810
09/23/2020,8800,8850,8720,8770,6764910
09/24/2020,8830,8970,8770,8940,12357250
09/25/2020,8990,9020,8830,8940,6504900
09/28/2020,9020,9170,8970,9120,8664740
09/29/2020,9120,9150,8970,8970,7980230
09/30/2020,8970,9030,8920,9020,4772210
10/01/2020,9090,9120,8990,9060,7966350
10/02/2020,9090,9120,8970,9060,10888220
10/05/2020,9160,9320,9160,9270,10749710
10/06/2020,9400,9400,9270,9350,7113210
10/07/2020,9300,9320,9210,9210,7245090
10/08/2020,9370,9370,9210,9240,6874020
10/09/2020,9240,9270,9180,9180,3873190
10/12/2020,9240,9300,9130,9180,4828180
10/13/2020,9210,9210,9090,9160,4053540
10/14/2020,9110,9300,9110,9240,4923620
10/15/2020,9270,9270,9180,9210,4262410
10/16/2020,9300,9370,9270,9350,9150340
10/19/2020,9430,9610,9430,9560,10589820
10/20/2020,9580,9820,9560,9790,10529370
10/21/2020,9900,9970,9710,9710,9500440
10/22/2020,9770,9830,9630,9830,7256230
10/23/2020,9950,9950,9770,9870,6605720
10/26/2020,9830,9870,9630,9630,8875780
10/27/2020,9630,9630,9370,9370,9536450
10/28/2020,9300,9400,9160,9180,6840230
10/29/2020,9160,9370,9160,9320,6240080
10/30/2020,9370,9400,9210,9320,5736540
11/02/2020,9400,9430,9320,9430,3692210
11/03/2020,9470,9610,9430,9560,3590520
11/04/2020,9740,9740,9520,9660,4685210
11/05/2020,9690,9710,9520,9580,6789020
11/06/2020,9580,9630,9400,9430,3992580
11/09/2020,9470,9580,9450,9560,3710450
11/10/2020,9630,9690,9470,9470,6776330
11/11/2020,9520,9610,9450,9560,9353320
11/12/2020,9580,9790,9560,9790,10547260
11/13/2020,9830,10100,9830,10100,16110590
11/16/2020,10210,10260,9950,9970,20068100
11/17/2020,10030,10230,10000,10230,9945750
11/18/2020,10290,10480,10180,10290,11311450
11/19/2020,10340,10370,10160,10210,13407160
11/20/2020,10180,10210,10080,10100,7118600
11/23/2020,10100,10160,9970,10050,9013500
11/24/2020,10160,10210,10050,10130,8564990
11/25/2020,10260,10260,10100,10180,6517830
11/26/2020,10080,10210,10050,10210,12419270
11/27/2020,10210,10480,10160,10480,15975030
11/30/2020,10680,10790,10570,10650,18510250
12/01/2020,10500,10910,10500,10910,20421100
12/02/2020,10940,11200,10910,11180,18071190
12/03/2020,11280,11280,10910,10990,22447130
12/04/2020,10990,11080,10910,10970,18416060
12/07/2020,10970,11020,10890,10940,8253270
12/08/2020,10940,11280,10890,11180,16402560
12/09/2020,11250,11390,11180,11200,12895210
12/10/2020,11230,11280,10990,11020,13602560
12/11/2020,11080,11250,10910,11250,8637130
12/14/2020,11300,11470,11300,11440,14023310
12/15/2020,11440,11440,11200,11250,13083510
12/16/2020,11330,11730,11250,11640,19503010
12/17/2020,11570,11680,11420,11570,16719990
12/18/2020,11780,12100,11590,12100,17502170
12/21/2020,12200,12410,12070,12170,26924800
12/22/2020,12240,12410,12040,12150,22805050
12/23/2020,12200,12230,11990,11990,13833600
12/24/2020,12070,12120,11570,11930,16011380
12/25/2020,11930,12120,11830,12100,12807670
12/28/2020,12300,12300,11960,12070,16589830
12/29/2020,12070,12070,11960,12020,10912210
12/30/2020,11990,12120,11990,11990,12801190
12/31/2020,12070,12100,12020,12040,14034660
01/04/2021,12240,12750,12100,12540,42370800
01/05/2021,12640,13170,12540,13170,34044900
01/06/2021,13350,13610,13090,13250,22063300
01/07/2021,13350,13590,13230,13570,18918200
01/08/2021,13710,14310,13610,13930,25861800
01/11/2021,14140,14240,13710,13800,23381600
01/12/2021,13800,13880,13450,13690,16552100
01/13/2021,13690,13930,13570,13610,18649800
01/14/2021,13770,13830,13540,13830,20138800
01/15/2021,14080,14240,13900,14000,19922700
01/18/2021,14000,14050,13710,13710,13838300
01/19/2021,13710,13710,12770,12770,22184900
01/20/2021,12770,12960,11990,12770,23198100
01/21/2021,13090,13510,12770,13510,14714600
01/22/2021,13450,13590,13250,13400,12400500
01/25/2021,13300,13510,13170,13200,10924900
01/26/2021,13170,13400,12430,13400,19797100
01/27/2021,12980,13230,12490,12570,22798000
01/28/2021,11780,12040,11700,11700,20362200
01/29/2021,11160,12300,11160,12280,19607700
02/01/2021,12040,12300,11500,11520,16163000
02/02/2021,11830,12240,11500,12230,14396700
02/03/2021,12410,12750,12240,12700,19837900
