Date,Open,High,Low,Close,Volume
05/04/2020,34890,35480,34180,34340,1462030
05/05/2020,34490,35170,34250,34930,798780
05/06/2020,35200,35760,34730,35610,981900
05/07/2020,35690,36040,35610,35840,1114050
05/08/2020,36000,36320,34930,35010,2183120
05/11/2020,35450,35650,34810,35450,1412250
05/12/2020,35450,36550,34890,36470,2222720
05/13/2020,36470,37670,35840,36960,1884490
05/14/2020,36470,36640,34970,35290,3482550
05/15/2020,35370,35690,34850,34890,1616980
05/18/2020,34730,35370,34020,35330,1396460
05/19/2020,35690,35920,35290,35330,1296630
05/20/2020,35170,36000,35170,35920,1117340
05/21/2020,36080,36790,36000,36470,1803250
05/22/2020,36470,36830,36040,36080,1173980
05/25/2020,36080,38580,36080,38580,3142600
05/26/2020,39970,41150,39290,40680,2889580
05/27/2020,40760,40830,38850,38850,2373900
05/28/2020,38940,40280,38460,39650,2435010
05/29/2020,39800,40440,39330,40360,1194140
06/01/2020,40440,42030,40440,42030,1763310
06/02/2020,42340,42420,40280,40520,2005520
06/03/2020,40520,43300,40520,43220,2900680
06/04/2020,43770,44400,42270,42580,1807500
06/05/2020,42270,43450,42030,43300,869090
06/08/2020,43300,44090,42900,43370,1701560
06/09/2020,43220,44010,42420,42580,1190660
06/10/2020,42510,42900,41310,42340,1417920
06/11/2020,42340,43130,39650,39650,2363420
06/12/2020,38060,40280,38060,40210,1913100
06/15/2020,40360,41070,38500,38740,1222390
06/16/2020,39650,40280,39050,39800,959000
06/17/2020,39970,40520,39370,39650,684390
06/18/2020,39570,41070,39260,40760,896160
06/19/2020,41070,41470,41000,41470,865480
06/22/2020,41470,42340,41240,41710,856220
06/23/2020,41470,42030,40440,41310,1245440
06/24/2020,41310,41470,40120,40120,929620
06/25/2020,39650,40600,39260,40120,626690
06/26/2020,40760,40830,39800,40440,493250
06/29/2020,40040,40280,39330,39410,584580
06/30/2020,40040,40040,38620,39410,646710
07/01/2020,39410,40830,39330,40830,821540
07/02/2020,41070,42340,40760,41790,1444430
07/03/2020,42030,42580,41710,41710,889420
07/06/2020,41790,42190,41710,41790,583920
07/07/2020,42270,43220,41870,42030,1455000
07/08/2020,42030,42820,41630,42820,1123750
07/09/2020,43220,43220,42420,42580,1252690
07/10/2020,42420,42420,41310,41950,1339580
07/13/2020,41950,42030,41150,41390,907450
07/14/2020,41310,42030,41150,42030,587370
07/15/2020,42030,42340,41710,41790,496050
07/16/2020,42030,42030,41390,41710,391220
07/17/2020,41710,43220,41390,42580,2220270
07/20/2020,42900,43610,42030,42340,1395410
07/21/2020,42510,43450,42030,43450,1907660
07/22/2020,43850,44250,42820,43060,1561650
07/23/2020,42980,43370,42340,43220,814140
07/24/2020,43450,43930,40440,41790,3233330
07/27/2020,41310,41470,38900,38900,2669980
07/28/2020,39970,41000,39330,40830,1368150
07/29/2020,39800,40210,38060,40210,2593410
07/30/2020,40280,40600,39970,40040,911760
07/31/2020,39490,40440,39260,39650,1017640
08/03/2020,39650,40920,39650,40830,981510
08/04/2020,40830,41470,40760,41070,825130
08/05/2020,41070,42420,40680,42030,1878560
08/06/2020,42030,42190,41470,41790,869730
08/07/2020,41790,42270,41710,41950,944690
08/10/2020,42340,43450,41950,42820,2348110
08/11/2020,43130,43300,42420,42580,1284760
08/12/2020,42580,42740,42100,42510,972130
08/13/2020,42580,42820,42190,42580,1022060
08/14/2020,42660,43610,42510,42820,1835810
08/17/2020,42820,43060,42270,42820,746150
08/18/2020,42980,43060,42660,42900,845550
08/19/2020,42900,45430,42900,45430,4381730
08/20/2020,45430,46230,44960,45670,2485510
08/21/2020,45520,46940,45520,46700,2241600
08/24/2020,46790,46790,45990,46380,1930640
08/25/2020,46550,46790,45990,46070,1152780
08/26/2020,46070,47500,45750,46380,1718370
08/27/2020,46380,47020,46310,46700,716960
08/28/2020,46870,47180,45990,45990,1443570
08/31/2020,45840,45990,44570,44810,2269640
09/01/2020,44720,45750,44640,45670,930280
09/03/2020,46230,46230,45430,45670,980640
09/04/2020,45200,46150,44960,45990,1280320
09/07/2020,45990,46470,45200,45200,974090
09/08/2020,45200,45670,44960,45600,597820
09/09/2020,45360,46790,45040,46230,1139550
09/10/2020,46700,47020,46230,46380,1134500
09/11/2020,46310,46700,46150,46380,628720
09/14/2020,46380,47180,46230,47110,1321220
09/15/2020,47500,47500,46940,46940,817690
09/16/2020,46940,47110,46470,46470,559130
09/17/2020,46470,46700,45600,45990,1039960
09/18/2020,46070,46150,45750,45910,577420
09/21/2020,45990,46230,45520,45600,1154580
09/22/2020,45280,46230,45200,45600,704290
09/23/2020,45600,46470,45430,46380,954060
09/24/2020,46310,46790,45990,46380,661940
09/25/2020,46550,46550,45750,46070,672330
09/28/2020,46230,46230,45600,45990,722690
09/29/2020,45990,46150,44880,45040,1495930
09/30/2020,44960,46870,44880,46230,1767490
10/01/2020,46230,46790,46150,46230,656760
10/02/2020,46230,46380,44960,45840,892530
10/05/2020,45750,46790,45750,46550,1078280
