Date,Open,High,Low,Close,Volume
05/04/2020,21770,22100,21770,21810,643730
05/05/2020,21810,22100,21810,22100,226730
05/06/2020,22100,22400,22100,22400,190640
05/07/2020,22480,22610,22320,22540,370940
05/08/2020,22720,23140,22430,22540,853130
05/11/2020,22610,22800,22480,22610,349490
05/12/2020,22610,23170,22430,23060,924900
05/13/2020,23060,23570,22770,23570,1001410
05/14/2020,23280,23650,23280,23540,460710
05/15/2020,23540,23540,22770,23140,678800
05/18/2020,22880,23100,22720,23100,495250
05/19/2020,23200,23390,23060,23170,1133970
05/20/2020,23170,23200,23030,23140,380660
05/21/2020,23140,23430,22990,23430,515860
05/22/2020,23280,23280,22990,22990,408660
05/25/2020,22990,23060,22800,22990,415190
05/26/2020,22990,23940,22990,23940,1489950
05/27/2020,23940,24020,23230,23230,959990
05/28/2020,23430,23460,23140,23170,486440
05/29/2020,23170,23170,22950,23030,477830
06/01/2020,23060,23430,23060,23350,454600
06/02/2020,23430,23570,23230,23310,432350
06/03/2020,23310,23430,23280,23350,517360
06/04/2020,23350,23650,23350,23570,1061670
06/05/2020,23570,23570,23460,23570,578070
06/08/2020,23730,24020,23570,23690,1386640
06/09/2020,23940,23940,23500,23540,585770
06/10/2020,23540,23540,23310,23540,480400
06/11/2020,23540,23570,22480,22480,1435460
06/12/2020,21740,22770,21740,22690,836600
06/15/2020,22690,22720,22290,22290,482990
06/16/2020,22480,22610,22400,22610,340070
06/17/2020,22770,22770,22480,22580,181910
06/18/2020,22400,22770,22400,22770,147730
06/19/2020,22770,23170,22690,23140,224740
06/22/2020,22990,23140,22910,23030,205170
06/23/2020,23140,23200,23030,23100,266000
06/24/2020,23060,23230,22910,23100,261380
06/25/2020,22830,22910,22690,22910,186020
06/26/2020,22910,23170,22690,22990,100190
06/29/2020,22610,22830,22540,22610,353270
06/30/2020,22610,22770,22580,22580,339550
07/01/2020,22580,22800,22580,22720,96080
07/02/2020,22770,22910,22690,22800,123890
07/03/2020,22950,23390,22800,23390,262890
07/06/2020,23540,23790,23500,23540,421670
07/07/2020,23570,23650,23460,23460,191630
07/08/2020,23430,23570,23350,23570,266360
07/09/2020,23570,23690,23500,23650,282380
07/10/2020,23620,23650,23310,23570,258740
07/13/2020,23570,24420,23430,24240,1119760
07/14/2020,24240,24310,24170,24240,392740
07/15/2020,24310,24530,24240,24360,438040
07/16/2020,24310,24380,24200,24380,351370
07/17/2020,24380,24380,24020,24050,337700
07/20/2020,24020,24130,23770,23860,341680
07/21/2020,23900,24240,23860,24050,106380
07/22/2020,24050,24170,23830,23830,132320
07/23/2020,23900,24760,23730,24760,494640
07/24/2020,24680,24710,23430,23940,770310
07/27/2020,23200,23900,23200,23350,1109220
07/28/2020,23500,24090,23310,23790,560060
07/29/2020,23570,23620,23280,23570,853180
07/30/2020,23570,23900,23570,23900,213020
07/31/2020,23570,24050,23570,23900,419900
08/03/2020,23860,24940,23860,24830,723720
08/04/2020,24900,25010,24640,24830,346460
08/05/2020,24570,25120,24570,25120,402790
08/06/2020,24900,25340,24900,25160,322570
08/07/2020,25040,25820,25040,25500,585330
08/10/2020,25710,25850,25450,25450,354460
08/11/2020,25450,25500,25040,25420,507670
08/12/2020,25340,25500,25090,25450,426100
08/13/2020,25710,26300,25560,26010,791750
08/14/2020,25850,26150,25560,26010,708180
08/17/2020,25710,25930,25630,25780,261460
08/18/2020,25680,26230,25680,25970,245240
08/19/2020,26120,26120,25930,26010,310770
08/20/2020,25970,26150,25750,26010,485200
08/21/2020,26120,26340,26010,26230,393140
08/24/2020,26370,26480,26300,26480,503760
08/25/2020,26520,27150,26480,27150,915810
08/26/2020,27180,27230,26820,26850,447620
08/27/2020,26850,27150,26700,27080,389550
08/28/2020,26970,27480,26970,27150,474590
08/31/2020,27150,27400,27100,27180,288150
09/01/2020,25970,27260,25970,27260,309110
09/03/2020,27330,27630,27180,27630,426930
09/04/2020,27260,27560,27100,27480,243410
09/07/2020,27480,27560,26970,26970,287690
09/08/2020,27180,27230,26850,27040,240200
09/09/2020,27040,27480,26930,27370,301000
09/10/2020,27480,28730,27300,28730,1007380
09/11/2020,28730,28810,28140,28500,591820
09/14/2020,28730,29130,28500,28960,288840
09/15/2020,28960,28960,28430,28700,560820
09/16/2020,28700,28840,28580,28730,361000
09/17/2020,28730,29790,28700,29390,827270
09/18/2020,29630,29720,29390,29690,289520
09/21/2020,29690,30310,29550,29760,621040
09/22/2020,29500,29900,29430,29760,435990
09/23/2020,29830,30060,29430,29500,435520
09/24/2020,29500,30020,29240,29760,435870
09/25/2020,29830,29900,29470,29760,226460
09/28/2020,29830,29870,29630,29690,264660
09/29/2020,29720,29790,29430,29430,607330
09/30/2020,29390,29690,29390,29630,457740
10/01/2020,29630,30830,29630,30800,587940
10/02/2020,30800,30940,29470,29580,797440
10/05/2020,30350,30940,30350,30900,371100
10/06/2020,30940,30940,30210,30720,557850
10/07/2020,30350,30690,30240,30460,448650
10/08/2020,30460,30650,30350,30530,382790
10/09/2020,30530,31170,30380,30940,384750
10/12/2020,31230,31390,30570,30720,575670
10/13/2020,30720,30800,30420,30690,223010
10/14/2020,30570,30650,30060,30280,533620
10/15/2020,30210,30830,30210,30800,302230
10/16/2020,30800,30800,30210,30650,540700
10/19/2020,30350,30690,30350,30650,144440
10/20/2020,30650,30870,30500,30650,287510
10/21/2020,30770,31570,30720,30800,988240
10/22/2020,30870,31280,30770,30830,330310
10/23/2020,31170,31170,30830,30940,320340
10/26/2020,30940,31010,30830,30870,451160
10/27/2020,30830,30900,30650,30870,638290
10/28/2020,30870,30940,30770,30770,457560
10/29/2020,30140,30770,30140,30650,471030
10/30/2020,30280,30870,30280,30870,389330
11/02/2020,30460,30870,30460,30610,377590
11/03/2020,30610,31450,30610,31090,256440
11/04/2020,31090,31090,30800,30870,253590
11/05/2020,30650,31310,30650,30800,439280
11/06/2020,30800,30900,30720,30870,239580
11/09/2020,30870,31310,30720,30980,506590
11/10/2020,31310,31420,31170,31170,323620
11/11/2020,31200,31200,30980,31200,244470
11/12/2020,31450,32930,31390,32780,883980
11/13/2020,32630,32820,32420,32780,316800
11/16/2020,32780,32860,32189,32189,325880
11/17/2020,32340,32630,32119,32530,736910
11/18/2020,32530,32930,32189,32340,400660
