Date,Open,High,Low,Close,Volume
05/04/2020,12950,13230,12660,13070,817150
05/05/2020,12510,13870,12510,13660,2055150
05/06/2020,13630,14000,13510,13790,1119940
05/07/2020,13820,13820,13570,13660,437810
05/08/2020,13660,13980,13510,13730,1399890
05/11/2020,14500,14500,13570,14500,1762180
05/12/2020,14570,14660,14190,14530,816530
05/13/2020,14320,14380,13690,14320,706410
05/14/2020,14070,14470,13820,14290,1463400
05/15/2020,14380,14630,14100,14320,2601150
05/18/2020,14070,14500,14000,14320,1742090
05/19/2020,14350,14570,14160,14160,2348930
05/20/2020,14000,14100,13870,13870,396480
05/21/2020,13910,14000,13730,13820,409030
05/22/2020,13870,14220,13440,14160,3062460
05/25/2020,14320,15000,14250,14500,2983070
05/26/2020,14570,14720,14100,14630,3532230
05/27/2020,14630,14660,13690,13690,1309960
05/28/2020,13870,13870,13070,13070,2232320
05/29/2020,12770,13260,12570,13200,1420330
06/01/2020,13260,13480,13200,13300,1314330
06/02/2020,13320,13630,13130,13510,1777710
06/03/2020,13540,13630,13300,13510,1225130
06/04/2020,13540,13910,13440,13760,1823700
06/05/2020,13820,13910,13660,13910,1188990
06/08/2020,14000,14530,14000,14380,3087950
06/09/2020,14320,14380,13870,14100,1873080
06/10/2020,13870,14690,13790,14470,4513940
06/11/2020,14530,14660,13480,13480,2076530
06/12/2020,12530,14070,12530,14070,4408330
06/15/2020,13690,14320,13100,13420,3419050
06/16/2020,13480,13660,13050,13440,1735680
06/17/2020,12880,13260,12880,13070,1409400
06/18/2020,12950,13320,12600,13100,1713490
06/19/2020,13130,13260,12950,13170,1640490
06/22/2020,13320,13420,13010,13350,887840
06/23/2020,13260,14220,13050,14000,8649860
06/24/2020,13730,14160,13660,13980,6323650
06/25/2020,13420,13820,13380,13820,2276640
06/26/2020,13510,13820,13010,13510,3146660
06/29/2020,13070,14250,12570,14250,5063080
06/30/2020,13510,13690,13260,13260,1546040
07/01/2020,12570,13260,12570,12770,1815810
07/02/2020,12850,13010,12770,12790,836510
07/03/2020,12820,13320,12820,13100,1162640
07/06/2020,13100,13200,12980,13100,1034150
07/07/2020,13170,13230,12920,13010,2005510
07/08/2020,13010,13010,12850,12920,1054820
07/09/2020,13100,13360,13020,13300,3503900
07/10/2020,13330,13610,13170,13560,3722560
07/13/2020,13650,14100,13650,13930,4143310
07/14/2020,13970,13970,13560,13650,1783480
07/15/2020,13720,14040,13360,13870,4399680
07/16/2020,13930,14190,13720,14100,7149050
07/17/2020,14040,14160,13870,14100,6244180
07/20/2020,14040,14040,13740,13740,1082330
07/21/2020,14100,14580,13870,14360,13123330
07/22/2020,14160,14510,14070,14190,5485880
07/23/2020,14190,14230,13930,14040,1820260
07/24/2020,13720,13780,13070,13200,8373070
07/27/2020,12340,12560,12310,12310,1601960
07/28/2020,11790,12790,11510,12790,6305520
07/29/2020,12180,12280,11900,12150,5571400
07/30/2020,12180,12310,12050,12180,1522620
07/31/2020,12120,13020,11350,12600,9952340
08/03/2020,12480,12820,12410,12690,1722270
08/04/2020,12790,12980,12730,12790,1935400
08/05/2020,12730,12950,12500,12820,2922930
08/06/2020,12820,12880,12660,12850,1293750
08/07/2020,12880,13070,12790,13020,2701620
08/10/2020,13050,13330,12980,13170,3049920
08/11/2020,13240,13240,12980,13100,1338440
08/12/2020,13140,13300,12850,13100,4365390
08/13/2020,13240,13240,13020,13140,2574480
08/14/2020,13100,13140,12790,13050,3644340
08/17/2020,12950,12980,12600,12790,1871920
08/18/2020,12790,12880,12730,12760,1173650
08/19/2020,12790,12950,12630,12950,3694390
08/20/2020,12950,12950,12660,12790,1271000
08/21/2020,12820,12980,12660,12920,4938640
08/24/2020,12950,13140,12950,13050,2746730
08/25/2020,13070,13490,12790,13420,14623570
08/26/2020,13330,13850,13170,13610,8713210
08/27/2020,13460,13810,13420,13680,9663670
08/28/2020,13650,13720,13420,13650,6630540
08/31/2020,13610,13610,13240,13300,3153790
09/01/2020,13100,13330,13070,13330,2694450
09/03/2020,13460,13560,13330,13390,4330970
09/04/2020,13050,13680,13050,13680,5073270
09/07/2020,13460,13490,13240,13360,2811510
09/08/2020,13360,13360,13100,13330,4852250
09/09/2020,13070,13240,13070,13240,2484550
09/10/2020,13240,13530,13240,13460,4471930
09/11/2020,13490,13610,13390,13460,4102210
09/14/2020,13530,13530,13300,13300,1029310
09/15/2020,13360,13390,13200,13200,1224410
09/16/2020,13240,13270,13140,13140,1253180
09/17/2020,13170,13240,13100,13100,1780490
09/18/2020,13140,13270,13070,13270,4061250
09/21/2020,13330,13390,13170,13330,3414820
09/22/2020,13200,13490,13070,13460,9041600
09/23/2020,13460,13460,13240,13360,2853510
09/24/2020,13200,13300,13140,13200,2869380
09/25/2020,13170,13240,13020,13240,3255030
09/28/2020,13270,13460,13100,13390,6870830
09/29/2020,13970,14070,13560,13740,13046320
09/30/2020,13490,13930,13330,13780,15024070
10/01/2020,13680,13810,13240,13720,9975400
10/02/2020,13460,13810,13050,13810,21924910
10/05/2020,13740,13780,13490,13490,2803010
10/06/2020,13580,13810,13490,13780,12978280
10/07/2020,13560,13740,13530,13560,19829730
10/08/2020,13610,13610,13200,13360,11863940
10/09/2020,13420,13680,13170,13610,16097270
10/12/2020,13780,13780,13360,13360,4123850
10/13/2020,13420,13420,13240,13390,8998620
10/14/2020,13330,13650,13020,13490,22840530
10/15/2020,13530,13680,13300,13420,15567050
10/16/2020,13390,13490,13100,13490,14283420
10/19/2020,13330,13330,13170,13170,7497370
10/20/2020,13390,13530,13050,13360,36953630
10/21/2020,13360,13390,13050,13360,13073280
10/22/2020,13200,13270,13070,13070,7023460
10/23/2020,13100,13200,13070,13100,2962630
