Date,Open,High,Low,Close,Volume
05/04/2020,44230,44300,43450,43840,852260
05/05/2020,43780,44040,43450,43450,1007640
05/06/2020,43780,44040,43260,43970,855770
05/07/2020,44100,45340,44040,45340,1936540
05/08/2020,45540,48270,45410,47810,3865590
05/11/2020,48460,48460,47160,48460,1696160
05/12/2020,48530,49440,48400,49180,2199500
05/13/2020,49180,49760,46840,49180,1851970
05/14/2020,48790,49700,48720,49440,2121750
05/15/2020,49700,49760,49180,49440,1596240
05/18/2020,49630,51390,49310,51070,1002690
05/19/2020,51980,52110,51260,51390,1129270
05/20/2020,51000,51850,51000,51780,710200
05/21/2020,52040,52820,51780,52820,1425500
05/22/2020,52820,52890,52040,52690,805710
05/25/2020,52630,52890,52560,52760,708710
05/26/2020,52690,53730,52690,53670,740930
05/27/2020,53990,54900,53930,53930,817770
05/28/2020,53990,55360,53990,54970,1849310
05/29/2020,55290,55940,54970,55420,1161180
06/01/2020,55620,56400,55620,56270,725310
06/02/2020,56530,56530,56140,56330,1009040
06/03/2020,56590,57180,56530,57180,462750
06/04/2020,57250,57900,57250,57900,450240
06/05/2020,57960,58090,56590,57900,810570
06/08/2020,57900,58680,57510,58160,802240
06/09/2020,58480,58550,58160,58220,417690
06/10/2020,58220,58420,58090,58290,793590
06/11/2020,58220,58290,56590,57250,1163900
06/12/2020,53670,56270,53670,55680,1612920
06/15/2020,55680,55810,53210,53340,1218540
06/16/2020,54640,54640,53600,54450,802980
06/17/2020,55290,55420,54510,54770,737830
06/18/2020,54640,56270,54580,55290,1809780
06/19/2020,55290,55940,55290,55550,723970
06/22/2020,55290,55680,55290,55620,1308600
06/23/2020,55620,56590,55490,55940,917230
06/24/2020,55940,55940,54710,55100,710160
06/25/2020,53800,54900,53800,54450,506650
06/26/2020,54710,55100,53990,54190,355930
06/29/2020,54190,54190,52760,53020,594140
06/30/2020,53670,53670,52040,52240,709990
07/01/2020,52240,53800,52040,53800,404440
07/02/2020,54120,54120,52690,53730,469040
07/03/2020,53670,54190,53470,53990,370340
07/06/2020,53990,54250,53600,53930,1218830
07/07/2020,54640,54770,54190,54250,1336830
07/08/2020,54120,54250,53860,53990,485190
07/09/2020,54580,54580,54190,54380,962170
07/10/2020,54250,54380,53410,53800,918560
07/13/2020,54250,54320,53600,53930,371630
07/14/2020,53930,53990,53470,53990,427110
07/15/2020,54120,54510,54120,54320,1198530
07/16/2020,54510,54580,53930,54320,1091190
07/17/2020,54380,54380,53860,53860,628000
07/20/2020,53670,53800,53150,53470,696830
07/21/2020,53670,53860,53150,53670,681740
07/22/2020,53670,53670,53470,53670,625320
07/23/2020,53670,53860,53410,53670,1350870
07/24/2020,53410,53540,51070,52690,1341540
07/27/2020,49440,52040,49440,50090,1274570
07/28/2020,50090,51260,49760,51070,910690
07/29/2020,49440,50740,48850,50410,833570
07/30/2020,50480,51070,50280,50350,937680
07/31/2020,49440,50350,49440,49700,672940
08/03/2020,49440,51260,49440,51260,422820
08/04/2020,52040,53280,51650,53280,616840
08/05/2020,53280,53990,52300,53800,778840
08/06/2020,53730,54060,53280,53860,802350
08/07/2020,53990,53990,53600,53930,518660
08/10/2020,53990,54120,53280,53280,576570
08/11/2020,53670,53730,53210,53410,312920
08/12/2020,53410,53540,53280,53410,310430
08/13/2020,53930,53990,53340,53990,385320
08/14/2020,53990,54060,53280,53340,820270
08/17/2020,53340,53930,53150,53540,389480
08/18/2020,53540,53730,53150,53540,331690
08/19/2020,53540,53990,53340,53990,586790
08/20/2020,53990,54970,53990,53990,1093620
08/21/2020,53990,54120,53730,53930,1281740
08/24/2020,53990,55030,53990,54580,1530010
08/25/2020,54580,55230,54580,54580,1748400
08/26/2020,54580,54580,54250,54320,1585740
08/27/2020,54320,54580,54120,54320,1003280
08/28/2020,54380,54580,54190,54250,1645430
08/31/2020,54640,54970,53860,53990,971310
09/01/2020,53990,54190,53930,53990,1625600
09/03/2020,54450,56270,54450,56070,2503810
09/04/2020,55290,56010,55160,55230,2425360
09/07/2020,55100,55360,54380,54380,1181750
09/08/2020,54380,54580,53540,53670,1985560
09/09/2020,53340,54120,53020,53470,1472680
09/10/2020,53990,54190,53410,53410,689700
09/11/2020,53410,53730,53210,53540,665690
09/14/2020,53860,54060,53800,53990,594680
09/15/2020,53990,54320,53670,53670,998970
09/16/2020,53730,54060,53340,53930,628030
09/17/2020,53670,53990,53340,53670,1043250
09/18/2020,53600,53990,53600,53930,1188400
09/21/2020,54060,54380,53990,53990,1671360
09/22/2020,53990,54900,53860,54640,1746960
09/23/2020,54770,55620,54770,55550,1395190
09/24/2020,54710,56070,54710,56010,1628730
09/25/2020,56010,56070,55620,55940,1107270
09/28/2020,55810,56070,55550,55940,1254760
09/29/2020,55940,56010,54510,55030,1609090
09/30/2020,55290,55290,54510,54710,584450
10/01/2020,55360,55360,54770,55160,367030
10/02/2020,55160,55290,52040,54640,890840
10/05/2020,54970,55290,54250,54320,811740
10/06/2020,54510,54900,54120,54580,1105060
10/07/2020,54380,55420,54060,55290,988270
10/08/2020,55620,55620,54510,55160,549140
10/09/2020,54970,55290,54970,55160,366200
10/12/2020,55940,56590,55160,55880,1574610
10/13/2020,55940,56530,55620,56270,814530
10/14/2020,56460,57900,56400,57380,1206380
10/15/2020,57380,57640,56460,57640,1424740
10/16/2020,57570,57640,56920,57380,668850
10/19/2020,57250,57440,56920,56920,1052250
10/20/2020,56590,57110,56530,57050,1075780
10/21/2020,57110,57640,55880,56070,1452050
10/22/2020,56010,56330,55360,56330,1320610
10/23/2020,56530,56920,56400,56920,657830
10/26/2020,56920,57110,55940,55940,911390
10/27/2020,55940,56790,55620,55940,1169320
10/28/2020,55940,56270,54320,54770,866330
10/29/2020,54900,55160,54320,54380,764720
10/30/2020,54380,54900,53860,53990,1090610
11/02/2020,53990,55810,53990,55810,366300
11/03/2020,55810,55880,55100,55290,308550
11/04/2020,55290,55620,54840,55290,394660
11/05/2020,55620,55620,55160,55290,507960
11/06/2020,55360,55360,54640,55290,323160
11/09/2020,55290,55810,55160,55620,1007000
11/10/2020,56010,56790,55360,55360,1511520
11/11/2020,55620,56330,55230,55230,1032520
11/12/2020,55750,56270,55680,56200,405350
11/13/2020,56330,56530,56070,56530,417840
11/16/2020,56720,57110,55290,55810,1250340
11/17/2020,55810,56980,55620,56980,548250
11/18/2020,56980,57050,56590,56980,906810
11/19/2020,57050,58680,56850,58680,2584440
11/20/2020,59200,60170,58610,60170,1231960
11/23/2020,59910,60110,59200,59590,648830
11/24/2020,59850,60110,59070,60110,996580
11/25/2020,60170,61280,60040,60820,1088020
11/26/2020,60820,61150,60240,61150,698350
11/27/2020,61150,61470,60630,61470,1210580
11/30/2020,60950,61150,59520,60500,1448340
12/01/2020,59000,60630,59000,59850,1162270
12/02/2020,59850,60820,59520,60820,746710
12/03/2020,60820,61080,60110,60820,736760
12/04/2020,60630,60820,59260,59260,860900
12/07/2020,59460,60690,59460,60560,945460
12/08/2020,60500,61080,59520,60560,702820
12/09/2020,60890,62770,60630,62770,1198160
12/10/2020,62770,63560,62710,63230,1299820
12/11/2020,63230,63290,62380,63230,776190
12/14/2020,63230,64989,62380,64989,931080
12/15/2020,64400,64920,62770,63620,1433260
12/16/2020,64080,64989,63620,64989,740700
12/17/2020,64140,64140,61800,62450,2305960
12/18/2020,62450,64340,62450,64340,1053200
12/21/2020,64860,64930,63810,64860,697030
12/22/2020,64269,64340,63940,64200,748840
12/23/2020,63940,64599,63550,63940,666390
12/24/2020,64200,64200,62960,63810,815730
12/25/2020,63610,64010,63420,64010,314960
12/28/2020,64269,64400,63810,64269,836090
12/29/2020,64269,65450,64140,65060,696510
