Date,Open,High,Low,Close,Volume
05/04/2020,20870,22260,20870,21500,616970
05/05/2020,21530,21890,21350,21460,243940
05/06/2020,21460,22120,21460,21890,645170
05/07/2020,22450,23440,22180,23440,1023070
05/08/2020,24090,24380,23440,23440,762960
05/11/2020,23830,24380,23060,23830,695020
05/12/2020,23870,24780,23360,24310,853830
05/13/2020,24350,24380,23730,23790,880250
05/14/2020,23500,24090,23210,23360,692030
05/15/2020,23360,23870,23320,23540,640680
05/18/2020,23730,23760,23140,23540,483000
05/19/2020,23870,24190,23760,24090,800950
05/20/2020,24090,24930,23980,24890,1028970
05/21/2020,24960,25040,24520,24600,624120
05/22/2020,24670,25180,24560,24670,601750
05/25/2020,24810,25920,24670,25540,1014470
05/26/2020,25540,26020,25510,25720,521170
05/27/2020,25770,25840,24670,24750,923000
05/28/2020,24750,25040,24490,24750,711040
05/29/2020,24670,24810,24450,24520,380570
06/01/2020,24520,24960,24520,24780,515590
06/02/2020,24890,24960,24640,24750,582740
06/03/2020,24750,25470,24670,25100,467220
06/04/2020,25100,25800,25100,25470,790220
06/05/2020,25540,27230,25330,27150,1852290
06/08/2020,27730,29050,27590,29010,1458640
06/09/2020,29750,29750,28680,28870,847390
06/10/2020,28250,28620,27560,27990,1095310
06/11/2020,27660,28180,26420,26420,1312470
06/12/2020,24780,26360,24780,26060,816720
06/15/2020,25920,26020,24780,24780,784760
06/16/2020,25540,26500,25180,26500,448080
06/17/2020,27520,27520,26280,26790,282930
06/18/2020,26420,27300,26060,27270,342060
06/19/2020,27440,28470,27440,27920,749890
06/22/2020,28100,28390,27700,27880,440810
06/23/2020,27730,27730,27150,27590,412990
06/24/2020,27440,27590,26860,26940,263110
06/25/2020,26360,27370,25950,27370,290150
06/26/2020,27660,27730,26650,26830,202670
06/29/2020,26280,26650,25330,25700,570400
06/30/2020,25840,26210,24450,25630,626520
07/01/2020,25540,26500,25180,25920,399580
07/02/2020,26280,26900,25630,26650,332210
07/03/2020,27010,27150,26420,26420,316900
07/06/2020,26500,26860,26280,26650,226990
07/07/2020,26650,26830,26310,26310,338300
07/08/2020,26160,26570,26160,26310,245050
07/09/2020,26450,27960,26450,27960,1444800
07/10/2020,27730,28060,27440,27730,436690
07/13/2020,28030,28030,27440,27520,452430
07/14/2020,27270,28100,27230,27880,761480
07/15/2020,28100,28830,27960,28580,974220
07/16/2020,28680,28680,28100,28180,398420
07/17/2020,28180,28620,28180,28430,409250
07/20/2020,28430,28760,27810,27810,584510
07/21/2020,28030,28100,27370,27590,365410
07/22/2020,27700,27730,27150,27300,382430
07/23/2020,27440,28100,27300,27850,652380
07/24/2020,27730,27850,25920,26090,1150140
07/27/2020,24890,25990,24270,24270,852230
07/28/2020,24310,25950,24310,25840,606570
07/29/2020,24810,25430,24050,25330,655330
07/30/2020,25330,25580,25180,25390,217430
07/31/2020,24490,25430,24490,24890,357430
08/03/2020,24810,25540,24750,25040,406190
08/04/2020,25180,26060,25100,25950,715660
08/05/2020,26060,26570,25990,26090,298380
08/06/2020,25920,26420,25700,26090,382090
08/07/2020,26210,26900,26130,26790,701010
08/10/2020,27010,27230,26790,26940,497720
08/11/2020,26830,26980,26570,26940,253740
08/12/2020,26860,26940,26570,26710,421590
08/13/2020,26710,27270,26710,27190,420890
08/14/2020,27190,27270,26710,26860,581920
08/17/2020,26570,26900,26450,26830,223770
08/18/2020,26650,27230,26650,27010,432890
08/19/2020,27150,27440,27010,27230,242370
08/20/2020,27230,27370,26980,27230,385200
08/21/2020,27410,28250,27340,28250,1503450
08/24/2020,28470,28470,28140,28180,502600
08/25/2020,28390,28870,28320,28500,815400
08/26/2020,28470,28760,28180,28390,681320
08/27/2020,28390,28760,28390,28640,275210
08/28/2020,28680,29160,28180,28250,611180
08/31/2020,28250,28320,27730,27810,649980
09/01/2020,27770,28350,27660,28250,330470
09/03/2020,28470,28760,28390,28540,995720
09/04/2020,28140,29850,28140,29750,1586460
09/07/2020,29920,31100,29780,29920,1065380
09/08/2020,29920,30280,29560,30140,430700
09/09/2020,29850,30070,29560,30070,494250
09/10/2020,30360,30520,29700,29700,587880
09/11/2020,29560,30070,29310,29990,751890
09/14/2020,30190,30730,29960,30550,732620
09/15/2020,30550,30810,30360,30440,651890
09/16/2020,30220,30440,30190,30250,307390
09/17/2020,30250,30440,29780,30110,410130
09/18/2020,29820,30980,29820,30880,816310
09/21/2020,30950,31210,30840,30950,730820
09/22/2020,30880,31540,30330,31350,702100
09/23/2020,31390,31680,31240,31390,611660
09/24/2020,31390,31600,30910,31240,873350
09/25/2020,31970,32369,31540,31860,1188740
09/28/2020,32220,32220,31890,31970,485060
09/29/2020,31970,32330,31970,31970,497080
09/30/2020,32009,32159,31390,31970,503990
10/01/2020,32159,32479,32040,32119,563390
10/02/2020,32119,32409,31540,31930,398110
10/05/2020,31930,32330,31930,32220,282770
10/06/2020,32330,33290,32330,32950,649350
10/07/2020,32700,33320,32619,32880,477370
10/08/2020,32920,33230,32159,32689,339100
10/09/2020,32530,32610,31740,31780,543750
10/12/2020,31780,32159,31310,31850,590930
10/13/2020,32000,32390,31620,32390,385250
10/14/2020,32530,32659,32470,32470,281120
10/15/2020,32229,32530,31930,32530,364100
10/16/2020,32689,33080,32310,33080,565900
10/19/2020,33150,33150,32770,32840,503420
10/20/2020,32310,32810,32080,32610,256090
10/21/2020,32229,32610,31660,32000,705230
10/22/2020,31930,31930,30560,30780,964220
10/23/2020,30620,31780,30620,31700,612590
10/26/2020,31700,32689,31580,32130,362830
10/27/2020,31930,32130,31620,31880,262300
10/28/2020,31310,31850,31160,31400,374160
10/29/2020,31310,31400,30780,31240,372560
10/30/2020,31700,31700,31210,31240,202710
11/02/2020,31310,31880,31240,31700,109580
11/03/2020,31700,32040,31580,31930,217940
11/04/2020,32189,32530,32000,32530,240330
11/05/2020,32770,32770,32530,32659,344520
11/06/2020,32659,32659,32040,32159,162350
11/09/2020,32689,33610,32390,33610,1328890
11/10/2020,33990,34210,33230,33300,453300
11/11/2020,33460,33830,33260,33460,351320
11/12/2020,33460,34720,33260,34720,1249450
11/13/2020,34720,35210,34480,34760,669030
11/16/2020,34760,34940,33920,33990,574310
11/17/2020,34300,34640,33990,34600,309530
11/18/2020,34900,34900,33610,34480,305660
11/19/2020,34830,35130,33950,35130,869850
11/20/2020,35130,35130,34560,34560,271010
11/23/2020,34560,34680,34210,34340,732490
11/24/2020,34370,35900,34370,34830,1104890
11/25/2020,35060,35060,34640,34640,510290
11/26/2020,34640,34640,34300,34410,625600
11/27/2020,34450,34830,34340,34410,829660
11/30/2020,34450,34450,33230,33770,732820
12/01/2020,33610,34410,33610,33950,635380
12/02/2020,34140,34370,33610,33950,977630
12/03/2020,34260,34260,33610,33950,821760
12/04/2020,33990,34560,33530,33610,955990
12/07/2020,33610,34070,33610,33830,377790
12/08/2020,33830,34210,33830,34070,595410
12/09/2020,34300,35130,34110,34790,1771550
12/10/2020,34900,35210,34520,34520,738680
12/11/2020,34680,34680,34260,34480,643110
12/14/2020,34520,35060,34370,34450,1428280
12/15/2020,34520,36200,34370,35330,2083900
12/16/2020,35670,35750,35060,35210,1095240
12/17/2020,34520,34900,33460,33650,3628260
12/18/2020,33650,33920,31850,32420,2772350
12/21/2020,32420,32470,31010,31540,2215760
12/22/2020,31240,32390,31010,31510,1248970
12/23/2020,31930,32470,31580,31780,1573820
12/24/2020,32000,32229,30870,31310,1159320
12/25/2020,31240,32080,31050,32040,1073050
12/28/2020,32130,32159,31470,31540,1697030
12/29/2020,31540,31700,30970,31050,2386940
12/30/2020,31160,31470,30970,30970,1327260
12/31/2020,31240,32040,31010,31620,1336680
01/04/2021,32080,32270,31820,32080,1936900
01/05/2021,31780,32270,31780,32040,1172300
01/06/2021,32040,32130,31310,31400,3356600
01/07/2021,31470,32080,31010,31780,1664800
01/08/2021,31930,32420,31780,31930,1428500
01/11/2021,32080,33230,31660,33080,2692000
01/12/2021,33150,33570,32470,33300,1666000
01/13/2021,33300,33420,32840,32880,1598000
01/14/2021,32840,32880,32229,32420,1597700
01/15/2021,32509,32840,32080,32159,1737700
01/18/2021,32470,33150,32229,33110,2054600
01/19/2021,33230,34070,30820,32080,2415600
01/20/2021,32229,32470,30560,31620,1183200
01/21/2021,31620,32000,31160,31700,1411200
01/22/2021,31700,32770,31310,31850,2410100
01/25/2021,31850,33080,31700,32470,2185700
01/26/2021,32470,32509,31350,31470,1034200
01/27/2021,31510,32270,30930,31090,1288600
01/28/2021,29100,29790,28950,28950,1719600
01/29/2021,26970,30020,26970,29020,1215100
02/01/2021,29020,29260,27000,27030,1374600
02/02/2021,27500,27500,26460,26970,1174100
02/03/2021,27500,28830,27340,28410,1142600
02/04/2021,28640,28880,28230,28260,723100
02/05/2021,28260,28640,28190,28340,661600
02/08/2021,28340,28410,26390,27620,1030900
02/09/2021,27620,28190,27380,27990,620500
02/17/2021,28260,29410,28260,29330,828400
02/18/2021,29630,30670,29260,30180,1065400
02/19/2021,29940,31280,29790,30780,846700
02/22/2021,30740,30870,30090,30210,1023000
02/23/2021,29940,30180,29710,29790,880200
02/24/2021,29790,30560,29630,30520,1006100
02/25/2021,30780,31310,29870,30480,872400
02/26/2021,29830,30560,29830,30400,540300
03/01/2021,30560,30890,29790,30670,1357000
03/02/2021,31010,31470,30620,31210,1549600
03/03/2021,31470,32080,31240,32080,2105600
03/04/2021,32080,33300,31780,32000,2492300
03/05/2021,31930,33000,31780,32610,2153100
03/08/2021,33230,33300,32470,32659,1094300
03/09/2021,32470,32659,31930,32080,1431500
03/10/2021,32080,32530,31850,32509,1336800
03/11/2021,32840,32840,32509,32610,1116800
03/12/2021,32610,32770,32080,32350,949800
03/15/2021,32509,32840,32000,32350,1079500
03/16/2021,32420,32689,32080,32270,652900
03/17/2021,32509,32530,32229,32390,753600
03/18/2021,32810,32840,32080,32390,969200
03/19/2021,32390,32390,32000,32000,743100
03/22/2021,32080,32080,31540,31660,928600
03/23/2021,31580,31580,30620,30890,1651800
03/24/2021,30560,30780,29020,29710,1534500
03/25/2021,29710,30250,29330,29450,1129300
03/26/2021,29330,30020,29020,29790,806900
03/29/2021,29940,30250,29560,30090,482800
03/30/2021,29940,30050,29670,29790,750000
03/31/2021,29600,29870,29490,29630,713800
04/01/2021,29630,30180,29630,30180,488400
04/02/2021,30620,30620,29870,29900,743800
04/05/2021,30560,30560,29900,30180,836700
04/06/2021,30180,30250,29940,30020,655900
04/07/2021,30020,30020,29830,29870,639900
04/08/2021,30090,30180,29830,30050,606200
04/09/2021,30140,30140,29790,29900,745800
04/12/2021,29900,29940,29360,29490,2159000
04/13/2021,29630,29750,29290,29330,824800
04/14/2021,29330,29490,29100,29180,1022200
04/15/2021,29180,29410,28340,28490,1301200
04/16/2021,28570,28570,27420,27570,1423700
04/19/2021,27570,28260,27570,27990,602400
04/20/2021,28100,28610,27880,28030,742100
04/22/2021,28260,28260,27420,27420,766900
04/23/2021,27270,28190,26890,28030,637500
04/26/2021,28260,28260,27500,27660,431600
04/27/2021,27660,27720,27340,27500,300600
04/28/2021,27500,28190,27460,28190,623200
04/29/2021,28190,28230,27920,28190,519300
05/04/2021,27570,27720,27120,27570,473500
05/05/2021,27660,27880,27620,27660,563000
05/06/2021,27660,28100,27380,27990,840600
05/07/2021,27880,27960,27460,27570,725700
05/10/2021,27500,27500,27120,27310,747400
05/11/2021,27340,28410,27310,27810,926300
05/12/2021,27880,29260,27880,29180,1417400
05/13/2021,29180,29180,28790,28880,584800
05/14/2021,29020,29070,28410,28490,597200
05/17/2021,28490,29180,28100,29020,1000500
05/18/2021,29020,29180,28880,28980,696600
05/19/2021,28980,29140,28880,28950,459200
05/20/2021,29020,29020,28640,28880,770400
05/21/2021,28950,30560,28950,30180,2082200
05/24/2021,30560,30780,30020,30090,923100
05/25/2021,30090,30560,30090,30320,753200
05/26/2021,29870,30250,29870,30050,823900
05/27/2021,30090,30930,29900,30400,1791500
05/28/2021,30710,30870,30250,30710,1516700
05/31/2021,31010,31050,30180,30560,1257000
06/01/2021,30400,30560,30250,30320,840400
06/02/2021,30180,30180,29560,29750,1521100
06/03/2021,29940,30930,29630,30820,2023700
06/04/2021,31160,31740,31130,31580,2099900
06/07/2021,31700,32470,31700,32189,1919600
06/08/2021,31780,32270,30930,30930,1430100
06/09/2021,31930,31930,30930,31620,1363600
06/10/2021,31620,33800,31540,33800,5221700
06/11/2021,34520,34720,33460,33770,3294400
06/14/2021,33920,34450,33460,34070,2340600
06/15/2021,34070,35370,34070,34760,3016900
06/16/2021,34760,35370,34370,34680,1757300
06/17/2021,34680,36670,34210,36290,3429200
06/18/2021,36290,36630,35750,35980,1790600
