Date,Open,High,Low,Close,Volume
05/04/2020,4830,4830,4760,4760,350874
05/05/2020,4760,4790,4720,4760,207333
05/06/2020,4760,4860,4760,4790,527580
05/07/2020,4760,4860,4760,4830,339828
05/08/2020,4830,5030,4830,4930,1165615
05/11/2020,4930,5090,4890,5090,1287559
05/12/2020,5090,5120,5000,5120,980524
05/13/2020,5050,5160,4350,5090,619390
05/14/2020,5090,5090,5030,5050,822910
05/15/2020,5050,5090,4970,5000,572365
05/18/2020,5000,5750,4300,5030,501442
05/19/2020,5050,5160,5050,5090,1086727
05/20/2020,5090,5090,5030,5030,783043
05/21/2020,5050,5750,4330,5120,887025
05/22/2020,5120,5330,5090,5190,1648500
05/25/2020,5270,5380,4430,5330,1546574
05/26/2020,5330,6070,4790,5460,949626
05/27/2020,5460,5530,5370,5380,2058493
05/28/2020,5380,5420,5330,5380,912036
05/29/2020,5380,5460,5370,5420,654976
06/01/2020,5420,5710,4640,5630,2093625
06/02/2020,5630,5720,5560,5660,992502
06/03/2020,5660,5890,5660,5890,2254645
06/04/2020,5860,6000,5860,5890,1346102
06/05/2020,5890,5930,5790,5860,1715045
06/08/2020,5860,6000,5820,5960,1170012
06/09/2020,5930,6000,5860,6000,1939347
06/10/2020,5960,5960,5820,5930,1027828
06/11/2020,5890,6000,5600,5660,2450732
06/12/2020,5490,5820,5490,5750,1346718
06/15/2020,5750,5790,5560,5630,894516
06/16/2020,5660,6480,5630,5720,910998
06/17/2020,5750,5750,5660,5710,508649
06/18/2020,5710,5750,5660,5750,216642
06/19/2020,5710,5860,5710,5820,379358
06/22/2020,5860,5860,5790,5820,452918
06/23/2020,5820,5860,5650,5820,497628
06/24/2020,5820,5930,5790,5860,613284
06/25/2020,5720,5930,5720,5930,795653
06/26/2020,5930,5930,5820,5860,444060
06/29/2020,5860,5860,5720,5790,695034
06/30/2020,5820,5890,5720,5790,505813
07/01/2020,5820,5890,5790,5890,504327
07/02/2020,5890,5930,5820,5890,1319895
07/03/2020,5930,5930,5890,5890,440727
07/06/2020,5890,5930,5820,5890,725536
07/07/2020,5930,5960,5890,5930,700953
07/08/2020,5930,6230,5890,6120,1859618
07/09/2020,6120,6330,5160,6260,1546175
07/10/2020,6260,6260,6090,6150,1130622
07/13/2020,6150,6260,6090,6120,609791
07/14/2020,6120,7070,5270,6120,366626
07/15/2020,6150,6400,6120,6330,2018401
07/16/2020,6330,6560,6330,6480,1977932
07/17/2020,6530,7460,6430,6530,960045
07/20/2020,6530,6630,5530,6590,1786914
07/21/2020,6560,6730,6560,6730,1561773
07/22/2020,6780,6920,6730,6820,1767643
07/23/2020,6820,7850,6660,6770,1273565
07/24/2020,6770,7650,6290,6430,3268484
07/27/2020,6330,6330,5820,5890,3379143
07/28/2020,5930,6260,5890,6190,1486515
07/29/2020,6190,6190,5660,5820,1347306
07/30/2020,5820,6000,5820,5890,1069882
07/31/2020,5820,6090,5750,6000,955484
08/03/2020,6040,6290,5330,6290,1716060
08/04/2020,6290,6450,5660,6330,1205530
08/05/2020,6330,6430,6290,6370,772175
08/06/2020,6660,7320,6370,6480,1657359
08/07/2020,6660,6660,6430,6450,700448
08/10/2020,6450,6660,6450,6560,1232135
08/11/2020,6590,6770,6560,6730,1816914
08/12/2020,6730,6960,6730,6890,2908268
08/13/2020,6860,7030,6860,6920,1569494
08/14/2020,6920,6920,6770,6770,1288597
08/17/2020,6820,6890,6730,6860,480014
08/18/2020,6860,7070,6780,6960,1520983
08/19/2020,6960,7030,6920,6960,930177
08/20/2020,6960,7100,6920,6960,1394638
08/21/2020,6960,7100,6960,7070,927842
08/24/2020,7030,7150,7030,7110,1997809
08/25/2020,7190,7360,7150,7260,4105763
08/26/2020,7260,7550,7260,7400,1749787
08/27/2020,7400,7520,7400,7520,1062067
08/28/2020,7550,7550,7460,7520,1382505
08/31/2020,7520,7590,7260,7320,2777800
09/01/2020,7320,7400,7260,7360,572944
09/03/2020,7400,7730,7400,7630,1877480
09/04/2020,7650,7650,7430,7550,1152863
09/07/2020,7550,7630,7460,7460,1154881
09/08/2020,7460,7520,7400,7480,711262
09/09/2020,7360,7460,7320,7460,880072
09/10/2020,7480,7520,7430,7460,511931
09/11/2020,7460,7480,7430,7480,303811
09/14/2020,7480,7550,7480,7550,592291
09/15/2020,7520,7920,7520,7810,1962694
09/16/2020,7890,7960,7760,7810,586193
09/17/2020,7810,7890,7800,7810,713588
09/18/2020,7810,8330,7810,8330,2411775
09/21/2020,8330,8580,8290,8360,1260312
09/22/2020,8390,8430,8250,8360,648599
09/23/2020,8360,8700,8360,8580,2685712
09/24/2020,8550,8660,8490,8580,1733246
09/25/2020,8520,8830,8520,8830,1326769
09/28/2020,8830,9090,8830,9090,1345184
09/29/2020,9160,9320,9060,9210,2287410
09/30/2020,9190,9290,9060,9210,846611
10/01/2020,9210,9650,9210,9650,2157149
10/02/2020,9650,9920,9460,9790,3403611
10/05/2020,9730,10160,9730,10130,9261755
10/06/2020,10160,11260,10130,11230,4105332
10/07/2020,10980,11320,10820,11160,5216785
10/08/2020,11160,11190,9890,10980,3414269
10/09/2020,10980,11090,10900,10980,1151915
10/12/2020,10980,11160,10820,10900,2466531
10/13/2020,10860,10900,10460,10620,2046090
10/14/2020,10620,10620,10130,10520,2081025
10/15/2020,10490,10680,10320,10680,574261
10/16/2020,10650,11260,10650,11050,1800897
10/19/2020,11160,11340,11120,11260,878039
10/20/2020,11190,11490,10920,11190,691169
10/21/2020,11230,11230,10980,11190,1099607
10/22/2020,11190,11190,11010,11090,349886
10/23/2020,11190,11260,11050,11190,1470198
10/26/2020,11190,11230,10900,11090,1199940
10/27/2020,11090,11090,10860,10950,969133
10/28/2020,10760,10950,10590,10900,1639048
10/29/2020,10680,11120,10590,10950,945188
11/10/2020,11340,11390,10950,10950,1745460
11/11/2020,11010,11030,10920,10920,834380
11/12/2020,10900,11010,10900,10970,908760
11/13/2020,11010,11010,10940,11000,1097190
11/16/2020,11010,11030,10910,10970,866930
11/17/2020,10970,11010,10950,10980,1185510
11/18/2020,10900,11000,10900,11000,963360
11/19/2020,11510,11510,11270,11340,1224460
11/20/2020,11380,11380,11270,11300,422520
11/23/2020,11300,11300,11020,11200,493780
11/24/2020,11200,11230,11020,11200,601450
11/25/2020,11200,11230,11150,11230,497760
11/26/2020,11200,11230,11090,11230,518170
11/27/2020,11200,11230,11160,11230,356110
11/30/2020,11230,11230,11060,11060,313150
12/01/2020,10910,11830,10910,11830,3254230
12/02/2020,12060,12650,12020,12650,1697450
12/03/2020,13340,13530,13000,13000,1280960
12/04/2020,12830,13240,12450,13070,1539490
12/07/2020,13070,13140,12790,12870,734790
12/08/2020,12870,13370,12800,13070,897840
12/09/2020,13140,13170,12910,12910,821210
12/10/2020,12910,13000,12650,12700,789190
12/11/2020,12700,13030,12590,12870,968860
12/14/2020,12870,13000,12760,12760,778310
12/15/2020,12740,13140,12700,12800,720170
12/16/2020,12800,13030,12790,13000,794690
12/17/2020,13030,13430,12830,13140,2055240
12/18/2020,13240,13380,13090,13310,585030
12/21/2020,13310,13630,13310,13530,639870
12/22/2020,13430,13530,13290,13410,678900
12/23/2020,13370,13410,13130,13130,845870
12/24/2020,13130,13240,12740,12870,789260
12/25/2020,12830,13190,12790,13140,446980
12/28/2020,13310,13380,13010,13130,871930
12/29/2020,13130,13190,13070,13190,360210
12/30/2020,13310,13430,13190,13240,860320
12/31/2020,13140,13270,13000,13000,1390750
01/04/2021,13170,13310,13100,13240,946800
01/05/2021,13240,14150,13240,14150,2145100
01/06/2021,14430,14730,14150,14160,711000
01/07/2021,14150,14150,13870,14040,1036700
01/08/2021,14040,14230,13930,13930,1291700
01/11/2021,14040,14040,13790,13810,1011300
01/12/2021,13680,13990,13680,13810,605200
01/13/2021,13990,14110,13890,13920,1052400
01/14/2021,13930,14230,13930,14110,818400
01/15/2021,14230,14410,14230,14300,824200
01/18/2021,14270,14360,14150,14150,661800
01/19/2021,14040,14150,13170,13240,1032900
01/20/2021,13240,13430,12330,13210,850500
01/21/2021,13430,13680,13240,13680,606100
01/22/2021,13750,13750,13630,13690,646900
01/25/2021,13710,13710,13550,13690,411700
01/26/2021,13690,13690,13240,13270,500000
01/27/2021,13240,13590,13140,13410,842600
01/28/2021,12510,13240,12490,12490,1079800
01/29/2021,11700,12830,11700,12670,457900
02/01/2021,12830,12830,12310,12450,284300
02/02/2021,12420,12830,12420,12800,387700
02/03/2021,13030,13590,12830,13590,541300
02/04/2021,13630,13630,13350,13550,314600
02/05/2021,13590,14230,13550,14190,1534500
02/08/2021,14230,14600,13680,13960,1354400
02/09/2021,13790,14430,13790,14430,1091900
02/17/2021,14430,15150,14390,15130,1141900
02/18/2021,15110,15110,14750,15020,787100
02/19/2021,14750,15230,14750,15080,531800
02/22/2021,15150,15190,15000,15110,1128900
02/23/2021,15040,15190,14060,14910,1401200
02/24/2021,14940,15180,14940,15000,903200
02/25/2021,15000,15430,15000,15420,975600
02/26/2021,15230,15960,15230,15910,1099700
03/01/2021,16440,17020,16400,17020,991400
03/02/2021,17850,17880,17080,17490,1116000
03/03/2021,17270,17400,17260,17320,687500
03/04/2021,17320,17330,16720,16830,1035500
03/05/2021,16830,17450,16360,17360,509000
03/08/2021,17600,17600,17230,17300,486000
03/09/2021,17230,17360,17130,17230,321700
03/10/2021,17170,17260,17160,17210,319900
03/11/2021,17550,17550,17320,17330,338700
03/12/2021,17380,17640,17380,17420,445400
03/15/2021,17600,17640,17490,17510,496100
03/16/2021,17600,17640,17400,17450,323100
03/17/2021,17450,18630,17450,18440,1321300
03/18/2021,18440,18630,18080,18340,547600
03/19/2021,18340,18360,18280,18320,657700
03/22/2021,18440,18490,18080,18100,712000
03/23/2021,18100,18130,17230,17850,609600
03/24/2021,17670,17850,17490,17550,743900
03/25/2021,17550,17600,17230,17270,949400
03/26/2021,17270,17550,16830,17330,629900
03/29/2021,17360,17610,17330,17610,249800
03/30/2021,17640,18630,17640,18590,1177200
03/31/2021,18810,19760,18810,19410,1462600
04/01/2021,19620,20040,19410,19990,992400
04/02/2021,19990,20530,19850,20330,641300
04/05/2021,21450,21450,20450,21360,1321700
04/06/2021,21300,22250,21300,21490,892000
04/07/2021,21490,21490,21210,21360,621500
04/08/2021,21360,21360,20040,20530,1307400
04/09/2021,20330,20360,20020,20330,1408300
04/12/2021,20330,21300,20330,21250,436400
04/13/2021,21250,21360,20770,20850,659400
04/14/2021,20670,21170,20450,20970,746000
04/15/2021,21010,21250,20620,20810,708300
04/16/2021,20770,20810,20250,20450,367600
04/19/2021,20450,20890,20450,20850,565800
04/20/2021,21040,21890,21040,21650,1844000
04/22/2021,21650,21850,21360,21360,751500
04/23/2021,21250,21360,20640,21360,934600
04/26/2021,21450,21810,21170,21570,994200
04/27/2021,21570,21610,20890,21360,654900
04/28/2021,21360,22050,21250,21980,1008500
04/29/2021,22010,22330,22010,22290,1907900
05/04/2021,21570,22290,21300,22210,614200
05/05/2021,22440,22440,21760,22050,1127000
05/06/2021,22050,23570,22050,23450,2135700
05/07/2021,23450,23650,22970,23530,487500
05/10/2021,23410,23840,23410,23650,731100
05/11/2021,24060,24850,23840,24570,1352500
05/12/2021,24520,25050,24420,24700,1042400
05/13/2021,24520,24820,24520,24520,1129600
05/14/2021,24520,25050,24250,24980,1461700
05/17/2021,24700,24980,24370,24460,1108700
05/18/2021,24300,24300,23100,23490,2193900
05/19/2021,24060,24460,23380,24250,1798100
05/20/2021,24300,24850,24300,24780,1435100
05/21/2021,24820,24850,24460,24570,1202400
05/24/2021,24570,24780,24370,24460,1111800
05/25/2021,24460,24460,24250,24460,859100
05/26/2021,24570,25420,24570,25250,1605000
05/27/2021,26070,26070,25460,25570,1727700
05/28/2021,25660,25860,25460,25780,798200
