Date,Open,High,Low,Close,Volume
05/04/2020,2570,2570,2540,2540,462800
05/05/2020,2540,2550,2520,2530,259120
05/06/2020,2530,2570,2520,2570,418620
05/07/2020,2570,2610,2550,2600,775900
05/08/2020,2620,2690,2620,2630,1099470
05/11/2020,2790,2790,2690,2790,1691260
05/12/2020,2810,2930,2790,2890,2214440
05/13/2020,2830,2890,2790,2850,997180
05/14/2020,2790,2930,2760,2890,1533990
05/15/2020,2910,2910,2810,2820,998670
05/18/2020,2810,2850,2790,2830,613630
05/19/2020,2920,2930,2860,2880,941120
05/20/2020,2850,2880,2820,2880,366980
05/21/2020,2880,2880,2850,2860,285510
05/22/2020,2860,3000,2850,2930,1275900
05/25/2020,2930,3000,2930,2990,901770
05/26/2020,3000,3120,3000,3110,918430
05/27/2020,3170,3180,3010,3010,875430
05/28/2020,3010,3050,2960,3010,640500
05/29/2020,2950,3040,2940,3010,698280
06/01/2020,3040,3070,3020,3070,563870
06/02/2020,3110,3110,3010,3050,707380
06/03/2020,3070,3070,3020,3060,299560
06/04/2020,3110,3250,3110,3210,1762950
06/05/2020,3190,3270,3170,3250,553840
06/08/2020,3330,3350,3270,3310,1140330
06/09/2020,3280,3310,3210,3220,1098390
06/10/2020,3240,3270,3140,3250,1226160
06/11/2020,3250,3260,3050,3070,1294510
06/12/2020,2930,3050,2930,3050,864890
06/15/2020,3070,3070,2830,2880,900520
06/16/2020,2890,3080,2890,3080,828960
06/17/2020,3070,3110,3040,3080,349160
06/18/2020,3000,3080,3000,3050,291580
06/19/2020,3050,3120,3050,3120,471300
06/22/2020,3140,3140,3080,3120,276600
06/23/2020,3170,3300,3150,3260,1651840
06/24/2020,3260,3310,3190,3200,709590
06/25/2020,3130,3210,3090,3210,318100
06/26/2020,3210,3300,3140,3220,448840
06/29/2020,3140,3180,3040,3110,666910
06/30/2020,3120,3140,2990,3110,629280
07/01/2020,3120,3150,3050,3120,419100
07/02/2020,3080,3120,3060,3080,189460
07/03/2020,3090,3090,3050,3070,268380
07/06/2020,3070,3140,3060,3120,318760
07/07/2020,3120,3170,3070,3110,422370
07/08/2020,3070,3110,3060,3090,364340
07/09/2020,3090,3140,3090,3140,399830
07/10/2020,3140,3180,3110,3110,421530
07/13/2020,3110,3140,3110,3140,262870
07/14/2020,3140,3190,3120,3190,502170
07/15/2020,3190,3220,3150,3170,265590
07/16/2020,3170,3190,3120,3140,260060
07/17/2020,3130,3150,3120,3130,352990
07/20/2020,3180,3180,3120,3120,417590
07/21/2020,3140,3140,3090,3110,405240
07/22/2020,3120,3130,3040,3070,422740
07/23/2020,3080,3080,2970,3080,433550
07/24/2020,3080,3080,2870,2950,819470
07/27/2020,2750,2820,2750,2750,1469170
07/28/2020,2720,2870,2720,2860,736100
07/29/2020,2770,2820,2660,2790,997930
07/30/2020,2770,2820,2770,2810,356500
07/31/2020,2680,2770,2660,2750,445280
08/03/2020,2700,2810,2700,2790,693140
08/04/2020,2820,2850,2790,2820,980220
08/05/2020,2810,2880,2800,2850,403550
08/06/2020,2820,2860,2800,2810,486460
08/07/2020,2810,2820,2790,2810,418890
08/10/2020,2810,2860,2810,2820,521100
08/11/2020,2820,2870,2820,2860,500210
08/12/2020,2860,2880,2840,2870,331820
08/13/2020,2870,2900,2860,2880,804080
08/14/2020,2880,2900,2820,2850,477820
08/17/2020,2850,2850,2810,2850,317530
08/18/2020,2840,2850,2800,2800,713530
08/19/2020,2800,2850,2790,2850,337170
08/20/2020,2820,2850,2800,2820,300950
08/21/2020,2820,2860,2810,2850,548280
08/24/2020,2860,2930,2860,2910,938740
08/25/2020,2920,2950,2910,2910,918510
08/26/2020,2920,2930,2900,2930,613280
08/27/2020,2920,2950,2910,2930,577010
08/28/2020,2960,3040,2950,2980,1251080
08/31/2020,2980,3020,2950,2960,399230
09/01/2020,2960,3000,2950,2980,272710
09/03/2020,3010,3020,2970,2980,393090
09/04/2020,2930,3060,2880,3010,896660
09/07/2020,3020,3090,2970,2980,963940
09/08/2020,3010,3030,2970,3030,372930
09/09/2020,3010,3060,2970,3030,570750
09/10/2020,3060,3080,3040,3060,566500
09/11/2020,3060,3070,3030,3070,365890
09/14/2020,3080,3120,3080,3110,471780
09/15/2020,3110,3130,3090,3130,901320
09/16/2020,3110,3130,3110,3110,1179800
09/17/2020,3110,3120,3080,3110,557070
09/18/2020,3110,3220,3110,3180,2251700
09/21/2020,3240,3270,3190,3220,1970920
09/22/2020,3190,3290,3180,3270,2042820
09/23/2020,3310,3360,3280,3310,2297410
09/24/2020,3290,3330,3270,3300,1981430
09/25/2020,3340,3340,3270,3290,2722580
09/28/2020,3340,3400,3290,3380,2693560
09/29/2020,3390,3400,3300,3310,2814600
09/30/2020,3310,3310,3280,3310,1686350
10/01/2020,3340,3540,3340,3500,3568650
10/02/2020,3500,3510,3360,3500,1899860
10/05/2020,3510,3730,3510,3730,2012050
10/06/2020,3770,3900,3730,3780,2056770
10/07/2020,3760,3780,3720,3770,1300100
10/08/2020,3770,3780,3720,3770,1208280
10/09/2020,3780,3930,3770,3920,1651430
