Date,Open,High,Low,Close,Volume
05/04/2020,14310,14430,13920,13920,11180
05/05/2020,13920,14430,13920,14080,26850
05/06/2020,14360,14410,14000,14000,8800
05/07/2020,14040,14950,14000,14200,301830
05/08/2020,14310,14480,14200,14200,13450
05/11/2020,14310,14950,14200,14310,9950
05/12/2020,14280,14910,14280,14410,148120
05/13/2020,14480,14480,14360,14410,7170
05/14/2020,14480,14560,14120,14120,6130
05/15/2020,14310,14310,14120,14120,9090
05/18/2020,14710,14710,14160,14160,9300
05/19/2020,14240,14310,14080,14080,5250
05/20/2020,14310,14520,14160,14160,9590
05/21/2020,14430,14520,14200,14200,5840
05/22/2020,14310,14360,14200,14200,5670
05/25/2020,14430,14950,14240,14950,13380
05/26/2020,15120,15120,14360,14360,26760
05/27/2020,14710,14710,13960,13960,14910
05/28/2020,14310,14310,14040,14040,27860
05/29/2020,14410,14410,14080,14080,15180
06/01/2020,14000,14280,13920,14000,56200
06/02/2020,14280,14280,14000,14000,8910
06/03/2020,14000,14000,13920,14000,16860
06/04/2020,14040,14040,14000,14000,12710
06/05/2020,14040,14160,13520,14000,38020
06/08/2020,13560,14310,13560,14000,23600
06/09/2020,14080,14080,14000,14080,15790
06/10/2020,13840,14280,13840,13920,10920
06/11/2020,14000,14200,14000,14000,28010
06/12/2020,13560,14000,13520,14000,3720
06/15/2020,14000,14000,13760,13920,12010
06/16/2020,13760,14000,13760,13920,1060
06/17/2020,13920,13920,13920,13920,50
06/18/2020,13920,13960,13650,13960,240
06/19/2020,14000,14040,14000,14040,4700
06/22/2020,14040,14040,14040,14040,2100
06/23/2020,13920,13920,13840,13920,9400
06/24/2020,13840,13840,13840,13840,500
06/25/2020,13760,13960,13760,13800,770
06/26/2020,13760,13840,13760,13760,15200
06/29/2020,13800,13840,13800,13840,4800
06/30/2020,13920,14710,13920,14000,5030
07/01/2020,14160,14160,13840,13840,13210
07/02/2020,13840,13920,13840,13920,10110
07/03/2020,13920,14000,13670,14000,17010
07/06/2020,14000,14000,13670,13670,7200
07/07/2020,13670,13670,13600,13670,31060
07/08/2020,13670,13720,13670,13720,28880
07/09/2020,13720,13760,13720,13760,26050
07/10/2020,13760,13880,13760,13880,39160
07/13/2020,13650,13880,13650,13880,6520
07/14/2020,13840,13840,13840,13840,6810
07/15/2020,13760,13760,13650,13720,29600
07/16/2020,13720,13720,13600,13670,22840
07/17/2020,13520,13720,13520,13650,10470
07/20/2020,13670,13670,13560,13600,49410
07/21/2020,13670,13670,13520,13670,6920
07/22/2020,13670,13670,13600,13670,11170
07/23/2020,13670,13720,13520,13720,56960
07/24/2020,13370,13760,13370,13720,116550
07/27/2020,13290,13370,13290,13290,3030
07/28/2020,13520,13760,13520,13760,560
07/29/2020,13120,13670,13120,13670,5060
07/30/2020,13600,13600,13600,13600,1500
07/31/2020,13520,13650,13170,13200,2750
08/03/2020,13520,13520,13120,13240,16800
08/04/2020,13370,13370,13240,13240,2520
08/05/2020,13520,13670,13240,13290,36630
08/06/2020,13760,13760,13290,13290,14150
08/07/2020,13240,13560,13240,13290,38690
08/10/2020,13320,13520,13290,13320,1730
08/11/2020,13290,13670,13290,13600,5010
08/12/2020,13600,13600,13370,13370,2400
08/13/2020,13370,13600,13320,13320,43150
08/14/2020,13320,13560,13240,13480,25240
08/17/2020,13480,13520,13480,13480,9090
08/18/2020,13520,13520,13480,13520,1530
08/19/2020,13520,13560,13520,13520,18560
08/20/2020,13520,13520,13400,13480,3180
08/21/2020,13520,13520,13440,13480,5230
08/24/2020,13480,13760,13480,13520,48860
08/25/2020,13520,13670,13440,13440,72230
08/26/2020,13440,13650,13440,13520,32270
08/27/2020,13520,13650,13440,13520,27880
08/28/2020,13480,13520,13440,13480,23420
08/31/2020,13520,13600,13440,13440,49090
09/01/2020,13650,13650,13440,13440,34600
09/03/2020,13480,13600,13440,13520,37760
09/04/2020,13520,13520,13370,13480,27520
09/07/2020,13600,13600,13440,13480,21130
09/08/2020,13440,13840,13440,13720,59640
09/09/2020,13520,13520,13520,13520,12160
09/10/2020,13520,13670,13400,13650,63770
09/11/2020,13670,13720,13650,13670,25690
09/14/2020,13840,14640,13840,14640,108760
09/15/2020,15600,15600,14710,15120,73910
09/16/2020,15270,15310,15030,15310,85330
09/17/2020,15310,15430,14950,15270,98120
09/18/2020,14950,15230,14710,15190,8610
09/21/2020,15310,15310,15190,15270,32450
09/22/2020,15070,15900,15070,15510,54450
09/23/2020,15750,15900,15510,15900,44830
09/24/2020,15830,17020,15630,16950,154700
09/25/2020,17250,17500,17100,17350,61620
09/28/2020,17890,17890,17100,17500,60930
09/29/2020,17250,17500,17020,17300,63520
09/30/2020,17100,17500,17100,17420,77300
10/01/2020,17420,17580,17070,17580,129340
10/02/2020,18060,18060,17420,17500,206870
10/05/2020,17350,17820,17350,17500,55370
10/06/2020,17420,17500,17300,17460,83680
10/07/2020,17100,17250,16860,17070,127690
10/08/2020,17070,17100,16420,16700,36520
10/09/2020,16350,16700,16350,16660,27530
10/12/2020,16700,16790,16620,16700,32260
10/13/2020,16700,16700,16420,16700,32600
10/14/2020,16700,16700,16540,16620,88790
10/15/2020,16700,16950,16540,16590,72720
10/16/2020,16660,17180,16590,16620,330330
10/19/2020,16620,16620,16540,16620,24310
10/20/2020,16470,16540,15900,16540,55480
10/21/2020,16379,16470,15600,15830,139680
10/22/2020,15830,15830,15030,15030,121510
10/23/2020,14950,16059,14950,15900,180260
10/26/2020,16309,16309,15710,15710,37660
10/27/2020,15670,15710,14680,15670,42050
10/28/2020,15190,15670,15190,15630,28160
10/29/2020,15150,15470,15120,15120,38530
10/30/2020,15120,16149,14950,15350,64610
11/02/2020,15350,15350,14950,15120,11930
11/03/2020,14840,15430,14840,15350,17400
11/04/2020,15120,15430,15120,15350,62560
11/05/2020,15120,15390,14710,15390,114370
11/06/2020,15470,16059,15120,16059,55700
11/09/2020,16059,16309,15550,16309,147200
11/10/2020,15900,16260,15830,15990,59330
11/11/2020,15830,15900,15830,15830,30300
11/12/2020,15830,16110,15780,15780,33820
11/13/2020,15750,15990,15750,15990,21960
11/16/2020,15780,15900,15710,15710,20750
11/17/2020,15750,15750,14640,14950,167710
11/18/2020,14950,14950,14710,14790,72280
11/19/2020,14710,15190,14360,15190,141460
11/20/2020,15120,15120,14790,14950,32930
11/23/2020,14950,15120,14710,15030,26940
11/24/2020,15120,15120,14870,14870,20620
11/25/2020,14870,15070,14710,15030,52540
11/26/2020,15030,15120,14760,15120,42070
11/27/2020,14950,15030,14870,15030,17810
11/30/2020,14870,15120,14840,15030,25220
12/01/2020,14790,15030,14790,15030,10750
12/02/2020,14950,15030,14840,15000,17980
12/03/2020,15000,15030,14790,14950,15650
12/04/2020,14840,14840,14760,14790,72010
12/07/2020,14950,14950,14790,14950,17070
12/08/2020,14840,15070,14840,14950,60750
12/09/2020,15030,15070,14950,15000,19800
12/10/2020,14950,15000,14870,14870,47520
12/11/2020,14870,14950,14840,14910,47520
12/14/2020,14870,14950,14790,14790,84240
12/15/2020,14840,15120,14840,14840,79110
12/16/2020,15030,15030,14790,14870,307940
12/17/2020,14790,14950,14790,14790,120700
12/18/2020,14710,14840,14680,14710,136810
12/21/2020,14760,14790,14590,14790,43760
12/22/2020,14710,14710,14560,14590,92280
12/23/2020,14590,14680,14520,14680,47270
12/24/2020,14640,14640,14360,14480,71740
12/25/2020,14640,14870,14430,14790,97790
12/28/2020,14790,14870,14760,14870,64240
12/29/2020,14790,14950,14760,14870,77720
12/30/2020,14870,15000,14870,14950,40310
12/31/2020,14950,15070,14870,14950,120740
01/04/2021,14950,15120,14710,15000,150200
01/05/2021,15000,15030,14790,15000,72100
01/06/2021,15030,15070,14950,14950,107700
01/07/2021,15720,15720,15210,15720,52400
01/08/2021,16129,16129,15750,15750,27200
01/11/2021,15750,15800,15670,15720,24600
01/12/2021,15720,15720,15540,15630,33500
01/13/2021,15630,15720,15540,15630,14600
01/14/2021,15590,15800,15590,15590,53800
01/15/2021,15590,15720,15590,15670,31500
01/18/2021,15630,15720,15590,15670,42700
01/19/2021,15670,15670,15210,15210,37100
01/20/2021,14490,15080,14490,15080,80700
01/21/2021,15460,15540,15130,15460,48500
01/22/2021,15210,15720,14950,15290,35400
01/25/2021,15330,16350,15330,16350,274500
01/26/2021,16900,16900,15210,16050,137000
01/27/2021,16050,16050,15290,15290,53100
01/28/2021,14370,15030,14280,14370,207700
01/29/2021,13680,15030,13680,14780,16200
02/01/2021,15030,15130,14370,14780,41800
02/02/2021,14780,15000,14530,14910,75400
02/03/2021,14870,15130,14780,15130,57900
02/04/2021,14870,15210,14870,15160,30300
02/05/2021,15030,15380,15030,15250,13700
02/08/2021,15030,15210,14870,14950,31700
02/09/2021,15130,15210,14950,15030,11000
02/17/2021,15030,15460,15030,15210,43700
02/18/2021,15210,15210,15210,15210,21100
02/19/2021,15210,15290,15130,15210,43400
02/22/2021,15210,15330,15210,15210,30600
02/23/2021,15210,15290,15160,15210,83700
02/24/2021,15210,15210,15080,15130,62200
02/25/2021,15130,15210,15030,15030,33000
02/26/2021,15000,15210,14780,14950,16400
03/01/2021,14950,15030,14950,15030,15000
03/02/2021,15130,15210,15030,15030,42900
03/03/2021,15210,15210,14950,14950,26300
03/04/2021,14950,15130,14950,14950,16500
03/05/2021,14950,15130,14950,14950,60700
03/08/2021,15030,15130,14950,15030,37000
03/09/2021,15030,15290,15030,15210,57700
03/10/2021,15210,15290,14150,15290,47600
03/11/2021,15290,16219,15290,16129,148700
03/12/2021,16219,16480,16050,16129,189000
03/15/2021,16219,16219,16129,16129,54800
03/16/2021,16129,16260,15800,15880,62400
03/17/2021,15880,16129,15880,15970,25500
03/18/2021,15970,15970,15460,15880,62400
03/19/2021,15030,15880,15030,15880,24800
03/22/2021,15880,15970,15880,15970,21200
03/23/2021,15970,15970,15720,15840,37200
03/24/2021,15840,15970,15540,15840,84800
03/25/2021,15840,15840,15630,15840,100200
03/26/2021,15590,15630,15540,15630,20500
03/29/2021,15630,15800,15630,15750,93400
03/30/2021,15720,16129,15420,15920,59100
03/31/2021,15970,16129,15750,15970,171400
04/01/2021,16050,16129,15840,15880,14900
04/02/2021,15880,16050,15800,16010,50500
04/05/2021,15970,15970,15630,15720,76700
04/06/2021,15800,16050,15720,16010,115100
04/07/2021,15970,16180,15920,16180,133700
04/08/2021,16090,16260,15920,16219,98800
04/09/2021,16219,16350,16219,16350,60600
04/12/2021,16350,16730,16350,16510,74700
04/13/2021,16480,16480,16050,16379,164400
04/14/2021,16379,16379,16309,16379,84900
04/15/2021,16379,16379,16129,16129,80200
04/16/2021,16129,16129,15880,15970,108800
04/19/2021,15880,16219,15880,16219,73700
04/20/2021,16219,16219,16050,16219,138400
04/22/2021,16050,16219,15970,16129,58300
04/23/2021,16050,16129,15970,16129,39000
04/26/2021,16129,16180,16129,16129,70700
04/27/2021,16309,16350,16129,16260,64100
04/28/2021,16219,16309,15970,16260,98200
04/29/2021,16090,16480,16090,16379,59700
05/04/2021,16379,16900,15540,16900,141400
05/05/2021,16900,16900,16650,16810,49200
05/06/2021,17230,17230,16810,16900,101500
05/07/2021,16650,16810,16650,16650,26400
05/10/2021,16219,16650,16219,16650,34500
