Date,ACB,BID,PHR,VIX
5/4/2020,8340,24370,34340,1730
5/5/2020,8340,24370,34930,1660
5/6/2020,8550,24850,35610,1700
5/7/2020,8720,25920,35840,1700
5/8/2020,8800,26230,35010,1700
5/11/2020,8920,26570,35450,1730
5/12/2020,8960,26610,36470,1700
5/13/2020,8920,27330,36960,1660
5/14/2020,8800,27400,35290,1730
5/15/2020,8920,26640,34890,1730
5/18/2020,8960,26850,35330,1730
5/19/2020,9130,26990,35330,1730
5/20/2020,9130,27020,35920,1770
5/21/2020,9210,27400,36470,1700
5/22/2020,9210,27130,36080,1800
5/25/2020,9300,27370,38580,1770
5/26/2020,9580,28990,40680,1770
5/27/2020,9380,27470,38850,1730
5/28/2020,9410,28090,39650,1700
5/29/2020,9410,27680,40360,1770
6/1/2020,10320,28610,42030,1830
6/2/2020,10200,27990,40520,1770
6/3/2020,10490,28300,43220,1800
6/4/2020,10410,28850,42580,1830
6/5/2020,10370,29060,43300,1900
6/8/2020,10450,30370,43370,2080
6/9/2020,10490,29920,42580,2220
6/10/2020,10530,30030,42340,2420
6/11/2020,10070,27950,39650,2450
6/12/2020,10070,29330,40210,2390
6/15/2020,9580,27540,38740,2360
6/16/2020,9790,28090,39800,2180
6/17/2020,9750,27820,39650,2220
6/18/2020,9790,27950,40760,2220
6/19/2020,10030,28610,41470,2240
6/22/2020,9920,28510,41710,2180
6/23/2020,9870,28090,41310,2390
6/24/2020,9790,27820,40120,2590
6/25/2020,9750,27610,40120,2830
6/26/2020,9710,27540,40440,2730
6/29/2020,9410,26570,39410,2630
6/30/2020,9380,26160,39410,2420
7/1/2020,9540,27060,40830,2590
7/2/2020,9500,26920,41790,2560
7/3/2020,9460,26990,41710,2560
7/6/2020,9710,27680,41790,2500
7/7/2020,9750,28020,42030,2500
7/8/2020,9830,27990,42820,2560
7/9/2020,9990,28710,42580,2790
7/10/2020,9870,28640,41950,2830
7/13/2020,9830,28510,41390,2750
7/14/2020,9870,28470,42030,2750
7/15/2020,9870,28540,41790,2750
7/16/2020,9870,28540,41710,2710
7/17/2020,10200,28710,42580,2680
7/20/2020,10070,28160,42340,2630
7/21/2020,10120,28160,43450,2710
7/22/2020,10030,27610,43060,2950
7/23/2020,9950,27510,43220,3210
7/24/2020,9540,26370,41790,3400
7/27/2020,8960,24540,38900,3100
7/28/2020,9410,26130,40830,3400
7/29/2020,9130,25500,40210,3250
7/30/2020,9300,25680,40040,3370
7/31/2020,9260,25300,39650,3250
8/3/2020,9540,25680,40830,3280
8/4/2020,9750,26160,41070,3280
8/5/2020,9870,26750,42030,3250
8/6/2020,9790,26400,41790,3210
8/7/2020,9750,26300,41950,3170
8/10/2020,9790,26300,42820,3170
8/11/2020,10450,26570,42580,3170
8/12/2020,10450,27060,42510,3250
8/13/2020,10490,27370,42580,3320
8/14/2020,10410,26920,42820,3280
8/17/2020,10610,26710,42820,3250
8/18/2020,10530,26500,42900,3100
8/19/2020,10530,26640,45430,3250
8/20/2020,11120,26400,45670,3280
8/21/2020,11330,26880,46700,3370
8/24/2020,11230,27370,46380,3400
8/25/2020,11280,27260,46070,3320
8/26/2020,11330,27160,46380,3370
8/27/2020,11490,26990,46700,3670
8/28/2020,11440,27990,45990,3940
8/31/2020,11330,28270,44810,3940
9/1/2020,11280,28580,45670,3830
9/3/2020,11330,29130,45670,3970
9/4/2020,11280,29060,45990,4360
9/7/2020,11120,28020,45200,4770
9/8/2020,11010,28200,45600,4770
9/9/2020,11170,28160,46230,4770
9/10/2020,11170,27950,46380,4850
9/11/2020,11120,27920,46380,4700
9/14/2020,11330,27950,47110,4850
9/15/2020,11390,28130,46940,4970
9/16/2020,11330,27990,46470,4970
9/17/2020,11490,27950,45990,4820
9/18/2020,11590,28300,45910,4620
9/21/2020,11760,28160,45600,4620
9/22/2020,11920,28090,45600,4620
9/23/2020,12030,28580,46380,4660
9/24/2020,11860,28230,46380,4620
9/25/2020,11860,28160,46070,4580
9/28/2020,12080,28510,45990,4500
9/29/2020,11970,28060,45040,4500
9/30/2020,12030,28160,46230,4550
10/1/2020,12030,28270,46230,4970
10/2/2020,12300,28060,45840,4930
10/5/2020,12610,27890,46550,5280
10/6/2020,12830,27920,46550,5390
10/7/2020,12500,27920,46470,5190
10/8/2020,12400,27890,46070,5040
10/9/2020,12560,27850,45840,5300
10/12/2020,12450,28270,44400,5350
10/13/2020,12500,28470,44640,5300
10/14/2020,12830,29610,44090,5190
10/15/2020,13100,29160,43220,5160
10/16/2020,13200,29130,43850,5080
10/19/2020,13520,28920,43850,4930
10/20/2020,13520,28990,43610,4620
10/21/2020,13470,29230,43060,4730
10/22/2020,13680,29650,43370,4770
10/23/2020,13680,29540,44010,4820
10/26/2020,13260,28300,44810,4660
10/27/2020,13040,28090,44400,4360
10/28/2020,12720,27130,43770,4360
10/29/2020,12770,26680,43450,4770
10/30/2020,12880,26570,43690,5230
11/2/2020,13100,26850,44640,5280
11/3/2020,13370,27200,45280,5230
11/4/2020,13630,27440,45990,5500
11/5/2020,13310,26950,45040,5460
11/6/2020,13420,26950,45280,5460
11/9/2020,13570,27090,45840,6000
11/10/2020,13520,27200,48210,5700
11/11/2020,13570,27200,49090,5580
11/12/2020,14110,27330,48610,5610
11/13/2020,14160,27820,48680,5700
11/16/2020,14000,27540,48450,5540
11/17/2020,14530,27820,49560,5920
11/18/2020,14530,27640,50120,6000
