Ticker,Date,Open,High,Low,Close,Volume,Month,Quarter,Year
ACB,2018-03-01,11.74,11.87,11.43,11.5,5379316,3,1,2018
ACB,2018-03-02,11.5,11.67,11.3,11.62,5264337,3,1,2018
ACB,2018-03-05,11.62,11.77,11.0,11.0,6171135,3,1,2018
ACB,2018-03-06,11.0,11.48,10.98,11.48,4279645,3,1,2018
ACB,2018-03-07,11.5,11.59,11.23,11.3,5017215,3,1,2018
ACB,2018-03-08,11.45,11.45,11.25,11.33,4041111,3,1,2018
ACB,2018-03-09,11.38,11.72,11.35,11.69,4829484,3,1,2018
ACB,2018-03-12,11.74,12.15,11.74,12.15,4944538,3,1,2018
ACB,2018-03-13,12.17,12.3,12.0,12.3,3683159,3,1,2018
ACB,2018-03-14,12.62,12.75,12.25,12.3,2974601,3,1,2018
ACB,2018-03-15,12.32,12.4,12.15,12.35,4032484,3,1,2018
ACB,2018-03-16,12.45,12.67,12.37,12.6,4163554,3,1,2018
ACB,2018-03-19,12.75,12.92,12.65,12.92,4889388,3,1,2018
ACB,2018-03-20,13.06,13.33,12.92,13.31,4552573,3,1,2018
ACB,2018-03-21,13.31,13.42,13.06,13.17,6287554,3,1,2018
ACB,2018-03-22,13.17,13.22,12.86,12.92,5892543,3,1,2018
ACB,2018-03-23,12.92,12.92,12.24,12.65,6436238,3,1,2018
ACB,2018-03-26,12.65,13.01,12.54,13.01,2814607,3,1,2018
ACB,2018-03-27,13.09,13.28,12.98,13.06,3305080,3,1,2018
ACB,2018-03-28,13.03,13.09,12.84,12.9,2276552,3,1,2018
ACB,2018-03-29,12.98,12.98,12.81,12.81,2039780,3,1,2018
ACB,2018-03-30,12.65,12.9,12.65,12.84,2092042,3,1,2018
ACB,2018-04-02,12.86,13.52,12.86,13.52,4372662,4,2,2018
ACB,2018-04-03,13.52,13.61,13.33,13.47,3577394,4,2,2018
ACB,2018-04-04,13.47,13.69,13.45,13.5,3555414,4,2,2018
ACB,2018-04-05,13.52,13.69,13.47,13.69,3934100,4,2,2018
ACB,2018-04-06,13.72,14.13,13.69,13.99,5500996,4,2,2018
ACB,2018-04-09,14.03,14.16,13.86,14.05,3474752,4,2,2018
ACB,2018-04-10,14.08,14.18,13.77,13.88,4550311,4,2,2018
ACB,2018-04-11,13.88,13.99,13.42,13.42,6377260,4,2,2018
ACB,2018-04-12,13.22,13.72,13.22,13.72,3604332,4,2,2018
ACB,2018-04-13,13.75,13.86,13.31,13.33,3102131,4,2,2018
ACB,2018-04-16,13.31,13.5,13.11,13.37,2787061,4,2,2018
ACB,2018-04-17,13.37,13.61,13.28,13.61,3122300,4,2,2018
ACB,2018-04-18,13.61,13.83,13.39,13.45,3237045,4,2,2018
ACB,2018-04-19,13.2,13.47,12.98,13.11,4945285,4,2,2018
ACB,2018-04-20,13.2,13.28,13.03,13.22,3450025,4,2,2018
ACB,2018-04-23,13.31,13.42,12.1,12.24,8144218,4,2,2018
ACB,2018-04-24,12.26,12.48,11.88,12.2,3660608,4,2,2018
ACB,2018-04-26,12.24,12.24,11.13,11.16,7285702,4,2,2018
ACB,2018-04-27,10.07,12.1,10.07,11.66,4667596,4,2,2018
ACB,2019-03-01,9.42,9.51,9.33,9.48,1478830,3,1,2019
ACB,2019-03-04,9.48,9.64,9.46,9.61,3120806,3,1,2019
ACB,2019-03-05,9.61,9.71,9.51,9.58,2465893,3,1,2019
ACB,2019-03-06,9.55,9.61,9.48,9.58,1178516,3,1,2019
ACB,2019-03-07,9.61,9.71,9.58,9.64,3301746,3,1,2019
ACB,2019-03-08,9.61,9.67,9.55,9.58,1416810,3,1,2019
ACB,2019-03-11,9.58,9.67,9.55,9.61,1032198,3,1,2019
ACB,2019-03-12,9.64,9.77,9.58,9.77,2504257,3,1,2019
ACB,2019-03-13,9.83,10.02,9.77,9.92,5473410,3,1,2019
ACB,2019-03-14,9.92,10.12,9.9,9.96,2333220,3,1,2019
ACB,2019-03-15,9.99,10.06,9.9,10.02,2649931,3,1,2019
ACB,2019-03-18,10.06,10.18,10.02,10.08,3739699,3,1,2019
ACB,2019-03-19,10.12,10.12,9.87,9.9,2828856,3,1,2019
ACB,2019-03-20,9.92,9.92,9.71,9.8,3143264,3,1,2019
ACB,2019-03-21,9.8,9.92,9.61,9.61,2939770,3,1,2019
ACB,2019-03-22,9.61,9.71,9.61,9.64,1819172,3,1,2019
ACB,2019-03-25,9.61,9.61,9.46,9.51,2275202,3,1,2019
ACB,2019-03-26,9.55,9.61,9.51,9.58,1540206,3,1,2019
ACB,2019-03-27,9.61,9.67,9.55,9.61,856984,3,1,2019
ACB,2019-03-28,9.61,9.64,9.55,9.58,1366727,3,1,2019
ACB,2019-03-29,9.58,9.64,9.55,9.58,1915257,3,1,2019
ACB,2019-04-01,9.58,9.64,9.58,9.58,751744,4,2,2019
ACB,2019-04-02,9.64,9.71,9.58,9.58,1184570,4,2,2019
ACB,2019-04-03,9.64,9.64,9.46,9.51,1394796,4,2,2019
ACB,2019-04-04,9.46,9.58,9.46,9.55,1091143,4,2,2019
ACB,2019-04-05,9.55,9.61,9.51,9.55,767879,4,2,2019
ACB,2019-04-08,9.55,9.77,9.55,9.74,2224599,4,2,2019
ACB,2019-04-09,9.74,9.8,9.64,9.64,1801683,4,2,2019
ACB,2019-04-10,9.58,9.64,9.55,9.55,868574,4,2,2019
ACB,2019-04-11,9.67,9.67,9.51,9.58,905666,4,2,2019
ACB,2019-04-12,9.55,9.58,9.48,9.55,1051329,4,2,2019
ACB,2019-04-16,9.55,9.55,9.42,9.48,1328836,4,2,2019
ACB,2019-04-17,9.51,9.58,9.46,9.46,688254,4,2,2019
ACB,2019-04-18,9.26,9.48,9.26,9.39,1019057,4,2,2019
ACB,2019-04-19,9.42,9.46,9.36,9.36,599302,4,2,2019
ACB,2019-04-22,9.39,9.39,9.2,9.26,1362678,4,2,2019
ACB,2019-04-23,9.3,9.46,9.2,9.36,1651748,4,2,2019
ACB,2019-04-24,9.39,9.55,9.33,9.51,1062284,4,2,2019
ACB,2019-04-25,9.51,9.61,9.46,9.48,745480,4,2,2019
ACB,2019-04-26,9.48,9.55,9.46,9.51,1123078,4,2,2019
ACB,2021-03-01,17.85,17.88,17.58,17.77,8464900,3,1,2021
ACB,2021-03-02,17.85,17.88,17.53,17.63,9574100,3,1,2021
ACB,2021-03-03,17.58,17.88,17.48,17.77,9072300,3,1,2021
ACB,2021-03-04,17.85,17.85,17.13,17.32,9814000,3,1,2021
ACB,2021-03-05,17.16,17.42,16.89,17.34,10157000,3,1,2021
ACB,2021-03-08,17.37,17.48,16.87,17.0,16047000,3,1,2021
ACB,2021-03-09,16.83,17.27,16.62,17.13,8819900,3,1,2021
ACB,2021-03-10,17.16,17.74,17.05,17.5,12152700,3,1,2021
ACB,2021-03-11,17.63,17.69,17.5,17.63,7124300,3,1,2021
ACB,2021-03-12,17.63,17.67,17.45,17.61,5195500,3,1,2021
ACB,2021-03-15,17.63,18.09,17.42,17.9,18052500,3,1,2021
ACB,2021-03-16,17.85,18.01,17.67,17.88,6112900,3,1,2021
ACB,2021-03-17,17.88,17.93,17.74,17.9,6246400,3,1,2021
ACB,2021-03-18,18.12,18.3,17.9,18.14,10281900,3,1,2021
ACB,2021-03-19,18.14,18.28,18.01,18.07,7108900,3,1,2021
ACB,2021-03-22,18.2,18.23,17.83,17.85,8706000,3,1,2021
ACB,2021-03-23,17.93,17.93,17.53,17.63,10347000,3,1,2021
ACB,2021-03-24,17.32,17.5,17.13,17.34,9941600,3,1,2021
ACB,2021-03-25,17.34,17.42,17.05,17.13,8322000,3,1,2021
ACB,2021-03-26,17.1,17.34,16.76,17.34,7931700,3,1,2021
ACB,2021-03-29,17.58,17.69,17.32,17.63,6981300,3,1,2021
ACB,2021-03-30,17.69,17.9,17.5,17.8,8053200,3,1,2021
ACB,2021-03-31,17.9,18.07,17.77,17.8,4986100,3,1,2021
ACB,2021-04-01,17.88,18.09,17.8,18.09,10439300,4,2,2021
ACB,2021-04-02,18.28,18.7,18.17,18.52,13979400,4,2,2021
ACB,2021-04-05,18.87,18.87,18.49,18.57,7433500,4,2,2021
ACB,2021-04-06,18.54,18.68,18.25,18.57,7565000,4,2,2021
ACB,2021-04-07,18.44,18.54,18.34,18.39,6400900,4,2,2021
ACB,2021-04-08,18.36,18.54,18.28,18.39,4687900,4,2,2021
