Ticker,Date,Open,High,Low,Close,Volume,Month,Quarter,Year
BMP,2021-01-04,47.2,48.1,47.13,47.95,129400,1,1,2021
BMP,2021-01-05,47.95,48.55,47.73,48.32,179300,1,1,2021
BMP,2021-01-06,48.7,48.7,47.05,47.13,430000,1,1,2021
BMP,2021-01-07,47.95,47.95,46.22,46.3,500700,1,1,2021
BMP,2021-01-08,46.3,47.95,46.22,46.75,161100,1,1,2021
BMP,2021-01-11,47.2,47.2,46.3,46.46,270800,1,1,2021
BMP,2021-01-12,46.52,47.5,46.37,47.13,367300,1,1,2021
BMP,2021-01-13,47.58,49.08,47.28,48.62,678000,1,1,2021
BMP,2021-01-14,49.23,49.45,48.02,48.55,661000,1,1,2021
BMP,2021-01-15,48.92,48.92,47.73,48.02,356400,1,1,2021
BMP,2021-01-18,48.02,48.02,47.35,47.35,299000,1,1,2021
BMP,2021-01-19,47.05,47.13,44.05,44.81,538000,1,1,2021
BMP,2021-01-20,44.42,44.96,43.45,44.96,374700,1,1,2021
BMP,2021-01-21,45.7,45.7,44.2,44.96,331100,1,1,2021
BMP,2021-01-22,46.22,47.13,46.07,46.75,283100,1,1,2021
BMP,2021-01-25,47.05,47.73,46.61,47.5,166300,1,1,2021
BMP,2021-01-26,47.5,47.58,46.37,46.61,251300,1,1,2021
BMP,2021-01-27,46.46,46.61,45.85,46.07,332400,1,1,2021
BMP,2021-01-28,45.33,45.33,42.86,42.86,585700,1,1,2021
BMP,2021-01-29,42.71,45.25,42.71,44.66,149100,1,1,2021
BMP,2021-02-01,45.64,46.07,44.27,44.96,183600,2,1,2021
BMP,2021-02-02,44.96,46.15,44.27,46.15,194300,2,1,2021
BMP,2021-02-03,46.46,46.67,45.7,46.46,135000,2,1,2021
BMP,2021-02-04,47.15,47.15,46.46,46.53,113500,2,1,2021
BMP,2021-02-05,46.46,47.6,46.3,47.07,134000,2,1,2021
BMP,2021-02-08,47.07,47.6,45.67,46.37,242900,2,1,2021
BMP,2021-02-09,46.37,47.38,45.76,46.53,156600,2,1,2021
BMP,2021-02-17,46.84,48.0,46.53,48.0,366200,2,1,2021
BMP,2021-02-18,48.54,48.86,47.92,48.77,217600,2,1,2021
BMP,2021-02-19,48.77,49.7,48.54,49.55,351000,2,1,2021
BMP,2021-02-22,49.47,50.01,48.93,49.09,205300,2,1,2021
BMP,2021-02-23,49.09,49.09,48.4,48.62,143000,2,1,2021
BMP,2021-02-24,48.62,48.77,47.23,47.45,258600,2,1,2021
BMP,2021-02-25,47.45,48.23,47.38,48.0,151700,2,1,2021
BMP,2021-02-26,47.7,48.86,47.7,48.77,139900,2,1,2021
BMP,2021-03-01,48.15,49.23,48.15,49.23,227500,3,1,2021
BMP,2021-03-02,49.55,50.4,49.0,50.25,717400,3,1,2021
BMP,2021-03-03,50.25,51.48,50.25,50.48,428300,3,1,2021
BMP,2021-03-04,50.48,50.48,48.93,49.16,171200,3,1,2021
BMP,2021-03-05,48.77,48.86,48.23,48.46,231100,3,1,2021
BMP,2021-03-08,48.4,49.16,47.92,48.0,299400,3,1,2021
BMP,2021-03-09,47.7,48.23,47.3,47.45,248900,3,1,2021
BMP,2021-03-10,47.45,48.0,47.45,47.85,202100,3,1,2021
BMP,2021-03-11,48.23,48.54,47.76,47.85,138200,3,1,2021
BMP,2021-03-12,47.85,48.4,47.76,48.15,167500,3,1,2021
BMP,2021-03-15,48.23,48.23,47.76,47.92,157300,3,1,2021
