Ticker,Date,Open,High,Low,Close,Volume,Month,Quarter,Year
BMP,2018-03-01,53.57,53.68,51.97,51.97,618470,3,1,2018
BMP,2018-03-02,51.4,51.97,50.49,50.95,759550,3,1,2018
BMP,2018-03-05,51.97,52.54,50.32,50.32,480180,3,1,2018
BMP,2018-03-06,50.32,51.12,49.28,49.74,415790,3,1,2018
BMP,2018-03-07,49.46,50.19,48.03,49.57,402370,3,1,2018
BMP,2018-03-08,49.69,50.49,48.83,49.11,260030,3,1,2018
BMP,2018-03-09,49.11,49.11,46.26,47.23,790790,3,1,2018
BMP,2018-03-12,47.41,47.91,44.66,44.83,1073940,3,1,2018
BMP,2018-03-13,44.83,44.83,42.83,43.17,674170,3,1,2018
BMP,2018-03-14,43.4,45.23,42.04,45.07,852040,3,1,2018
BMP,2018-03-15,44.54,44.95,43.4,43.92,341440,3,1,2018
BMP,2018-03-16,43.86,43.86,42.83,42.83,605690,3,1,2018
BMP,2018-03-19,42.77,42.77,41.93,42.26,510060,3,1,2018
BMP,2018-03-20,42.26,43.81,41.86,43.4,512260,3,1,2018
BMP,2018-03-21,43.63,44.32,43.63,44.32,473200,3,1,2018
BMP,2018-03-22,44.32,44.32,43.01,43.01,234960,3,1,2018
BMP,2018-03-23,41.69,42.55,41.69,42.14,357310,3,1,2018
BMP,2018-03-26,42.14,43.11,42.04,42.04,179420,3,1,2018
BMP,2018-03-27,42.26,42.55,41.46,41.69,355170,3,1,2018
BMP,2018-03-28,41.93,41.93,41.41,41.41,210310,3,1,2018
BMP,2018-03-29,41.17,41.35,39.69,39.99,445360,3,1,2018
BMP,2018-03-30,39.12,39.92,38.84,39.3,235460,3,1,2018
BMP,2018-04-02,39.92,41.06,39.41,40.55,183830,4,2,2018
BMP,2018-04-03,41.12,41.75,40.89,41.17,284650,4,2,2018
BMP,2018-04-04,41.63,41.63,39.99,39.99,256490,4,2,2018
BMP,2018-04-05,39.99,40.83,39.41,40.55,222110,4,2,2018
BMP,2018-04-06,40.55,40.89,40.31,40.49,208400,4,2,2018
BMP,2018-04-09,40.55,40.55,40.27,40.49,207680,4,2,2018
BMP,2018-04-10,40.49,41.01,39.86,40.49,314250,4,2,2018
BMP,2018-04-11,40.15,41.17,39.99,39.99,373960,4,2,2018
BMP,2018-04-12,39.74,41.12,39.69,40.72,362540,4,2,2018
BMP,2018-04-13,41.06,41.06,39.69,39.69,195210,4,2,2018
BMP,2018-04-16,39.69,39.69,39.18,39.18,178770,4,2,2018
BMP,2018-04-17,39.34,39.69,37.69,37.93,356190,4,2,2018
BMP,2018-04-18,37.98,38.26,36.32,36.32,603300,4,2,2018
BMP,2018-04-19,36.32,36.5,34.33,34.55,466560,4,2,2018
BMP,2018-04-20,35.63,35.63,34.44,35.0,329090,4,2,2018
BMP,2018-04-23,35.0,35.24,32.6,32.6,339060,4,2,2018
BMP,2018-04-24,31.59,32.15,31.42,31.42,396940,4,2,2018
BMP,2018-04-26,31.42,31.98,29.47,29.87,470660,4,2,2018
BMP,2018-04-27,29.81,30.55,29.81,30.45,338360,4,2,2018
BMP,2019-03-01,32.49,32.98,32.13,32.98,152310,3,1,2019
BMP,2019-03-04,32.98,33.11,32.43,32.43,174960,3,1,2019
BMP,2019-03-05,32.56,34.21,32.56,32.98,276680,3,1,2019
BMP,2019-03-06,33.29,33.29,32.43,32.56,133990,3,1,2019
BMP,2019-03-07,32.56,33.36,32.49,32.98,171470,3,1,2019
BMP,2019-03-08,32.38,32.92,32.009,32.189,188330,3,1,2019
BMP,2019-03-11,32.31,32.689,32.13,32.25,42190,3,1,2019
BMP,2019-03-12,32.49,32.49,32.189,32.38,78600,3,1,2019
BMP,2019-03-13,32.38,32.87,32.25,32.43,122700,3,1,2019
BMP,2019-03-14,32.729,33.59,32.689,32.98,224270,3,1,2019
BMP,2019-03-15,33.16,33.16,32.38,32.98,51160,3,1,2019
BMP,2019-03-18,32.98,32.98,32.25,32.25,198990,3,1,2019
BMP,2019-03-19,32.25,32.38,31.15,31.27,265280,3,1,2019
BMP,2019-03-20,31.27,31.75,30.85,31.63,140080,3,1,2019
BMP,2019-03-21,31.46,31.63,30.54,30.54,139070,3,1,2019
BMP,2019-03-22,30.54,31.15,30.46,30.65,100070,3,1,2019
BMP,2019-03-25,30.54,31.09,29.2,29.68,178670,3,1,2019
BMP,2019-03-26,29.68,29.94,29.38,29.63,109430,3,1,2019
BMP,2019-03-27,30.18,30.18,29.68,29.68,84120,3,1,2019
BMP,2019-03-28,29.68,29.68,29.32,29.65,141150,3,1,2019
BMP,2019-03-29,29.71,30.18,29.65,29.65,118910,3,1,2019
