Ticker,Date,Open,High,Low,Close,Volume,Month,Quarter,Year
CTG,2018-01-02,16.16,16.69,15.92,16.66,3966440,1,1,2018
CTG,2018-01-03,16.76,16.86,16.32,16.56,3941230,1,1,2018
CTG,2018-01-04,16.56,17.16,16.46,17.16,4995490,1,1,2018
CTG,2018-01-05,17.03,17.09,16.69,16.76,3071940,1,1,2018
CTG,2018-01-08,16.76,17.29,16.66,17.16,5017740,1,1,2018
CTG,2018-01-09,17.23,17.26,16.02,17.16,6561230,1,1,2018
CTG,2018-01-10,17.09,17.49,16.83,17.03,9619750,1,1,2018
CTG,2018-01-11,16.83,17.29,16.69,17.13,4187120,1,1,2018
CTG,2018-01-12,17.09,17.59,16.99,17.09,5148990,1,1,2018
CTG,2018-01-15,17.03,17.59,16.66,17.43,4812150,1,1,2018
CTG,2018-01-16,17.43,17.99,17.43,17.76,7707220,1,1,2018
CTG,2018-01-17,16.83,17.89,16.83,16.83,5012930,1,1,2018
CTG,2018-01-18,16.69,17.03,16.16,17.03,4941490,1,1,2018
CTG,2018-01-19,17.03,17.19,16.72,16.89,4243980,1,1,2018
CTG,2018-01-22,17.09,17.29,16.96,17.19,2806440,1,1,2018
CTG,2018-01-25,17.43,18.36,17.29,17.86,12632930,1,1,2018
CTG,2018-01-26,18.29,18.53,17.93,18.23,8629440,1,1,2018
CTG,2018-01-29,18.29,19.2,18.23,18.89,9535190,1,1,2018
CTG,2018-01-30,18.36,18.83,18.23,18.73,6537380,1,1,2018
CTG,2018-01-31,19.13,19.43,18.16,18.16,8587080,1,1,2018
CTG,2018-02-01,18.49,18.96,18.09,18.19,7765160,2,1,2018
CTG,2018-02-02,18.43,18.86,18.23,18.69,8967630,2,1,2018
CTG,2018-02-05,18.36,18.69,17.39,17.39,7735310,2,1,2018
CTG,2018-02-06,16.19,17.03,16.19,16.26,11384030,2,1,2018
CTG,2018-02-07,17.03,17.39,16.76,17.19,5755430,2,1,2018
CTG,2018-02-08,16.89,17.19,16.36,16.36,3171590,2,1,2018
CTG,2018-02-09,15.42,16.49,15.39,16.36,4778760,2,1,2018
CTG,2018-02-12,17.03,17.49,16.96,17.49,3613760,2,1,2018
CTG,2018-02-13,18.03,18.16,17.76,18.16,4107030,2,1,2018
CTG,2018-02-21,18.69,19.3,18.33,18.59,11195110,2,1,2018
CTG,2018-02-22,18.36,19.73,18.36,19.13,18022260,2,1,2018
