Ticker,Date,Open,High,Low,Close,Volume,Month,Quarter,Year
CTG,2021-01-04,23.7,24.38,23.64,24.04,14041500,1,1,2021
CTG,2021-01-05,23.97,24.35,23.84,23.97,9215200,1,1,2021
CTG,2021-01-06,24.38,25.63,24.18,25.63,15419900,1,1,2021
CTG,2021-01-07,26.07,26.85,26.01,26.31,10679600,1,1,2021
CTG,2021-01-08,26.75,26.75,26.07,26.21,8380100,1,1,2021
CTG,2021-01-11,26.34,26.82,26.14,26.21,10911700,1,1,2021
CTG,2021-01-12,26.21,26.34,25.8,26.07,9154200,1,1,2021
CTG,2021-01-13,26.17,26.72,26.07,26.17,9063900,1,1,2021
CTG,2021-01-14,26.41,26.65,26.07,26.51,8275700,1,1,2021
CTG,2021-01-15,26.75,27.16,26.62,26.75,11321800,1,1,2021
CTG,2021-01-18,26.82,26.99,26.14,26.14,7197000,1,1,2021
CTG,2021-01-19,26.07,26.14,24.31,24.31,14466500,1,1,2021
CTG,2021-01-20,24.38,24.65,22.89,24.14,11184000,1,1,2021
CTG,2021-01-21,24.45,25.06,24.04,25.06,7568900,1,1,2021
CTG,2021-01-22,25.02,25.94,24.85,25.46,11333200,1,1,2021
CTG,2021-01-25,25.26,25.43,24.72,24.92,6580500,1,1,2021
CTG,2021-01-26,24.72,24.75,23.36,23.36,8285900,1,1,2021
CTG,2021-01-27,23.16,23.8,22.01,22.08,9544300,1,1,2021
CTG,2021-01-28,20.82,21.6,20.55,20.55,13297400,1,1,2021
CTG,2021-01-29,19.5,21.94,19.5,20.66,14819400,1,1,2021
CTG,2021-02-01,21.54,22.08,21.33,21.67,12315100,2,1,2021
CTG,2021-02-02,21.54,23.03,21.47,22.96,7767300,2,1,2021
CTG,2021-02-03,23.36,23.87,23.03,23.64,10075600,2,1,2021
CTG,2021-02-04,23.57,23.74,23.2,23.5,9413200,2,1,2021
CTG,2021-02-05,23.67,24.24,23.53,24.24,8496700,2,1,2021
CTG,2021-02-08,24.38,24.45,22.96,23.06,12845300,2,1,2021
CTG,2021-02-09,23.33,24.01,23.03,23.97,8069900,2,1,2021
CTG,2021-02-17,24.65,24.92,24.28,24.92,9896400,2,1,2021
CTG,2021-02-18,24.85,25.09,24.58,24.92,10032300,2,1,2021
CTG,2021-02-19,24.58,25.4,24.45,25.06,12154600,2,1,2021
CTG,2021-02-22,25.06,25.77,24.92,25.06,11349900,2,1,2021
CTG,2021-02-23,25.13,25.46,25.06,25.09,8347300,2,1,2021
CTG,2021-02-24,25.36,25.84,25.09,25.4,14250600,2,1,2021
CTG,2021-02-25,25.6,25.67,25.09,25.26,8490300,2,1,2021
CTG,2021-02-26,24.89,25.29,24.72,25.23,8851000,2,1,2021
CTG,2021-03-01,25.6,25.87,25.46,25.8,13954000,3,1,2021
CTG,2021-03-02,26.07,26.14,25.73,25.73,7320600,3,1,2021
CTG,2021-03-03,26.01,26.28,25.94,26.14,13074300,3,1,2021
CTG,2021-03-04,26.41,26.41,25.4,25.94,10315800,3,1,2021
CTG,2021-03-05,25.8,26.04,25.4,25.73,10156400,3,1,2021
CTG,2021-03-08,26.01,26.14,25.43,25.67,7574900,3,1,2021
CTG,2021-03-09,25.67,25.67,25.13,25.19,10113900,3,1,2021
CTG,2021-03-10,25.23,25.6,25.09,25.43,7468500,3,1,2021
CTG,2021-03-11,25.7,26.04,25.6,25.87,7639300,3,1,2021
CTG,2021-03-12,25.97,26.07,25.7,25.7,6997500,3,1,2021
CTG,2021-03-15,25.73,25.87,25.57,25.73,6762100,3,1,2021
CTG,2021-03-16,25.84,25.87,25.5,25.53,7061600,3,1,2021
CTG,2021-03-17,25.57,26.82,25.46,26.78,23685900,3,1,2021
CTG,2021-03-18,27.9,28.07,27.22,27.43,16047000,3,1,2021
CTG,2021-03-19,27.33,27.7,27.29,27.39,8287200,3,1,2021
CTG,2021-03-22,27.73,28.27,27.43,27.83,20682100,3,1,2021
CTG,2021-03-23,27.9,27.94,27.22,27.43,14649900,3,1,2021
CTG,2021-03-24,27.09,27.39,26.34,26.41,18260600,3,1,2021
CTG,2021-03-25,26.75,27.19,26.34,26.68,14674100,3,1,2021
CTG,2021-03-26,26.62,26.95,25.6,26.45,16252400,3,1,2021
CTG,2021-03-29,26.82,27.12,26.62,27.09,11589800,3,1,2021
CTG,2021-03-30,27.29,27.63,26.99,27.36,11152600,3,1,2021
CTG,2021-03-31,27.36,27.66,27.09,27.19,11841600,3,1,2021
CTG,2021-04-01,27.29,28.0,27.29,27.8,18695800,4,2,2021
CTG,2021-04-02,28.1,28.14,27.77,27.97,12198800,4,2,2021
CTG,2021-04-05,28.44,28.65,28.1,28.44,16216000,4,2,2021
CTG,2021-04-06,28.41,29.49,28.17,29.12,22526100,4,2,2021
CTG,2021-04-07,29.12,29.66,28.99,29.12,12150700,4,2,2021
CTG,2021-04-08,29.12,29.32,28.85,28.85,11652100,4,2,2021
CTG,2021-04-09,28.78,28.92,28.65,28.78,14650600,4,2,2021
CTG,2021-04-12,28.85,29.32,28.75,29.26,13503200,4,2,2021
CTG,2021-04-13,29.46,29.46,28.44,28.48,15121500,4,2,2021
CTG,2021-04-14,28.38,29.12,28.1,28.95,14310200,4,2,2021
CTG,2021-04-15,29.05,29.12,28.44,28.58,13938300,4,2,2021
CTG,2021-04-16,28.71,29.26,27.63,28.44,21441800,4,2,2021
CTG,2021-04-19,28.58,28.78,27.97,28.78,16032000,4,2,2021
CTG,2021-04-20,28.88,29.22,28.1,28.44,23241600,4,2,2021
CTG,2021-04-22,28.27,28.41,26.51,26.51,21428500,4,2,2021
CTG,2021-04-23,26.72,28.04,26.41,27.97,17558700,4,2,2021
CTG,2021-04-26,27.97,27.97,26.85,26.89,12681700,4,2,2021
CTG,2021-04-27,26.78,27.16,26.62,26.85,7161800,4,2,2021
CTG,2021-04-28,26.82,27.39,26.78,26.92,7986500,4,2,2021
CTG,2021-04-29,27.09,27.66,26.92,27.63,14195400,4,2,2021
CTG,2022-01-04,30.83,31.28,30.61,31.1,12031300,1,1,2022
CTG,2022-01-05,31.32,31.5,31.05,31.1,10443800,1,1,2022
CTG,2022-01-06,30.87,30.92,30.29,30.43,11753800,1,1,2022
CTG,2022-01-07,30.43,30.83,29.62,29.71,12412400,1,1,2022
CTG,2022-01-10,29.8,30.11,29.58,29.8,7180300,1,1,2022
CTG,2022-01-11,29.98,30.16,29.31,29.53,7061400,1,1,2022
CTG,2022-01-12,29.53,30.61,28.86,30.56,12781800,1,1,2022
CTG,2022-01-13,30.79,32.4,30.56,31.46,35122100,1,1,2022
CTG,2022-01-14,31.32,32.04,30.96,31.73,9258500,1,1,2022
CTG,2022-01-17,31.86,32.89,30.7,31.32,27495800,1,1,2022
CTG,2022-01-18,31.05,31.9,30.61,30.92,15069400,1,1,2022
CTG,2022-01-19,31.23,31.46,30.2,30.25,9741800,1,1,2022
CTG,2022-01-20,29.98,31.73,29.62,31.41,13774600,1,1,2022
CTG,2022-01-21,31.41,32.659,31.14,31.81,15424600,1,1,2022
CTG,2022-01-24,31.77,32.619,31.64,31.9,17475400,1,1,2022
CTG,2022-01-25,31.86,33.11,31.86,33.11,18851200,1,1,2022
CTG,2022-01-26,33.56,34.19,33.16,33.69,21981300,1,1,2022
CTG,2022-01-27,33.25,33.69,32.84,33.02,11740400,1,1,2022
CTG,2022-01-28,32.93,33.47,32.84,33.02,8727700,1,1,2022
CTG,2022-02-07,33.47,33.47,32.49,32.49,14883200,2,1,2022
CTG,2022-02-08,32.4,33.11,32.259,32.659,9097100,2,1,2022
CTG,2022-02-09,32.659,33.2,32.53,32.53,9201900,2,1,2022
CTG,2022-02-10,32.58,33.02,32.31,32.89,8989600,2,1,2022
CTG,2022-02-11,32.98,33.38,32.93,32.93,10407100,2,1,2022
CTG,2022-02-14,32.53,32.659,30.96,30.96,15118300,2,1,2022
CTG,2022-02-15,31.14,31.5,30.87,31.28,13310400,2,1,2022
CTG,2022-02-16,31.59,31.68,30.92,31.01,7858400,2,1,2022
CTG,2022-02-17,31.1,31.46,31.01,31.23,5945600,2,1,2022
CTG,2022-02-18,31.01,31.28,30.92,30.96,8303800,2,1,2022
CTG,2022-02-21,30.96,31.19,30.25,30.79,12018600,2,1,2022
CTG,2022-02-22,30.43,31.05,30.2,30.96,9003800,2,1,2022
CTG,2022-02-23,31.23,31.46,31.05,31.19,6729000,2,1,2022
CTG,2022-02-24,30.96,31.05,29.62,30.29,16477000,2,1,2022
CTG,2022-02-25,30.52,30.7,30.16,30.29,10212900,2,1,2022
CTG,2022-02-28,30.29,30.29,29.67,29.67,12721000,2,1,2022
CTG,2022-03-01,29.8,30.07,29.67,29.8,7737300,3,1,2022
CTG,2022-03-02,29.71,29.76,28.55,28.64,20423400,3,1,2022
CTG,2022-03-03,28.73,29.17,28.68,29.17,6542200,3,1,2022
CTG,2022-03-04,29.22,29.49,29.0,29.31,5933800,3,1,2022
CTG,2022-03-07,28.73,29.08,28.73,28.77,9834300,3,1,2022
CTG,2022-03-08,28.64,29.04,28.59,28.68,7175000,3,1,2022
CTG,2022-03-09,28.73,28.95,28.37,28.64,5732700,3,1,2022
CTG,2022-03-10,29.08,29.26,28.73,28.73,3810500,3,1,2022
CTG,2022-03-11,28.73,29.0,28.68,28.86,3733000,3,1,2022
CTG,2022-03-14,28.91,29.0,28.46,28.55,4982400,3,1,2022
CTG,2022-03-15,28.59,28.86,28.5,28.59,3683000,3,1,2022
CTG,2022-03-16,28.86,28.95,28.64,28.64,4339000,3,1,2022
CTG,2022-03-17,28.91,29.49,28.82,29.26,8350900,3,1,2022
CTG,2022-03-18,29.44,29.71,29.35,29.35,4224200,3,1,2022
CTG,2022-03-21,29.35,29.49,29.13,29.4,3447300,3,1,2022
CTG,2022-03-22,29.35,29.76,29.35,29.53,6091300,3,1,2022
CTG,2022-03-23,29.53,29.94,29.4,29.4,4020700,3,1,2022
CTG,2022-03-24,29.35,29.44,29.13,29.13,4490100,3,1,2022
CTG,2022-03-25,29.08,29.26,28.73,28.82,5554900,3,1,2022
CTG,2022-03-28,28.82,29.13,28.46,28.46,6380700,3,1,2022
CTG,2022-03-29,28.64,28.73,28.55,28.64,2953200,3,1,2022
CTG,2022-03-30,28.55,29.13,28.5,28.68,5038200,3,1,2022
CTG,2022-03-31,28.73,29.17,28.73,29.04,4793800,3,1,2022
CTG,2022-04-01,29.08,29.67,29.04,29.58,8660000,4,2,2022
CTG,2022-04-04,29.89,29.89,29.4,29.4,6673500,4,2,2022
CTG,2022-04-05,29.08,29.35,28.95,28.95,6075100,4,2,2022
CTG,2022-04-06,28.73,29.22,28.73,29.17,5774800,4,2,2022
CTG,2022-04-07,29.26,29.53,28.95,29.13,6080300,4,2,2022
CTG,2022-04-08,29.08,29.13,28.68,28.68,5331500,4,2,2022
CTG,2022-04-12,28.77,28.82,27.74,27.74,5690000,4,2,2022
CTG,2022-04-13,27.92,28.32,27.92,28.19,4187400,4,2,2022
CTG,2022-04-14,28.19,28.55,27.88,27.92,2929200,4,2,2022
CTG,2022-04-15,28.15,28.15,27.65,27.74,5073900,4,2,2022
CTG,2022-04-18,27.65,27.65,26.13,26.13,8403800,4,2,2022
CTG,2022-04-19,26.4,26.76,25.73,25.73,4637100,4,2,2022
CTG,2022-04-20,25.73,26.22,25.55,25.68,4259300,4,2,2022
CTG,2022-04-21,25.59,26.4,25.42,25.95,5307000,4,2,2022
CTG,2022-04-22,26.36,26.49,25.86,26.31,3572000,4,2,2022
