Ticker,Date,Open,High,Low,Close,Volume,Month,Quarter,Year
CTG,2018-03-01,22.03,23.07,21.67,21.83,20611220,3,1,2018
CTG,2018-03-02,21.3,22.23,21.23,21.83,16332340,3,1,2018
CTG,2018-03-05,22.17,22.17,20.36,20.36,14397300,3,1,2018
CTG,2018-03-06,20.9,21.57,20.5,21.57,8655290,3,1,2018
CTG,2018-03-07,21.57,21.87,20.8,21.03,8743530,3,1,2018
CTG,2018-03-08,20.83,21.43,20.83,21.16,4450530,3,1,2018
CTG,2018-03-09,21.57,22.0,21.43,21.63,9019810,3,1,2018
CTG,2018-03-12,22.17,22.57,22.03,22.33,9131840,3,1,2018
CTG,2018-03-13,22.37,23.84,22.33,23.84,14039020,3,1,2018
CTG,2018-03-14,24.04,24.44,23.57,23.74,8598930,3,1,2018
CTG,2018-03-15,23.5,24.7,23.37,24.44,9348680,3,1,2018
CTG,2018-03-16,24.7,24.84,24.14,24.5,7631290,3,1,2018
CTG,2018-03-19,24.94,24.94,23.9,24.24,11655870,3,1,2018
CTG,2018-03-20,23.94,24.37,23.9,24.04,9728470,3,1,2018
CTG,2018-03-21,24.37,24.5,23.97,24.17,8752910,3,1,2018
CTG,2018-03-22,24.3,24.34,23.7,23.9,9074600,3,1,2018
CTG,2018-03-23,23.17,23.64,22.6,23.33,13238950,3,1,2018
CTG,2018-03-26,23.23,23.9,23.1,23.9,7784740,3,1,2018
CTG,2018-03-27,24.37,24.5,23.87,23.9,7589490,3,1,2018
CTG,2018-03-28,23.64,23.97,23.43,23.5,4854050,3,1,2018
CTG,2018-03-29,23.7,23.7,23.23,23.37,4348190,3,1,2018
CTG,2018-03-30,23.37,23.4,22.73,23.1,5396860,3,1,2018
CTG,2018-04-02,23.43,24.24,23.43,24.17,7508660,4,2,2018
CTG,2018-04-03,24.17,24.37,23.97,24.24,5850150,4,2,2018
CTG,2018-04-04,24.44,24.5,23.9,23.97,6987490,4,2,2018
CTG,2018-04-05,24.17,24.17,23.7,23.77,4491490,4,2,2018
CTG,2018-04-06,24.1,24.3,23.8,23.84,5822740,4,2,2018
CTG,2018-04-09,23.97,25.17,23.77,25.17,12738930,4,2,2018
CTG,2018-04-10,25.37,25.54,24.74,24.9,6795480,4,2,2018
CTG,2018-04-11,25.04,25.24,23.84,23.84,9276770,4,2,2018
CTG,2018-04-12,23.64,24.07,23.4,23.84,6157460,4,2,2018
CTG,2018-04-13,24.04,24.1,22.8,22.83,8955730,4,2,2018
CTG,2018-04-16,22.83,23.3,22.17,22.7,4681650,4,2,2018
CTG,2018-04-17,22.77,23.23,22.47,23.23,3718370,4,2,2018
CTG,2018-04-18,23.5,23.54,22.4,22.4,3917470,4,2,2018
CTG,2018-04-19,22.37,22.4,20.96,21.1,9517160,4,2,2018
CTG,2018-04-20,21.5,22.37,20.96,22.37,4349720,4,2,2018
CTG,2018-04-23,22.37,22.57,20.83,20.83,5666300,4,2,2018
CTG,2018-04-24,20.23,21.16,19.9,20.26,5706980,4,2,2018
CTG,2018-04-26,20.26,20.36,18.86,18.86,8261420,4,2,2018
CTG,2018-04-27,18.86,19.73,18.59,19.56,5541550,4,2,2018
CTG,2019-03-01,13.99,13.99,13.79,13.89,4475980,3,1,2019
CTG,2019-03-04,13.95,14.25,13.92,14.15,6800970,3,1,2019
CTG,2019-03-05,14.15,14.49,14.05,14.19,7944430,3,1,2019
CTG,2019-03-06,14.22,14.29,14.09,14.22,3602700,3,1,2019
CTG,2019-03-07,14.35,14.49,14.25,14.35,8034740,3,1,2019
CTG,2019-03-08,14.22,14.35,14.12,14.15,5363050,3,1,2019
