Ticker,Date,Open,High,Low,Close,Volume,Month,Quarter,Year
GAS,2018-01-02,64.47,65.269,62.47,63.34,1418300,1,1,2018
GAS,2018-01-03,63.81,65.0,63.14,64.73,755420,1,1,2018
GAS,2018-01-04,65.129,67.79,65.129,67.79,977010,1,1,2018
GAS,2018-01-05,68.19,68.79,66.47,66.73,829840,1,1,2018
GAS,2018-01-08,66.47,67.72,65.8,66.73,730170,1,1,2018
GAS,2018-01-09,67.79,68.72,66.73,67.79,778170,1,1,2018
GAS,2018-01-10,69.12,69.78,68.33,68.46,904540,1,1,2018
GAS,2018-01-11,68.79,69.12,67.2,68.59,697400,1,1,2018
GAS,2018-01-12,66.79,68.86,66.47,66.79,1049410,1,1,2018
GAS,2018-01-15,66.79,67.92,65.53,67.92,968320,1,1,2018
GAS,2018-01-16,68.79,69.05,67.67,68.79,1138380,1,1,2018
GAS,2018-01-17,66.4,69.26,66.4,66.4,1016930,1,1,2018
GAS,2018-01-18,65.8,66.52,64.34,66.52,1015250,1,1,2018
GAS,2018-01-19,66.4,67.13,65.8,65.8,724530,1,1,2018
GAS,2018-01-22,65.8,70.39,65.129,70.39,1812130,1,1,2018
GAS,2018-01-25,74.77,75.3,73.77,75.3,1156390,1,1,2018
GAS,2018-01-26,78.97,79.76,74.44,77.36,2222720,1,1,2018
GAS,2018-01-29,79.02,79.02,76.43,77.03,929870,1,1,2018
GAS,2018-01-30,75.77,77.62,74.77,77.43,1171560,1,1,2018
GAS,2018-01-31,76.43,82.82,75.77,82.82,2286340,1,1,2018
GAS,2018-02-01,82.82,82.82,79.09,81.22,1183240,2,1,2018
GAS,2018-02-02,81.22,82.42,79.76,80.42,561430,2,1,2018
GAS,2018-02-05,78.5,79.62,74.83,74.83,1082160,2,1,2018
GAS,2018-02-06,69.66,72.77,69.66,69.66,1054820,2,1,2018
GAS,2018-02-07,71.72,74.31,70.92,73.12,708130,2,1,2018
GAS,2018-02-08,69.78,71.72,69.12,69.12,684310,2,1,2018
GAS,2018-02-09,64.34,66.47,64.34,64.34,1146710,2,1,2018
GAS,2018-02-12,63.27,68.79,63.27,68.79,1341740,2,1,2018
GAS,2018-02-13,69.98,72.45,69.98,71.78,541220,2,1,2018
GAS,2018-02-21,73.12,75.64,72.38,74.44,553510,2,1,2018
GAS,2018-02-22,73.12,73.31,70.45,70.45,605460,2,1,2018
GAS,2018-02-23,72.45,74.11,71.25,73.77,748160,2,1,2018
GAS,2018-02-26,74.11,78.43,74.11,75.1,845250,2,1,2018
GAS,2018-02-27,77.1,77.1,74.83,75.44,608620,2,1,2018
GAS,2018-02-28,74.77,75.91,74.11,75.71,721370,2,1,2018
GAS,2018-03-01,75.1,78.03,74.44,77.1,875090,3,1,2018
GAS,2018-03-02,75.77,78.43,75.77,77.77,923410,3,1,2018
GAS,2018-03-05,79.09,79.96,74.44,74.44,822020,3,1,2018
GAS,2018-03-06,76.43,77.9,75.1,77.77,806110,3,1,2018
GAS,2018-03-07,77.77,78.29,74.11,76.3,718330,3,1,2018
GAS,2018-03-08,75.17,77.7,75.17,76.17,301630,3,1,2018
GAS,2018-03-09,76.3,76.77,74.44,74.44,606610,3,1,2018
GAS,2018-03-12,77.1,77.62,75.77,77.23,504770,3,1,2018
GAS,2018-03-13,77.23,77.23,75.71,76.43,218290,3,1,2018
GAS,2018-03-14,76.43,78.76,76.17,78.56,816130,3,1,2018
GAS,2018-03-15,77.77,80.42,77.1,80.42,577980,3,1,2018
