Ticker,Date,Open,High,Low,Close,Volume,Month,Quarter,Year
GAS,2021-01-04,66.72,67.85,66.1,67.4,1362600,1,1,2021
GAS,2021-01-05,66.78,68.46,65.72,68.31,1262700,1,1,2021
GAS,2021-01-06,69.06,69.74,68.31,68.61,1161900,1,1,2021
GAS,2021-01-07,69.06,70.43,67.69,70.36,1446600,1,1,2021
GAS,2021-01-08,70.36,70.81,69.59,70.36,934700,1,1,2021
GAS,2021-01-11,70.58,71.87,70.36,70.81,743600,1,1,2021
GAS,2021-01-12,70.81,71.27,69.82,71.04,949100,1,1,2021
GAS,2021-01-13,71.8,71.8,70.36,70.58,1091600,1,1,2021
GAS,2021-01-14,70.27,70.58,69.44,69.9,775000,1,1,2021
GAS,2021-01-15,70.58,70.81,68.68,69.52,1767000,1,1,2021
GAS,2021-01-18,69.82,69.82,68.22,68.76,972000,1,1,2021
GAS,2021-01-19,68.76,68.76,63.97,64.51,1158400,1,1,2021
GAS,2021-01-20,65.269,65.65,60.87,65.65,1022600,1,1,2021
GAS,2021-01-21,66.41,66.72,65.65,66.41,966400,1,1,2021
GAS,2021-01-22,66.41,66.78,65.57,65.72,1062200,1,1,2021
GAS,2021-01-25,65.5,65.8,64.209,64.28,1225400,1,1,2021
GAS,2021-01-26,64.36,64.36,61.47,63.22,1329100,1,1,2021
GAS,2021-01-27,63.22,63.22,59.96,59.96,940900,1,1,2021
GAS,2021-01-28,56.16,59.19,55.78,55.78,1569900,1,1,2021
GAS,2021-01-29,55.78,59.19,55.02,57.91,902600,1,1,2021
GAS,2021-02-01,58.28,58.97,56.54,57.07,670300,2,1,2021
GAS,2021-02-02,57.07,58.44,56.77,58.06,934100,2,1,2021
GAS,2021-02-03,59.58,60.72,59.19,60.72,874500,2,1,2021
GAS,2021-02-04,61.47,62.01,60.56,61.47,790800,2,1,2021
GAS,2021-02-05,62.38,62.99,61.62,61.62,799000,2,1,2021
GAS,2021-02-08,62.83,62.92,58.52,59.96,1695100,2,1,2021
GAS,2021-02-09,60.33,61.7,59.19,61.7,1216500,2,1,2021
GAS,2021-02-17,64.51,65.95,63.37,65.95,1923100,2,1,2021
GAS,2021-02-18,67.47,68.68,66.26,68.37,2259700,2,1,2021
GAS,2021-02-19,66.78,67.92,66.78,67.47,1134700,2,1,2021
GAS,2021-02-22,66.78,67.69,66.1,66.94,1156500,2,1,2021
GAS,2021-02-23,68.31,68.53,67.24,67.85,1546200,2,1,2021
GAS,2021-02-24,67.55,67.55,66.03,66.87,820100,2,1,2021
GAS,2021-02-25,67.55,67.85,66.94,67.69,1366000,2,1,2021
GAS,2021-02-26,66.18,67.77,66.18,67.77,872900,2,1,2021
GAS,2021-03-01,68.53,69.74,67.85,69.74,1661100,3,1,2021
GAS,2021-03-02,69.82,70.96,69.06,69.06,1386700,3,1,2021
GAS,2021-03-03,69.06,69.44,68.46,69.06,696900,3,1,2021
