Ticker,Date,Open,High,Low,Close,Volume,Month,Quarter,Year
GAS,2018-03-01,75.1,78.03,74.44,77.1,875090,3,1,2018
GAS,2018-03-02,75.77,78.43,75.77,77.77,923410,3,1,2018
GAS,2018-03-05,79.09,79.96,74.44,74.44,822020,3,1,2018
GAS,2018-03-06,76.43,77.9,75.1,77.77,806110,3,1,2018
GAS,2018-03-07,77.77,78.29,74.11,76.3,718330,3,1,2018
GAS,2018-03-08,75.17,77.7,75.17,76.17,301630,3,1,2018
GAS,2018-03-09,76.3,76.77,74.44,74.44,606610,3,1,2018
GAS,2018-03-12,77.1,77.62,75.77,77.23,504770,3,1,2018
GAS,2018-03-13,77.23,77.23,75.71,76.43,218290,3,1,2018
GAS,2018-03-14,76.43,78.76,76.17,78.56,816130,3,1,2018
GAS,2018-03-15,77.77,80.42,77.1,80.42,577980,3,1,2018
GAS,2018-03-16,80.42,85.07,79.62,85.07,1231950,3,1,2018
GAS,2018-03-19,84.41,86.07,84.07,85.41,727400,3,1,2018
GAS,2018-03-20,84.07,85.74,83.75,83.75,619750,3,1,2018
GAS,2018-03-21,85.07,86.13,84.07,84.54,621450,3,1,2018
GAS,2018-03-22,86.27,89.66,85.61,88.92,898250,3,1,2018
GAS,2018-03-23,86.07,87.73,85.41,87.01,722160,3,1,2018
GAS,2018-03-26,86.4,90.26,86.13,86.13,960430,3,1,2018
GAS,2018-03-27,87.73,88.4,83.61,84.27,854590,3,1,2018
GAS,2018-03-28,84.34,84.74,83.41,84.41,420920,3,1,2018
GAS,2018-03-29,84.41,84.54,83.41,84.07,254020,3,1,2018
GAS,2018-03-30,84.41,87.53,84.07,87.33,606010,3,1,2018
GAS,2018-04-02,87.73,90.66,87.53,90.46,811810,4,2,2018
GAS,2018-04-03,90.46,90.46,88.4,88.4,738610,4,2,2018
GAS,2018-04-04,89.66,89.73,85.74,86.4,851340,4,2,2018
GAS,2018-04-05,86.4,87.07,84.14,86.34,1029020,4,2,2018
GAS,2018-04-06,86.4,88.33,85.41,86.27,327230,4,2,2018
GAS,2018-04-09,85.14,87.07,85.07,86.27,419850,4,2,2018
GAS,2018-04-10,86.4,87.4,86.07,86.07,594310,4,2,2018
GAS,2018-04-11,87.4,88.07,84.07,84.07,819030,4,2,2018
GAS,2018-04-12,85.07,86.74,83.75,86.74,791540,4,2,2018
GAS,2018-04-13,87.73,87.73,83.75,85.07,410160,4,2,2018
GAS,2018-04-16,86.07,86.07,83.87,84.61,379940,4,2,2018
GAS,2018-04-17,84.41,85.47,82.42,85.07,646850,4,2,2018
GAS,2018-04-18,85.87,86.21,84.48,85.94,804260,4,2,2018
GAS,2018-04-19,86.93,87.87,85.14,85.94,1152430,4,2,2018
GAS,2018-04-20,85.21,89.07,85.21,89.07,947250,4,2,2018
GAS,2018-04-23,88.87,90.39,82.88,82.88,925000,4,2,2018
GAS,2018-04-24,82.88,86.07,78.43,85.61,642240,4,2,2018
GAS,2018-04-26,85.67,86.07,79.62,79.62,1075280,4,2,2018
GAS,2018-04-27,77.1,79.56,74.11,74.11,953420,4,2,2018
GAS,2019-03-01,68.99,69.33,68.22,69.33,549800,3,1,2019
GAS,2019-03-04,70.17,71.42,70.17,71.42,1064060,3,1,2019
GAS,2019-03-05,70.38,72.8,70.17,72.11,878610,3,1,2019
GAS,2019-03-06,71.49,72.11,70.38,72.11,607480,3,1,2019
GAS,2019-03-07,72.46,73.16,71.42,71.42,636880,3,1,2019
GAS,2019-03-08,70.79,71.21,69.82,70.03,717540,3,1,2019
GAS,2019-03-11,70.03,70.1,68.58,69.48,497400,3,1,2019
GAS,2019-03-12,70.72,70.72,69.48,70.66,528030,3,1,2019
GAS,2019-03-13,71.42,71.7,70.03,70.44,452730,3,1,2019
GAS,2019-03-14,71.07,71.56,70.44,70.93,746300,3,1,2019
GAS,2019-03-15,72.13,72.21,71.42,71.85,624450,3,1,2019
GAS,2019-03-18,72.13,73.9,72.06,73.55,824960,3,1,2019
GAS,2019-03-19,74.18,74.26,72.49,73.2,754590,3,1,2019
GAS,2019-03-20,72.84,72.84,71.5,72.27,592690,3,1,2019
GAS,2019-03-21,73.2,73.2,70.01,70.01,689690,3,1,2019
GAS,2019-03-22,70.66,71.0,69.8,70.66,715730,3,1,2019
GAS,2019-03-25,68.25,69.45,67.61,69.45,875550,3,1,2019
GAS,2019-03-26,70.01,70.01,68.03,68.67,349120,3,1,2019
GAS,2019-03-27,69.73,69.73,68.67,68.74,371570,3,1,2019
GAS,2019-03-28,67.9,69.73,67.9,69.73,340660,3,1,2019
GAS,2019-03-29,69.95,70.37,69.37,69.45,255710,3,1,2019
GAS,2019-04-01,69.66,71.42,69.66,71.22,433760,4,2,2019
GAS,2019-04-02,72.21,72.56,71.42,71.42,563160,4,2,2019
GAS,2019-04-03,71.5,72.06,70.79,71.78,451150,4,2,2019
GAS,2019-04-04,72.06,72.27,71.57,71.64,379650,4,2,2019
GAS,2019-04-05,71.64,73.41,71.42,73.41,845350,4,2,2019
GAS,2019-04-08,74.26,75.67,74.26,75.67,886190,4,2,2019
GAS,2019-04-09,76.38,76.38,73.9,74.26,705700,4,2,2019
GAS,2019-04-10,73.9,74.76,73.47,74.4,467860,4,2,2019
GAS,2019-04-11,75.1,75.1,74.26,74.26,281390,4,2,2019
GAS,2019-04-12,73.9,75.88,73.34,75.32,393550,4,2,2019
GAS,2019-04-16,74.26,74.82,73.55,74.47,303000,4,2,2019
