Ticker,Date,Open,High,Low,Close,Volume,Month,Quarter,Year
GMD,2018-01-02,25.68,26.48,25.68,26.39,794550,1,1,2018
GMD,2018-01-03,26.51,27.6,26.51,27.08,1762650,1,1,2018
GMD,2018-01-04,27.28,27.43,26.86,27.08,1082300,1,1,2018
GMD,2018-01-05,27.03,27.38,26.83,27.21,1046650,1,1,2018
GMD,2018-01-08,27.35,28.34,27.21,28.11,1810290,1,1,2018
GMD,2018-01-09,28.43,28.62,27.79,28.49,1402210,1,1,2018
GMD,2018-01-10,28.49,29.03,28.17,28.74,1485000,1,1,2018
GMD,2018-01-11,28.74,29.58,28.2,29.45,1775630,1,1,2018
GMD,2018-01-12,29.06,29.7,29.01,29.06,1827630,1,1,2018
GMD,2018-01-15,29.06,29.26,28.62,29.03,861110,1,1,2018
GMD,2018-01-16,29.03,29.77,28.68,29.03,2004840,1,1,2018
GMD,2018-01-17,27.79,29.26,27.79,27.79,1324840,1,1,2018
GMD,2018-01-18,27.35,28.04,26.83,28.04,946820,1,1,2018
GMD,2018-01-19,28.11,28.3,27.6,28.3,706300,1,1,2018
GMD,2018-01-22,28.3,28.74,27.79,28.24,695700,1,1,2018
GMD,2018-01-25,28.3,28.56,27.79,27.92,1292720,1,1,2018
GMD,2018-01-26,28.2,28.24,27.15,27.47,694100,1,1,2018
GMD,2018-01-29,27.79,27.79,26.71,26.71,1158650,1,1,2018
GMD,2018-01-30,26.71,28.11,26.51,28.11,811820,1,1,2018
GMD,2018-01-31,28.11,28.91,27.6,28.04,1871530,1,1,2018
GMD,2018-02-01,28.11,28.24,27.15,27.28,732920,2,1,2018
GMD,2018-02-02,27.47,27.47,26.83,26.89,897050,2,1,2018
GMD,2018-02-05,26.89,27.66,26.39,26.51,1180690,2,1,2018
GMD,2018-02-06,25.23,25.55,24.66,24.91,2086620,2,1,2018
GMD,2018-02-07,25.87,26.07,25.26,25.52,699780,2,1,2018
GMD,2018-02-08,25.55,25.55,24.59,24.79,481440,2,1,2018
GMD,2018-02-09,24.27,25.55,23.95,24.91,872640,2,1,2018
GMD,2018-02-12,24.91,26.19,24.91,25.52,507750,2,1,2018
GMD,2018-02-13,25.55,26.57,25.55,26.19,637240,2,1,2018
GMD,2018-02-21,26.61,26.83,26.19,26.8,407430,2,1,2018
GMD,2018-02-22,26.71,27.18,26.19,26.19,846990,2,1,2018
GMD,2018-02-23,26.51,27.35,26.39,27.35,1237420,2,1,2018
GMD,2018-02-26,28.74,28.74,27.72,27.79,3058040,2,1,2018
GMD,2018-02-27,27.85,27.98,27.35,27.53,1138670,2,1,2018
GMD,2018-02-28,27.21,27.53,26.57,26.57,2057200,2,1,2018
GMD,2018-03-01,27.03,27.79,26.83,27.15,1955670,3,1,2018
GMD,2018-03-02,27.21,28.11,27.15,28.11,2095170,3,1,2018
GMD,2018-03-05,28.74,28.74,27.6,27.6,2292950,3,1,2018
GMD,2018-03-06,27.79,27.98,27.63,27.79,1217030,3,1,2018
GMD,2018-03-07,27.79,28.3,27.21,27.35,1633850,3,1,2018
GMD,2018-03-08,27.47,27.6,26.96,27.15,2768230,3,1,2018
GMD,2018-03-09,27.94,27.94,25.42,25.97,2248430,3,1,2018
GMD,2018-03-12,25.97,26.12,24.4,25.57,2254840,3,1,2018
GMD,2018-03-13,25.57,25.57,24.48,24.79,1105500,3,1,2018
