Ticker,Date,Open,High,Low,Close,Volume,Month,Quarter,Year
GMD,2021-01-04,30.44,31.36,30.26,30.54,4226500,1,1,2021
GMD,2021-01-05,30.54,31.78,30.21,31.18,4851900,1,1,2021
GMD,2021-01-06,31.55,31.55,30.54,30.81,3641300,1,1,2021
GMD,2021-01-07,31.09,31.83,29.98,31.36,5753700,1,1,2021
GMD,2021-01-08,31.73,32.1,30.91,31.27,4587500,1,1,2021
GMD,2021-01-11,31.64,31.69,30.99,31.46,4088600,1,1,2021
GMD,2021-01-12,31.78,33.53,31.73,33.53,7879300,1,1,2021
GMD,2021-01-13,34.13,34.41,32.8,33.12,5334400,1,1,2021
GMD,2021-01-14,33.12,33.21,32.47,32.98,3097100,1,1,2021
GMD,2021-01-15,33.03,33.62,32.75,32.98,3847900,1,1,2021
GMD,2021-01-18,32.98,32.98,32.2,32.2,3669100,1,1,2021
GMD,2021-01-19,31.83,32.1,29.98,29.98,5956600,1,1,2021
GMD,2021-01-20,29.62,30.44,27.91,28.83,5114900,1,1,2021
GMD,2021-01-21,29.25,30.44,28.68,30.17,2930000,1,1,2021
GMD,2021-01-22,30.17,30.44,29.43,29.62,2511900,1,1,2021
GMD,2021-01-25,29.52,31.36,29.1,29.98,4009100,1,1,2021
GMD,2021-01-26,29.98,30.39,28.87,29.7,2603300,1,1,2021
GMD,2021-01-27,29.43,30.17,28.13,28.55,2641400,1,1,2021
GMD,2021-01-28,26.57,27.31,26.57,26.57,2662300,1,1,2021
GMD,2021-01-29,24.72,27.49,24.72,27.49,4405300,1,1,2021
GMD,2021-02-01,26.76,27.4,25.6,25.6,4364400,2,1,2021
GMD,2021-02-02,24.9,25.65,23.85,25.55,3078300,2,1,2021
GMD,2021-02-03,25.92,26.98,25.5,26.79,3536000,2,1,2021
GMD,2021-02-04,26.76,28.09,26.29,28.04,4194600,2,1,2021
GMD,2021-02-05,27.81,28.68,27.63,28.6,2379300,2,1,2021
GMD,2021-02-08,28.6,28.6,26.61,27.26,2714400,2,1,2021
GMD,2021-02-09,27.26,28.28,27.12,28.23,2053700,2,1,2021
GMD,2021-02-17,29.15,30.17,28.28,30.17,3496400,2,1,2021
GMD,2021-02-18,30.44,31.18,29.7,30.54,3318800,2,1,2021
GMD,2021-02-19,29.98,31.18,29.94,30.91,3302700,2,1,2021
GMD,2021-02-22,30.91,31.36,30.02,30.81,2069300,2,1,2021
GMD,2021-02-23,30.62,30.81,29.98,30.44,1858900,2,1,2021
GMD,2021-02-24,30.49,30.81,29.98,30.12,2287600,2,1,2021
GMD,2021-02-25,30.44,30.86,29.89,30.44,2041000,2,1,2021
GMD,2021-02-26,29.89,31.32,29.89,30.91,2507700,2,1,2021
GMD,2021-03-01,31.36,31.83,31.18,31.69,3084500,3,1,2021
GMD,2021-03-02,31.83,31.83,31.09,31.36,1940500,3,1,2021
GMD,2021-03-03,31.51,31.51,30.91,30.99,2364900,3,1,2021
GMD,2021-03-04,30.99,31.46,29.33,29.8,2564700,3,1,2021
GMD,2021-03-05,29.62,30.17,28.6,30.17,2472100,3,1,2021
GMD,2021-03-08,30.58,30.62,29.38,29.65,2298300,3,1,2021
GMD,2021-03-09,29.43,29.47,28.68,29.25,2346400,3,1,2021
GMD,2021-03-10,29.25,29.7,28.78,29.62,1148200,3,1,2021
GMD,2021-03-11,29.62,30.17,29.52,29.7,1781000,3,1,2021
GMD,2021-03-12,29.89,29.89,29.33,29.52,1763400,3,1,2021
GMD,2021-03-15,29.52,30.07,29.33,29.47,1528800,3,1,2021
GMD,2021-03-16,29.52,30.35,29.33,30.26,2630500,3,1,2021
GMD,2021-03-17,30.26,30.86,30.26,30.76,2915000,3,1,2021
GMD,2021-03-18,30.99,31.09,30.44,30.62,1467400,3,1,2021
GMD,2021-03-19,30.44,30.62,30.12,30.39,1836100,3,1,2021
GMD,2021-03-22,31.09,32.2,31.09,31.91,5846400,3,1,2021
GMD,2021-03-23,31.91,32.009,30.81,31.55,2503700,3,1,2021
GMD,2021-03-24,30.81,31.36,30.07,30.62,1845300,3,1,2021
GMD,2021-03-25,30.62,30.81,29.89,30.44,2056300,3,1,2021
GMD,2021-03-26,29.89,30.26,28.87,29.98,2443000,3,1,2021
GMD,2021-03-29,30.35,30.44,30.07,30.44,998000,3,1,2021
GMD,2021-03-30,30.44,31.64,30.26,31.23,4080500,3,1,2021
GMD,2021-03-31,31.23,31.83,31.09,31.23,2916600,3,1,2021
GMD,2021-04-01,31.23,32.06,30.99,31.96,3630100,4,2,2021
GMD,2021-04-02,32.56,32.56,31.73,32.1,2308700,4,2,2021
GMD,2021-04-05,32.1,32.2,31.41,31.78,2362000,4,2,2021
GMD,2021-04-06,31.36,31.78,31.32,31.73,2608200,4,2,2021
GMD,2021-04-07,31.55,33.4,31.55,33.07,5418300,4,2,2021
GMD,2021-04-08,33.17,33.21,32.38,32.56,2073800,4,2,2021
GMD,2021-04-09,32.28,33.58,32.1,32.93,2762900,4,2,2021
GMD,2021-04-12,33.03,33.12,32.52,32.93,2607300,4,2,2021
GMD,2021-04-13,33.12,33.21,32.1,32.2,2997600,4,2,2021
GMD,2021-04-14,31.55,32.1,31.46,31.91,1693600,4,2,2021
GMD,2021-04-15,31.91,33.21,30.99,31.59,2739000,4,2,2021
GMD,2021-04-16,31.46,31.96,30.17,30.91,2765600,4,2,2021
GMD,2021-04-19,30.72,31.27,30.44,31.18,1425700,4,2,2021
GMD,2021-04-20,31.18,31.55,30.44,30.72,1863500,4,2,2021
GMD,2021-04-22,30.44,30.91,29.52,29.52,2481300,4,2,2021
GMD,2021-04-23,29.52,31.04,29.25,30.91,2337100,4,2,2021
GMD,2021-04-26,31.36,31.36,30.35,30.44,1204100,4,2,2021
GMD,2021-04-27,30.26,31.18,30.17,30.76,1499100,4,2,2021
GMD,2021-04-28,30.67,31.14,30.67,31.09,1865500,4,2,2021
GMD,2021-04-29,31.09,31.55,31.09,31.55,2485800,4,2,2021
GMD,2022-01-04,44.94,45.07,44.46,44.84,1193000,1,1,2022
GMD,2022-01-05,44.94,45.36,44.65,45.03,1718500,1,1,2022
GMD,2022-01-06,44.94,45.03,44.27,44.27,1897700,1,1,2022
GMD,2022-01-07,44.27,46.12,44.27,45.55,2117300,1,1,2022
GMD,2022-01-10,45.55,45.55,44.13,44.18,972800,1,1,2022
GMD,2022-01-11,43.71,44.46,43.33,43.33,1008500,1,1,2022
GMD,2022-01-12,43.43,44.04,41.15,41.95,2682300,1,1,2022
GMD,2022-01-13,42.57,42.95,41.62,41.62,1660400,1,1,2022
GMD,2022-01-14,41.52,41.62,40.49,40.49,1693300,1,1,2022
GMD,2022-01-17,40.68,41.44,38.31,38.31,2185900,1,1,2022
GMD,2022-01-18,37.79,39.35,37.79,38.93,1618700,1,1,2022
GMD,2022-01-19,38.93,40.21,38.93,39.26,927700,1,1,2022
GMD,2022-01-20,39.73,40.11,39.55,39.78,647100,1,1,2022
GMD,2022-01-21,40.16,40.3,39.73,39.73,602300,1,1,2022
GMD,2022-01-24,39.83,39.83,38.45,38.69,1133000,1,1,2022
GMD,2022-01-25,38.22,40.73,38.22,40.68,1209500,1,1,2022
GMD,2022-01-26,41.49,41.49,39.73,39.73,1047600,1,1,2022
GMD,2022-01-27,39.73,40.82,39.73,40.01,925200,1,1,2022
GMD,2022-01-28,40.21,40.91,39.78,40.68,1276600,1,1,2022
GMD,2022-02-07,41.49,43.51,41.49,43.51,1355200,2,1,2022
GMD,2022-02-08,43.94,44.94,43.51,44.13,1632900,2,1,2022
GMD,2022-02-09,44.46,45.88,43.99,45.88,2810900,2,1,2022
GMD,2022-02-10,45.78,45.78,44.94,45.17,1635600,2,1,2022
GMD,2022-02-11,45.17,46.07,44.94,45.74,1659800,2,1,2022
GMD,2022-02-14,45.6,47.01,44.37,46.26,2783900,2,1,2022
GMD,2022-02-15,46.26,46.45,45.69,46.26,1162000,2,1,2022
GMD,2022-02-16,45.88,47.06,45.88,46.73,1462200,2,1,2022
GMD,2022-02-17,47.3,48.53,47.06,48.44,3545000,2,1,2022
GMD,2022-02-18,48.24,49.28,47.77,49.1,3444800,2,1,2022
GMD,2022-02-21,49.0,49.66,48.44,48.44,1489200,2,1,2022
GMD,2022-02-22,47.77,49.57,46.83,49.38,3583400,2,1,2022
GMD,2022-02-23,49.38,50.42,49.1,49.28,2823400,2,1,2022
GMD,2022-02-24,48.72,49.95,47.49,48.62,2961300,2,1,2022
GMD,2022-02-25,49.2,49.85,47.49,47.77,2841200,2,1,2022
GMD,2022-02-28,47.87,48.44,46.26,47.01,3043400,2,1,2022
GMD,2022-03-01,47.77,48.72,46.96,47.3,2258800,3,1,2022
GMD,2022-03-02,47.01,48.24,46.16,48.15,2071300,3,1,2022
GMD,2022-03-03,47.87,51.46,47.39,51.46,6625300,3,1,2022
GMD,2022-03-04,53.26,53.92,51.75,52.03,3852900,3,1,2022
GMD,2022-03-07,51.94,54.87,51.56,52.98,3512100,3,1,2022
GMD,2022-03-08,52.4,53.16,49.76,49.76,4881800,3,1,2022
GMD,2022-03-09,50.04,53.16,49.76,53.16,6222700,3,1,2022
GMD,2022-03-10,53.92,54.59,51.56,52.03,4931700,3,1,2022
GMD,2022-03-11,52.03,53.36,51.56,52.7,3028400,3,1,2022
GMD,2022-03-14,52.03,53.16,49.1,49.1,6156600,3,1,2022
GMD,2022-03-15,47.77,49.85,46.35,49.57,4176100,3,1,2022
GMD,2022-03-16,50.04,51.37,49.48,50.61,2357300,3,1,2022
GMD,2022-03-17,50.71,51.09,49.57,50.14,2264900,3,1,2022
GMD,2022-03-18,50.51,51.56,49.85,50.99,2628000,3,1,2022
GMD,2022-03-21,51.09,51.75,50.61,51.46,2407700,3,1,2022
GMD,2022-03-22,51.46,52.78,50.42,51.65,3443500,3,1,2022
