Ticker,Date,Open,High,Low,Close,Volume,Month,Quarter,Year
HDG,2018-01-02,8.62,8.74,8.62,8.69,37950,1,1,2018
HDG,2018-01-03,8.74,9.12,8.74,8.99,49680,1,1,2018
HDG,2018-01-04,9.07,9.07,8.86,8.86,55910,1,1,2018
HDG,2018-01-05,8.86,8.86,8.7,8.82,26250,1,1,2018
HDG,2018-01-08,8.82,8.94,8.77,8.92,30260,1,1,2018
HDG,2018-01-09,8.99,9.5,8.82,9.5,241000,1,1,2018
HDG,2018-01-10,9.5,9.5,9.17,9.32,88520,1,1,2018
HDG,2018-01-11,9.14,9.32,9.12,9.27,80280,1,1,2018
HDG,2018-01-12,8.99,9.27,8.99,8.99,70510,1,1,2018
HDG,2018-01-15,9.3,9.34,9.04,9.12,88420,1,1,2018
HDG,2018-01-16,9.22,9.3,9.1,9.22,65850,1,1,2018
HDG,2018-01-17,9.12,9.25,9.12,9.12,44800,1,1,2018
HDG,2018-01-18,9.14,9.14,8.98,9.12,64950,1,1,2018
HDG,2018-01-19,9.12,9.22,9.12,9.19,84120,1,1,2018
HDG,2018-01-22,9.25,9.47,9.25,9.47,131950,1,1,2018
HDG,2018-01-25,9.62,9.62,9.4,9.51,87390,1,1,2018
HDG,2018-01-26,9.55,10.17,9.51,10.17,372850,1,1,2018
HDG,2018-01-29,10.17,10.77,10.14,10.74,245180,1,1,2018
HDG,2018-01-30,10.69,10.9,10.51,10.9,310230,1,1,2018
HDG,2018-01-31,10.9,10.94,10.51,10.64,266910,1,1,2018
HDG,2018-02-01,10.41,10.77,10.38,10.54,197980,2,1,2018
HDG,2018-02-02,10.56,10.69,10.49,10.64,58670,2,1,2018
HDG,2018-02-05,10.77,11.22,10.45,10.79,303300,2,1,2018
HDG,2018-02-06,10.29,10.56,10.29,10.41,475770,2,1,2018
HDG,2018-02-07,10.59,10.74,10.59,10.69,185450,2,1,2018
HDG,2018-02-08,10.54,10.77,10.51,10.77,62020,2,1,2018
HDG,2018-02-09,10.64,10.86,10.59,10.71,90990,2,1,2018
HDG,2018-02-12,10.74,10.84,10.7,10.71,268830,2,1,2018
HDG,2018-02-13,10.71,11.14,10.71,10.9,416580,2,1,2018
HDG,2018-02-21,10.99,11.6,10.97,11.02,211500,2,1,2018
HDG,2018-02-22,11.02,11.05,10.94,11.02,302740,2,1,2018
HDG,2018-02-23,11.02,11.78,11.02,11.78,515730,2,1,2018
HDG,2018-02-26,12.16,12.16,11.68,11.86,179180,2,1,2018
HDG,2018-02-27,12.03,12.67,11.78,12.67,164490,2,1,2018
HDG,2018-02-28,12.54,12.9,12.34,12.34,222790,2,1,2018
HDG,2018-03-01,12.34,12.6,12.19,12.26,161820,3,1,2018
HDG,2018-03-02,12.29,12.8,12.19,12.54,50000,3,1,2018
HDG,2018-03-05,12.73,12.96,12.6,12.6,151700,3,1,2018
HDG,2018-03-06,12.6,12.73,12.54,12.73,121050,3,1,2018
HDG,2018-03-07,12.58,12.93,12.58,12.75,210320,3,1,2018
HDG,2018-03-08,12.67,12.78,12.65,12.75,50110,3,1,2018
HDG,2018-03-09,12.8,13.16,12.73,12.75,128150,3,1,2018
HDG,2018-03-12,12.93,12.93,12.39,12.42,154990,3,1,2018
HDG,2018-03-13,12.42,12.58,12.42,12.52,73540,3,1,2018
HDG,2018-03-14,12.42,12.79,12.42,12.54,96290,3,1,2018
HDG,2018-03-15,12.46,12.7,12.46,12.52,81500,3,1,2018
HDG,2018-03-16,12.52,12.67,12.52,12.56,92250,3,1,2018
HDG,2018-03-19,12.67,12.75,12.6,12.73,208690,3,1,2018
HDG,2018-03-20,12.73,12.75,12.58,12.7,101740,3,1,2018
HDG,2018-03-21,12.7,12.7,12.47,12.5,118240,3,1,2018
HDG,2018-03-22,12.5,12.54,12.32,12.32,180310,3,1,2018
HDG,2018-03-23,11.9,12.54,11.9,12.54,219750,3,1,2018
HDG,2018-03-26,12.54,12.78,12.42,12.54,57030,3,1,2018
HDG,2018-03-27,12.62,12.65,12.47,12.54,75440,3,1,2018
HDG,2018-03-28,12.54,12.6,12.37,12.47,54990,3,1,2018
HDG,2018-03-29,12.65,12.65,12.34,12.42,112660,3,1,2018
HDG,2018-03-30,12.37,12.54,12.35,12.54,58800,3,1,2018
HDG,2018-04-02,12.54,12.62,12.45,12.54,103690,4,2,2018
HDG,2018-04-03,12.54,13.42,12.54,13.42,564860,4,2,2018
HDG,2018-04-04,13.86,14.03,13.42,13.42,259150,4,2,2018
HDG,2018-04-05,13.78,13.82,13.44,13.7,156320,4,2,2018
HDG,2018-04-06,13.82,13.82,13.31,13.37,223940,4,2,2018
HDG,2018-04-09,13.31,13.42,13.18,13.29,187690,4,2,2018
HDG,2018-04-10,13.24,13.44,13.16,13.31,214370,4,2,2018
HDG,2018-04-11,13.29,13.31,12.67,12.67,220130,4,2,2018
HDG,2018-04-12,12.67,13.54,12.58,13.44,551920,4,2,2018
HDG,2018-04-13,13.75,13.75,12.96,13.09,228650,4,2,2018
HDG,2018-04-16,13.09,13.18,13.01,13.06,110140,4,2,2018
HDG,2018-04-17,12.98,13.16,12.8,12.98,144560,4,2,2018
HDG,2018-04-18,12.93,12.93,12.78,12.83,104200,4,2,2018
HDG,2018-04-19,12.83,12.93,12.65,12.8,106900,4,2,2018
HDG,2018-04-20,12.78,12.8,12.52,12.67,172190,4,2,2018
HDG,2018-04-23,12.7,13.11,11.86,11.86,304550,4,2,2018
HDG,2018-04-24,12.26,12.26,11.65,11.65,119120,4,2,2018
HDG,2018-04-26,11.65,11.78,10.85,10.85,221250,4,2,2018
HDG,2018-04-27,10.86,11.26,10.86,10.94,171350,4,2,2018
HDG,2018-05-02,11.01,11.26,10.19,10.19,249010,5,2,2018
HDG,2018-05-03,10.19,10.19,9.49,10.17,680160,5,2,2018
HDG,2018-05-04,10.24,10.37,9.98,10.02,165170,5,2,2018
HDG,2018-05-07,9.81,10.24,9.73,10.17,127360,5,2,2018
HDG,2018-05-08,10.02,10.22,9.98,10.11,159790,5,2,2018
HDG,2018-05-09,10.14,10.5,10.11,10.3,132810,5,2,2018
HDG,2018-05-10,10.26,10.27,10.04,10.04,151120,5,2,2018
HDG,2018-05-11,9.98,10.06,9.76,9.89,100520,5,2,2018
