Ticker,Date,Open,High,Low,Close,Volume,Month,Quarter,Year
HDG,2021-01-04,21.66,22.41,21.22,22.25,1698700,1,1,2021
HDG,2021-01-05,22.25,23.8,21.87,23.78,1770900,1,1,2021
HDG,2021-01-06,23.78,24.39,23.05,23.21,2359500,1,1,2021
HDG,2021-01-07,23.18,23.42,22.67,23.21,1726400,1,1,2021
HDG,2021-01-08,23.32,23.7,22.83,23.16,1321100,1,1,2021
HDG,2021-01-11,23.34,23.54,22.83,23.0,1795000,1,1,2021
HDG,2021-01-12,23.16,23.18,22.67,23.0,1300800,1,1,2021
HDG,2021-01-13,23.05,23.1,22.57,22.59,1687400,1,1,2021
HDG,2021-01-14,22.59,22.59,21.55,22.38,1926600,1,1,2021
HDG,2021-01-15,22.67,23.21,22.67,23.0,1792800,1,1,2021
HDG,2021-01-18,23.32,24.39,22.94,23.86,2561300,1,1,2021
HDG,2021-01-19,23.86,23.86,22.19,22.41,1756900,1,1,2021
HDG,2021-01-20,22.54,22.89,21.22,22.78,1603600,1,1,2021
HDG,2021-01-21,23.21,23.21,22.51,23.18,1221800,1,1,2021
HDG,2021-01-22,23.18,24.79,23.1,24.42,4196400,1,1,2021
HDG,2021-01-25,24.86,24.97,24.11,24.61,1628200,1,1,2021
HDG,2021-01-26,24.2,24.5,22.91,23.24,1773200,1,1,2021
HDG,2021-01-27,22.74,23.02,21.62,21.62,3134000,1,1,2021
HDG,2021-01-28,20.11,21.15,20.11,20.11,3128200,1,1,2021
HDG,2021-01-29,18.8,20.99,18.8,20.74,1602900,1,1,2021
HDG,2021-02-01,20.74,20.82,19.32,19.32,1570700,2,1,2021
HDG,2021-02-02,19.32,20.53,18.91,20.53,1953400,2,1,2021
HDG,2021-02-03,20.82,21.26,20.44,21.07,1640200,2,1,2021
HDG,2021-02-04,21.24,21.34,20.66,21.32,1233800,2,1,2021
HDG,2021-02-05,21.32,22.42,20.97,22.09,916400,2,1,2021
HDG,2021-02-08,22.3,22.34,20.66,21.15,1539700,2,1,2021
HDG,2021-02-09,21.21,21.7,20.44,21.59,1769900,2,1,2021
HDG,2021-02-17,21.65,23.02,21.65,22.74,952500,2,1,2021
HDG,2021-02-18,22.91,22.99,22.47,22.72,943000,2,1,2021
HDG,2021-02-19,22.72,23.84,22.47,23.18,1742400,2,1,2021
HDG,2021-02-22,23.13,23.26,22.82,23.02,978300,2,1,2021
HDG,2021-02-23,22.69,23.32,22.69,22.91,1136200,2,1,2021
HDG,2021-02-24,22.94,23.3,22.09,22.3,1526900,2,1,2021
HDG,2021-02-25,22.3,22.72,22.2,22.44,1547700,2,1,2021
HDG,2021-02-26,21.92,22.86,21.92,22.8,1218800,2,1,2021
HDG,2021-03-01,23.02,23.3,22.91,23.05,2086700,3,1,2021
HDG,2021-03-02,23.3,23.7,23.1,23.46,2610200,3,1,2021
HDG,2021-03-03,23.68,24.39,23.68,24.28,2941100,3,1,2021
HDG,2021-03-04,24.39,24.97,23.57,24.34,3012500,3,1,2021
HDG,2021-03-05,24.01,24.28,23.3,24.06,1406500,3,1,2021
HDG,2021-03-08,24.11,24.39,24.01,24.28,1678400,3,1,2021
HDG,2021-03-09,24.11,25.98,23.57,25.87,4276000,3,1,2021
HDG,2021-03-10,25.98,26.2,25.65,25.87,1410400,3,1,2021
HDG,2021-03-11,25.82,25.87,25.59,25.59,1113800,3,1,2021
HDG,2021-03-12,25.54,26.28,25.54,25.76,2050900,3,1,2021
HDG,2021-03-15,25.76,26.09,25.59,25.68,1456000,3,1,2021
HDG,2021-03-16,25.76,26.09,25.65,25.95,2067400,3,1,2021
HDG,2021-03-17,25.95,26.03,25.9,26.01,1244300,3,1,2021
HDG,2021-03-18,26.3,26.3,25.74,25.87,1564000,3,1,2021
HDG,2021-03-19,25.76,26.12,25.76,26.09,1595300,3,1,2021
HDG,2021-03-22,26.3,26.3,26.03,26.09,1646400,3,1,2021
HDG,2021-03-23,25.93,25.93,24.94,25.21,1858100,3,1,2021
HDG,2021-03-24,24.45,24.97,23.51,23.84,2640700,3,1,2021
HDG,2021-03-25,23.84,24.01,22.47,23.68,1597900,3,1,2021
HDG,2021-03-26,23.57,23.68,22.42,23.46,1253300,3,1,2021
HDG,2021-03-29,23.62,23.84,23.49,23.82,868200,3,1,2021
HDG,2021-03-30,23.84,23.84,23.35,23.62,819300,3,1,2021
HDG,2021-03-31,23.57,23.78,23.24,23.68,1120800,3,1,2021
HDG,2021-04-01,23.68,24.11,23.46,24.11,791900,4,2,2021
HDG,2021-04-02,24.39,24.39,23.84,24.06,821400,4,2,2021
HDG,2021-04-05,24.06,24.14,23.57,23.9,850700,4,2,2021
HDG,2021-04-06,23.68,23.84,23.49,23.57,1037000,4,2,2021
HDG,2021-04-07,23.46,24.06,23.43,23.95,612100,4,2,2021
HDG,2021-04-08,24.06,24.09,23.84,23.84,816600,4,2,2021
HDG,2021-04-09,23.84,23.92,23.78,23.84,675900,4,2,2021
HDG,2021-04-12,23.9,24.61,23.9,24.28,1781000,4,2,2021
HDG,2021-04-13,24.28,24.39,23.57,23.78,985200,4,2,2021
HDG,2021-04-14,23.43,23.73,22.97,23.68,797000,4,2,2021
HDG,2021-04-15,23.4,23.46,22.97,23.18,1295900,4,2,2021
HDG,2021-04-16,22.86,23.13,21.82,22.44,1484200,4,2,2021
HDG,2021-04-19,22.69,22.69,21.87,22.44,695500,4,2,2021
HDG,2021-04-20,22.42,22.47,21.87,21.95,867500,4,2,2021
HDG,2021-04-22,21.7,21.92,20.47,20.47,1749500,4,2,2021
HDG,2021-04-23,20.47,21.59,20.28,21.1,1107800,4,2,2021
HDG,2021-04-26,21.15,21.76,20.3,21.15,732100,4,2,2021
HDG,2021-04-27,21.38,22.2,21.15,21.18,1026300,4,2,2021
HDG,2021-04-28,21.18,21.57,21.15,21.38,430200,4,2,2021
HDG,2021-04-29,21.26,21.46,21.26,21.26,352200,4,2,2021
HDG,2022-01-04,43.71,44.3,43.06,43.71,933000,1,1,2022
HDG,2022-01-05,44.04,44.57,43.32,44.04,1094700,1,1,2022
HDG,2022-01-06,44.63,44.83,44.04,44.57,1265000,1,1,2022
HDG,2022-01-07,44.7,44.7,43.71,44.04,1123800,1,1,2022
HDG,2022-01-10,43.46,44.04,42.73,42.73,679400,1,1,2022
HDG,2022-01-11,42.46,42.46,40.89,41.94,740300,1,1,2022
HDG,2022-01-12,40.95,41.74,39.05,41.09,1411700,1,1,2022
HDG,2022-01-13,41.42,41.42,39.11,40.42,655800,1,1,2022
HDG,2022-01-14,39.11,41.42,39.11,41.09,457400,1,1,2022
HDG,2022-01-17,40.17,41.61,38.78,39.38,724200,1,1,2022
HDG,2022-01-18,38.78,38.91,36.68,37.46,1306200,1,1,2022
HDG,2022-01-19,36.48,38.78,36.48,38.66,383800,1,1,2022
HDG,2022-01-20,37.66,40.1,37.66,39.77,368200,1,1,2022
HDG,2022-01-21,39.77,39.77,38.85,39.58,451300,1,1,2022
HDG,2022-01-24,39.11,39.11,37.14,37.99,555100,1,1,2022
HDG,2022-01-25,37.4,38.13,36.68,37.99,275100,1,1,2022
HDG,2022-01-26,38.46,38.78,37.8,38.72,683200,1,1,2022
HDG,2022-01-27,38.13,40.03,38.13,39.5,628200,1,1,2022
HDG,2022-01-28,39.5,41.09,39.5,40.1,601300,1,1,2022
HDG,2022-02-07,40.69,41.42,40.17,41.28,777100,2,1,2022
HDG,2022-02-08,41.28,41.74,40.82,41.54,436600,2,1,2022
HDG,2022-02-09,41.54,41.94,40.75,41.81,565200,2,1,2022
HDG,2022-02-10,41.74,41.87,40.95,41.67,428900,2,1,2022
HDG,2022-02-11,41.02,42.73,41.02,42.26,1132800,2,1,2022
HDG,2022-02-14,41.67,43.06,41.67,41.87,1083400,2,1,2022
HDG,2022-02-15,41.87,42.2,41.42,42.14,359000,2,1,2022
HDG,2022-02-16,42.2,42.86,42.01,42.34,886600,2,1,2022
HDG,2022-02-17,42.34,42.54,41.61,42.4,844200,2,1,2022
HDG,2022-02-18,41.81,44.38,41.81,44.18,3024400,2,1,2022
HDG,2022-02-21,44.38,46.14,44.38,45.94,2792800,2,1,2022
HDG,2022-02-22,45.35,46.34,44.7,46.02,1232700,2,1,2022
HDG,2022-02-23,46.02,46.86,45.3,46.02,1703700,2,1,2022
HDG,2022-02-24,45.49,46.22,43.12,45.16,1764300,2,1,2022
HDG,2022-02-25,45.88,47.26,45.49,46.34,1620300,2,1,2022
HDG,2022-02-28,46.02,46.61,45.55,46.28,702100,2,1,2022
HDG,2022-03-01,46.47,46.54,45.75,46.41,1097900,3,1,2022
HDG,2022-03-02,46.08,46.41,45.49,46.02,1054700,3,1,2022
HDG,2022-03-03,46.14,47.98,45.49,47.98,1923800,3,1,2022
HDG,2022-03-04,47.98,48.38,47.33,47.86,998100,3,1,2022
HDG,2022-03-07,47.06,47.92,46.94,47.59,1227600,3,1,2022
HDG,2022-03-08,46.41,47.0,44.38,44.38,2371200,3,1,2022
HDG,2022-03-09,44.1,45.62,42.4,45.3,1736100,3,1,2022
HDG,2022-03-10,45.88,46.34,45.3,45.82,942000,3,1,2022
HDG,2022-03-11,45.82,46.08,44.9,45.69,1100400,3,1,2022
HDG,2022-03-14,45.16,46.02,44.77,45.22,1036700,3,1,2022
HDG,2022-03-15,44.96,45.69,44.57,45.49,766300,3,1,2022
HDG,2022-03-16,45.94,47.66,45.35,47.0,1826700,3,1,2022
HDG,2022-03-17,47.2,47.94,47.06,47.4,686600,3,1,2022
HDG,2022-03-18,47.46,48.66,47.0,48.2,1642800,3,1,2022
HDG,2022-03-21,48.2,49.2,47.8,49.0,1936500,3,1,2022
HDG,2022-03-22,49.14,49.86,47.8,48.66,1463500,3,1,2022
HDG,2022-03-23,48.46,49.34,47.46,48.66,1706400,3,1,2022
HDG,2022-03-24,48.6,49.0,47.74,48.34,1393700,3,1,2022
HDG,2022-03-25,48.66,48.66,47.8,48.6,894500,3,1,2022
HDG,2022-03-28,47.94,48.6,46.74,47.54,1433300,3,1,2022
HDG,2022-03-29,47.8,48.0,47.14,47.34,1322700,3,1,2022
HDG,2022-03-30,47.06,48.06,45.66,45.86,1663300,3,1,2022
HDG,2022-03-31,45.74,46.66,45.66,46.66,1029700,3,1,2022
HDG,2022-04-01,46.06,47.8,45.86,47.74,1279000,4,2,2022
HDG,2022-04-04,47.86,48.2,47.4,47.66,1025800,4,2,2022
HDG,2022-04-05,47.54,47.86,46.8,46.8,705500,4,2,2022
HDG,2022-04-06,46.54,46.6,45.74,46.54,1454100,4,2,2022
HDG,2022-04-07,46.14,46.14,44.8,45.34,1102600,4,2,2022
HDG,2022-04-08,45.06,45.46,44.4,44.4,865700,4,2,2022
HDG,2022-04-12,44.46,44.86,42.34,43.34,907500,4,2,2022
HDG,2022-04-13,42.8,45.0,42.0,44.8,857200,4,2,2022
HDG,2022-04-14,44.86,44.94,44.2,44.34,604500,4,2,2022
HDG,2022-04-15,44.0,46.66,43.4,45.2,986800,4,2,2022
HDG,2022-04-18,45.0,45.74,43.86,44.66,1036600,4,2,2022
HDG,2022-04-19,45.34,45.46,44.06,44.4,506900,4,2,2022
HDG,2022-04-20,44.4,44.4,41.34,41.34,1041400,4,2,2022
HDG,2022-04-21,40.0,42.0,38.66,41.26,1498600,4,2,2022
HDG,2022-04-22,41.26,42.06,38.4,40.4,1705700,4,2,2022
HDG,2022-04-25,39.8,39.8,37.6,37.6,1003500,4,2,2022
HDG,2022-04-26,35.0,35.74,35.0,35.74,1975000,4,2,2022
HDG,2022-04-27,35.34,37.34,35.26,37.34,721600,4,2,2022
HDG,2022-04-28,37.66,38.2,36.94,38.14,1238900,4,2,2022
HDG,2022-04-29,37.6,39.0,37.34,38.4,889200,4,2,2022
HDG,2023-01-03,25.04,26.32,24.64,26.16,1885600,1,1,2023
HDG,2023-01-04,26.24,26.56,25.48,25.6,1080000,1,1,2023
HDG,2023-01-05,25.48,26.72,25.48,26.4,1558300,1,1,2023
HDG,2023-01-06,26.4,26.56,25.76,26.16,1125900,1,1,2023
HDG,2023-01-09,26.16,26.56,25.56,25.64,789300,1,1,2023
