Ticker,Date,Open,High,Low,Close,Volume,Month,Quarter,Year
HDG,2018-03-01,12.34,12.6,12.19,12.26,161820,3,1,2018
HDG,2018-03-02,12.29,12.8,12.19,12.54,50000,3,1,2018
HDG,2018-03-05,12.73,12.96,12.6,12.6,151700,3,1,2018
HDG,2018-03-06,12.6,12.73,12.54,12.73,121050,3,1,2018
HDG,2018-03-07,12.58,12.93,12.58,12.75,210320,3,1,2018
HDG,2018-03-08,12.67,12.78,12.65,12.75,50110,3,1,2018
HDG,2018-03-09,12.8,13.16,12.73,12.75,128150,3,1,2018
HDG,2018-03-12,12.93,12.93,12.39,12.42,154990,3,1,2018
HDG,2018-03-13,12.42,12.58,12.42,12.52,73540,3,1,2018
HDG,2018-03-14,12.42,12.79,12.42,12.54,96290,3,1,2018
HDG,2018-03-15,12.46,12.7,12.46,12.52,81500,3,1,2018
HDG,2018-03-16,12.52,12.67,12.52,12.56,92250,3,1,2018
HDG,2018-03-19,12.67,12.75,12.6,12.73,208690,3,1,2018
HDG,2018-03-20,12.73,12.75,12.58,12.7,101740,3,1,2018
HDG,2018-03-21,12.7,12.7,12.47,12.5,118240,3,1,2018
HDG,2018-03-22,12.5,12.54,12.32,12.32,180310,3,1,2018
HDG,2018-03-23,11.9,12.54,11.9,12.54,219750,3,1,2018
HDG,2018-03-26,12.54,12.78,12.42,12.54,57030,3,1,2018
HDG,2018-03-27,12.62,12.65,12.47,12.54,75440,3,1,2018
HDG,2018-03-28,12.54,12.6,12.37,12.47,54990,3,1,2018
HDG,2018-03-29,12.65,12.65,12.34,12.42,112660,3,1,2018
HDG,2018-03-30,12.37,12.54,12.35,12.54,58800,3,1,2018
HDG,2018-04-02,12.54,12.62,12.45,12.54,103690,4,2,2018
HDG,2018-04-03,12.54,13.42,12.54,13.42,564860,4,2,2018
HDG,2018-04-04,13.86,14.03,13.42,13.42,259150,4,2,2018
HDG,2018-04-05,13.78,13.82,13.44,13.7,156320,4,2,2018
HDG,2018-04-06,13.82,13.82,13.31,13.37,223940,4,2,2018
HDG,2018-04-09,13.31,13.42,13.18,13.29,187690,4,2,2018
HDG,2018-04-10,13.24,13.44,13.16,13.31,214370,4,2,2018
HDG,2018-04-11,13.29,13.31,12.67,12.67,220130,4,2,2018
HDG,2018-04-12,12.67,13.54,12.58,13.44,551920,4,2,2018
HDG,2018-04-13,13.75,13.75,12.96,13.09,228650,4,2,2018
HDG,2018-04-16,13.09,13.18,13.01,13.06,110140,4,2,2018
HDG,2018-04-17,12.98,13.16,12.8,12.98,144560,4,2,2018
HDG,2018-04-18,12.93,12.93,12.78,12.83,104200,4,2,2018
HDG,2018-04-19,12.83,12.93,12.65,12.8,106900,4,2,2018
HDG,2018-04-20,12.78,12.8,12.52,12.67,172190,4,2,2018
HDG,2018-04-23,12.7,13.11,11.86,11.86,304550,4,2,2018
HDG,2018-04-24,12.26,12.26,11.65,11.65,119120,4,2,2018
HDG,2018-04-26,11.65,11.78,10.85,10.85,221250,4,2,2018
HDG,2018-04-27,10.86,11.26,10.86,10.94,171350,4,2,2018
HDG,2019-03-01,12.34,13.01,12.3,13.01,680870,3,1,2019
HDG,2019-03-04,13.22,13.3,12.85,13.01,704720,3,1,2019
HDG,2019-03-05,13.01,13.39,12.78,13.01,484010,3,1,2019
HDG,2019-03-06,13.01,13.57,12.88,13.57,708090,3,1,2019
HDG,2019-03-07,13.57,13.57,13.26,13.33,283170,3,1,2019
HDG,2019-03-08,13.36,13.36,12.9,12.94,614350,3,1,2019
HDG,2019-03-11,13.07,13.39,12.91,13.33,385220,3,1,2019
HDG,2019-03-12,13.42,13.52,13.2,13.52,264870,3,1,2019
HDG,2019-03-13,13.58,13.62,13.3,13.39,213680,3,1,2019
HDG,2019-03-14,13.39,13.54,13.26,13.49,382330,3,1,2019
HDG,2019-03-15,13.55,13.9,13.5,13.62,532450,3,1,2019
HDG,2019-03-18,13.74,14.22,13.74,14.21,690700,3,1,2019
HDG,2019-03-19,14.22,14.38,13.94,13.95,607360,3,1,2019
HDG,2019-03-20,13.81,14.03,13.55,14.03,672110,3,1,2019
HDG,2019-03-21,14.03,14.22,13.36,13.36,384760,3,1,2019
HDG,2019-03-22,13.33,13.55,13.26,13.46,377720,3,1,2019
HDG,2019-03-25,13.07,13.33,12.88,12.88,718890,3,1,2019
HDG,2019-03-26,13.2,13.2,12.83,13.15,352030,3,1,2019
HDG,2019-03-27,13.3,13.38,13.07,13.26,334670,3,1,2019
HDG,2019-03-28,13.1,13.33,13.01,13.26,243000,3,1,2019
HDG,2019-03-29,13.3,13.41,13.17,13.17,204640,3,1,2019
HDG,2019-04-01,13.17,13.62,13.17,13.58,565510,4,2,2019
HDG,2019-04-02,13.71,13.81,13.49,13.52,487000,4,2,2019
HDG,2019-04-03,13.52,13.71,13.36,13.58,286990,4,2,2019
HDG,2019-04-04,13.49,13.81,13.42,13.55,426660,4,2,2019
HDG,2019-04-05,13.65,13.71,13.42,13.62,242350,4,2,2019
HDG,2019-04-08,13.74,13.95,13.58,13.92,653170,4,2,2019
HDG,2019-04-09,14.03,14.03,13.76,13.76,403650,4,2,2019
HDG,2019-04-10,13.62,13.9,13.49,13.81,442830,4,2,2019
HDG,2019-04-11,13.74,13.9,13.68,13.68,343170,4,2,2019
HDG,2019-04-12,13.62,13.86,13.58,13.74,387170,4,2,2019
HDG,2019-04-16,13.65,13.71,13.42,13.66,394310,4,2,2019
HDG,2019-04-17,13.74,13.78,13.39,13.42,388420,4,2,2019
HDG,2019-04-18,13.39,13.42,12.66,12.96,883350,4,2,2019
HDG,2019-04-19,13.02,13.07,12.48,12.48,617770,4,2,2019
HDG,2019-04-22,12.34,12.46,11.86,11.98,816560,4,2,2019
HDG,2019-04-23,12.19,12.37,12.06,12.22,203970,4,2,2019
HDG,2019-04-24,12.3,12.46,12.14,12.3,104840,4,2,2019
HDG,2019-04-25,12.37,12.37,11.82,12.1,464650,4,2,2019
HDG,2019-04-26,12.18,12.46,12.02,12.46,192610,4,2,2019
HDG,2021-03-01,23.02,23.3,22.91,23.05,2086700,3,1,2021
HDG,2021-03-02,23.3,23.7,23.1,23.46,2610200,3,1,2021
HDG,2021-03-03,23.68,24.39,23.68,24.28,2941100,3,1,2021
HDG,2021-03-04,24.39,24.97,23.57,24.34,3012500,3,1,2021
HDG,2021-03-05,24.01,24.28,23.3,24.06,1406500,3,1,2021
HDG,2021-03-08,24.11,24.39,24.01,24.28,1678400,3,1,2021
HDG,2021-03-09,24.11,25.98,23.57,25.87,4276000,3,1,2021
HDG,2021-03-10,25.98,26.2,25.65,25.87,1410400,3,1,2021
HDG,2021-03-11,25.82,25.87,25.59,25.59,1113800,3,1,2021
HDG,2021-03-12,25.54,26.28,25.54,25.76,2050900,3,1,2021
HDG,2021-03-15,25.76,26.09,25.59,25.68,1456000,3,1,2021
HDG,2021-03-16,25.76,26.09,25.65,25.95,2067400,3,1,2021
HDG,2021-03-17,25.95,26.03,25.9,26.01,1244300,3,1,2021
HDG,2021-03-18,26.3,26.3,25.74,25.87,1564000,3,1,2021
HDG,2021-03-19,25.76,26.12,25.76,26.09,1595300,3,1,2021
HDG,2021-03-22,26.3,26.3,26.03,26.09,1646400,3,1,2021
HDG,2021-03-23,25.93,25.93,24.94,25.21,1858100,3,1,2021
HDG,2021-03-24,24.45,24.97,23.51,23.84,2640700,3,1,2021
HDG,2021-03-25,23.84,24.01,22.47,23.68,1597900,3,1,2021
HDG,2021-03-26,23.57,23.68,22.42,23.46,1253300,3,1,2021
HDG,2021-03-29,23.62,23.84,23.49,23.82,868200,3,1,2021
HDG,2021-03-30,23.84,23.84,23.35,23.62,819300,3,1,2021
